'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/09/2024,3.0,3.4, ,17.0,11.1,95,55,11.45,11.37
AIREYS INLET,02/09/2024,2.5,12.6, ,12.5,7.0,93,53,10.23,12.72
AIREYS INLET,03/09/2024,2.2,0.4, ,15.9,6.5,92,54,3.90,11.58
AIREYS INLET,04/09/2024,3.8,0.0, ,19.6,7.4,85,37,6.43,12.34
AIREYS INLET,05/09/2024,4.2,0.6, ,20.2,11.5,92,30,8.17,8.65
AIREYS INLET,06/09/2024,2.8,3.8, ,18.8,13.0,94,44,5.43,6.59
AIREYS INLET,07/09/2024,2.6,4.0, ,16.7,8.5,94,53,5.22,13.86
AIREYS INLET,08/09/2024,2.3,1.2, ,16.3,8.9,90,64,6.84,9.18
AIREYS INLET,09/09/2024,2.1,3.0, ,15.0,9.2,95,63,4.71,13.11
AIREYS INLET,10/09/2024,2.4,0.0, ,16.9,10.0,90,57,2.78,14.63
AIREYS INLET,11/09/2024,2.2,0.0, ,16.9,9.7,96,59,5.49,8.19
AIREYS INLET,12/09/2024,2.7,3.6, ,15.1,9.4,86,55,4.76,17.11
AIREYS INLET,13/09/2024,2.2,0.0, ,15.6,9.6,95,59,4.16,11.59
AIREYS INLET,14/09/2024,2.2,3.6, ,10.9,7.0,95,55,7.87,12.26
AIREYS INLET,15/09/2024,2.8,3.6, ,13.1,5.8,70,51,5.86,12.91
AIREYS INLET,16/09/2024,2.1,0.0, ,14.4,7.8,95,65,4.85,13.33
AIREYS INLET,17/09/2024,2.3,0.6, ,14.4,8.6,94,52,3.51,12.72
AIREYS INLET,18/09/2024,3.6,0.2, ,18.1,7.0,95,47,8.64,16.75
AIREYS INLET,19/09/2024,2.7,4.2, ,14.7,8.0,91,58,6.31,15.88
AIREYS INLET,20/09/2024,2.4,1.2, ,15.1,8.0,94,63,7.69,13.61
AIREYS INLET,21/09/2024,2.5,7.8, ,14.7,8.7,92,56,5.45,12.54
AIREYS INLET,22/09/2024,2.9,0.8, ,17.5,10.0,90,59,6.08,15.31
AIREYS INLET,23/09/2024,2.7,0.0, ,17.9,11.8,95,67,6.70,16.06
AIREYS INLET,24/09/2024,2.7,0.4, ,21.2,10.8,96,45,2.61,11.87
AIREYS INLET,25/09/2024,1.8,7.8, ,11.9,9.1,95,58,5.49,6.37
AIREYS INLET,26/09/2024,3.3,0.0, ,13.9,8.8,73,47,6.08,15.22
AIREYS INLET,27/09/2024,2.8,0.0, ,15.7,5.8,89,50,2.03,20.19
AIREYS INLET,28/09/2024,5.1,0.0, ,24.0,7.3,92,28,5.29,19.68
AIREYS INLET,29/09/2024,3.4,3.6, ,19.0,11.7,95,46,6.23,13.86
AIREYS INLET,30/09/2024,3.3,0.4, ,19.0,9.2,83,50,3.79,16.96
Totals:,,83.6,66.8, ,,,,,, 
