'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/10/2024,2.9,0.0, ,17.4,9.9,95,53,4.20,16.01
AIREYS INLET,02/10/2024,3.0,0.2, ,16.7,9.4,95,52,1.82,21.18
AIREYS INLET,03/10/2024,4.7,0.0, ,26.4,7.8,95,29,3.00,21.60
AIREYS INLET,04/10/2024,4.4,3.4, ,24.8,13.8,89,40,4.99,15.69
AIREYS INLET,05/10/2024,2.6,0.4, ,17.8,10.6,93,56,4.32,11.02
AIREYS INLET,06/10/2024,3.9,5.0, ,18.4,10.6,94,46,6.85,19.79
AIREYS INLET,07/10/2024,3.5,0.2, ,16.8,11.6,94,49,6.87,18.90
AIREYS INLET,08/10/2024,3.5,0.8, ,15.1,7.8,69,46,4.09,19.77
AIREYS INLET,09/10/2024,3.4,0.0, ,16.1,8.4,84,49,2.78,23.15
AIREYS INLET,10/10/2024,4.4,0.0, ,17.9,8.8,71,43,6.02,23.33
AIREYS INLET,11/10/2024,3.1,0.0, ,16.7,7.1,77,54,5.02,14.54
AIREYS INLET,12/10/2024,3.6,0.0, ,16.9,10.6,87,45,2.89,23.42
AIREYS INLET,13/10/2024,5.4,0.0, ,25.4,6.2,95,22,4.37,20.41
AIREYS INLET,14/10/2024,2.9,8.8, ,17.0,12.5,95,67,3.74,18.37
AIREYS INLET,15/10/2024,3.8,0.0, ,20.8,11.9,89,58,3.30,22.55
AIREYS INLET,16/10/2024,4.5,0.0, ,27.7,12.0,86,44,2.60,21.01
AIREYS INLET,17/10/2024,4.1,0.0, ,28.3,15.8,96,37,2.62,15.81
AIREYS INLET,18/10/2024,1.4,15.2, ,18.9,15.4,96,88,4.17,6.30
AIREYS INLET,19/10/2024,3.4,13.4, ,17.0,11.2,95,65,6.51,24.54
AIREYS INLET,20/10/2024,3.8,0.0, ,19.2,9.6,95,56,2.99,25.07
AIREYS INLET,21/10/2024,3.8,0.0, ,20.4,11.4,95,60,2.01,25.26
AIREYS INLET,22/10/2024,6.8,0.0, ,29.6,14.5,89,27,5.81,21.57
AIREYS INLET,23/10/2024,4.3,0.0, ,18.8,9.1,82,40,4.15,23.73
AIREYS INLET,24/10/2024,4.4,0.0, ,17.9,7.7,91,31,5.54,21.34
AIREYS INLET,25/10/2024,3.8,1.2, ,16.3,7.8,80,48,3.87,23.82
AIREYS INLET,26/10/2024,4.1,0.2, ,17.7,6.1,85,30,2.52,26.01
AIREYS INLET,27/10/2024,5.6,0.0, ,24.4,12.0,77,38,5.36,23.60
AIREYS INLET,28/10/2024,4.2,0.0, ,17.1,10.5,81,51,4.94,26.37
AIREYS INLET,29/10/2024,3.6,0.0, ,18.7,7.9,86,53,3.47,21.11
AIREYS INLET,30/10/2024,3.5,0.0, ,18.7,11.0,83,60,2.80,20.97
AIREYS INLET,31/10/2024,3.4,0.0, ,17.9,10.6,91,55,4.84,18.28
Totals:,,119.8,48.8, ,,,,,, 
