'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/11/2024,4.3,0.0, ,17.8,10.2,71,46,3.76,24.00
AIREYS INLET,02/11/2024,6.4,0.0, ,26.0,7.2,87,17,4.86,23.14
AIREYS INLET,03/11/2024,6.6,0.0, ,22.3,12.9,79,14,6.01,27.04
AIREYS INLET,04/11/2024,3.6,0.0, ,18.9,9.8,84,57,3.72,20.04
AIREYS INLET,05/11/2024,4.4,0.0, ,21.3,8.4,92,46,2.70,26.97
AIREYS INLET,06/11/2024,8.0,0.0, ,32.3,12.1,85,21,5.90,21.79
AIREYS INLET,07/11/2024,4.1,0.0, ,20.1,8.9,95,46,2.71,24.64
AIREYS INLET,08/11/2024,4.8,2.0, ,18.9,8.7,85,35,6.06,22.57
AIREYS INLET,09/11/2024,4.0,0.4, ,20.9,6.9,87,38,3.53,18.29
AIREYS INLET,10/11/2024,4.1,0.0, ,20.1,9.6,91,51,2.58,24.84
AIREYS INLET,11/11/2024,4.1,0.0, ,20.3,11.7,95,57,2.19,25.59
AIREYS INLET,12/11/2024,3.2,1.2, ,20.4,13.3,96,64,1.87,18.38
AIREYS INLET,13/11/2024,3.6,4.4, ,19.1,12.7,96,61,5.97,20.48
AIREYS INLET,14/11/2024,4.6,0.0, ,18.7,11.3,66,45,4.49,22.34
AIREYS INLET,15/11/2024,4.4,0.0, ,20.5,11.3,84,44,2.48,25.06
AIREYS INLET,16/11/2024,9.4,0.0, ,34.9,10.4,95,9,5.20,27.29
AIREYS INLET,17/11/2024,5.7,0.0, ,21.6,17.4,95,25,7.42,21.55
AIREYS INLET,18/11/2024,3.6,1.4, ,18.2,9.8,84,54,5.38,17.10
AIREYS INLET,19/11/2024,4.3,0.0, ,18.8,11.8,68,46,3.60,21.84
AIREYS INLET,20/11/2024,3.9,0.0, ,18.3,11.3,82,50,3.24,21.21
AIREYS INLET,21/11/2024,4.8,0.0, ,23.5,12.0,93,58,2.17,28.86
AIREYS INLET,22/11/2024,5.3,0.0, ,29.1,14.8,86,49,1.95,26.47
AIREYS INLET,23/11/2024,7.5,0.0, ,34.7,18.2,95,17,5.78,13.34
AIREYS INLET,24/11/2024,2.1,1.4, ,20.1,17.3,96,84,2.23,10.42
AIREYS INLET,25/11/2024,2.5,0.0, ,18.3,13.9,96,75,2.38,13.80
AIREYS INLET,26/11/2024,3.7,0.2, ,23.9,14.4,96,67,1.55,20.15
AIREYS INLET,27/11/2024,4.5,8.4, ,27.0,16.1,96,61,4.09,20.82
AIREYS INLET,28/11/2024,5.0,2.2, ,23.5,12.3,95,53,3.14,28.61
AIREYS INLET,29/11/2024,1.7,0.0, ,18.9,15.8,96,85,4.25,8.06
AIREYS INLET,30/11/2024, ,0.0, ,18.4,16.3,96,87,4.79, 
Totals:,,134.2,21.6, ,,,,,, 
