'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/12/2024,3.3,33.6, ,19.7,15.7,92,66,8.84,14.99
AIREYS INLET,02/12/2024,4.9,1.0, ,23.1,14.1,96,59,2.87,29.23
AIREYS INLET,03/12/2024,5.7,12.6, ,27.5,17.0,96,50,5.11,25.85
AIREYS INLET,04/12/2024,5.0,0.0, ,21.2,9.6,90,51,2.26,31.49
AIREYS INLET,05/12/2024,6.0,0.0, ,28.6,13.2,96,36,1.92,31.56
AIREYS INLET,06/12/2024,4.4,0.0, ,24.5,21.0,65,26,3.37,9.65
AIREYS INLET,07/12/2024,4.7,0.0, ,24.9,17.9,93,60,5.99,22.07
AIREYS INLET,08/12/2024,5.5,0.2, ,21.8,11.0,85,36,4.97,27.00
AIREYS INLET,09/12/2024,4.3,0.0, ,21.4,9.5,77,51,3.36,21.58
AIREYS INLET,10/12/2024,5.1,0.0, ,21.0,12.6,81,52,4.59,28.00
AIREYS INLET,11/12/2024,5.7,0.0, ,23.3,11.0,86,40,4.58,29.52
AIREYS INLET,12/12/2024,4.6,0.0, ,23.9,14.4,86,58,3.25,23.87
AIREYS INLET,13/12/2024,4.9,0.0, ,21.1,15.0,88,55,3.63,27.73
AIREYS INLET,14/12/2024,3.7,0.0, ,20.6,14.1,83,61,2.07,19.84
AIREYS INLET,15/12/2024,5.9,0.0, ,30.0,11.5,91,58,1.76,32.11
AIREYS INLET,16/12/2024,11.2,0.0, ,42.2,16.9,92,12,5.84,22.51
AIREYS INLET,17/12/2024,5.8,4.0, ,22.7,14.5,90,32,5.50,26.06
AIREYS INLET,18/12/2024,5.3,0.0, ,21.3,12.5,79,49,3.84,29.67
AIREYS INLET,19/12/2024,5.5,0.0, ,22.6,13.7,83,50,2.16,32.20
AIREYS INLET,20/12/2024,7.0,0.0, ,28.4,14.0,86,41,5.19,31.29
AIREYS INLET,21/12/2024,5.5,0.0, ,20.8,14.9,79,47,6.42,27.46
AIREYS INLET,22/12/2024,5.2,0.0, ,21.4,12.8,82,47,5.31,26.66
AIREYS INLET,23/12/2024,4.4,0.4, ,17.8,9.7,77,45,7.04,19.67
AIREYS INLET,24/12/2024,4.5,0.6, ,22.0,12.1,89,62,3.49,26.80
AIREYS INLET,25/12/2024,5.5,0.0, ,27.7,12.6,95,57,2.06,30.59
AIREYS INLET,26/12/2024,11.5,0.0, ,37.1,17.7,75,8,8.69,15.33
AIREYS INLET,27/12/2024,5.7,0.0, ,21.6,13.1,83,33,6.31,24.09
AIREYS INLET,28/12/2024,3.7,0.0, ,19.9,11.2,85,50,5.25,14.62
AIREYS INLET,29/12/2024,4.8,1.8, ,23.2,11.0,89,50,3.74,25.37
AIREYS INLET,30/12/2024,4.2,0.0, ,22.9,14.1,90,60,3.10,22.46
AIREYS INLET,31/12/2024,5.0,0.0, ,23.3,13.3,86,57,2.75,28.18
Totals:,,168.5,54.2, ,,,,,, 
