'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AIREYS INLET Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AIREYS INLET,01/01/2025,4.9,0.0, ,22.4,10.8,89,50,5.10,25.90
AIREYS INLET,02/01/2025,5.6,0.0, ,21.2,13.2,69,43,4.14,29.56
AIREYS INLET,03/01/2025,5.9,0.0, ,26.1,13.3,79,48,2.63,31.48
AIREYS INLET,04/01/2025,7.7,0.0, ,34.9,15.2,81,12,3.53,23.32
AIREYS INLET,05/01/2025,7.4,0.0, ,36.7,21.3,43,12,2.46,24.03
AIREYS INLET,06/01/2025,4.0,11.8, ,18.6,13.9,96,36,6.92,13.03
AIREYS INLET,07/01/2025,5.1,5.2, ,22.8,13.3,90,58,6.40,28.03
AIREYS INLET,08/01/2025,5.9,0.0, ,25.8,14.9,81,45,2.52,31.11
AIREYS INLET,09/01/2025,4.4,0.0, ,30.2,16.1,89,30,1.58,17.98
AIREYS INLET,10/01/2025,4.5,0.0, ,24.4,17.3,96,57,3.21,23.04
AIREYS INLET,11/01/2025,5.6,0.0, ,26.4,18.5,96,62,2.48,30.31
AIREYS INLET,12/01/2025,2.4,0.0, ,22.2,15.8,96,78,2.30,11.89
AIREYS INLET,13/01/2025,4.7,2.2, ,24.6,17.2,88,66,2.76,25.28
AIREYS INLET,14/01/2025,5.3,0.2, ,23.7,17.0,91,58,1.86,30.58
AIREYS INLET,15/01/2025,3.8,0.0, ,23.7,17.3,95,50,5.51,12.57
AIREYS INLET,16/01/2025,5.3,0.4, ,23.1,12.2,73,45,4.48,24.56
AIREYS INLET,17/01/2025, ,0.4, ,22.2,14.3, , , ,24.46
AIREYS INLET,18/01/2025, ,0.0, ,24.4,16.3, , , ,30.66
AIREYS INLET,19/01/2025,5.2,0.0, ,26.7,14.3,92,51,1.93,27.77
AIREYS INLET,20/01/2025,4.6,0.0, ,26.1,18.3,96,51,2.31,22.58
AIREYS INLET,21/01/2025,4.9,0.0, ,24.5,18.0,96,65,5.48,27.50
AIREYS INLET,22/01/2025, ,0.0, , ,15.7,95,49,6.87,19.76
AIREYS INLET,23/01/2025, , , ,18.2, ,71,60,5.65,8.87
AIREYS INLET,24/01/2025,5.7,0.0, ,24.7,13.9,81,43,4.60,26.82
AIREYS INLET,25/01/2025,5.1,0.0, ,23.8,13.0,90,51,4.22,26.69
AIREYS INLET,26/01/2025,4.9,0.0, ,24.9,16.0,90,49,3.03,24.37
AIREYS INLET,27/01/2025,11.5,0.0, ,40.5,14.3,93,13,6.68,24.02
AIREYS INLET,28/01/2025,5.2,0.0, ,22.0,15.4,90,49,6.13,26.81
AIREYS INLET,29/01/2025,5.2,0.0, ,20.9,14.1,61,42,4.60,23.08
AIREYS INLET,30/01/2025,4.8,0.0, ,22.3,13.4,74,43,4.10,21.59
AIREYS INLET,31/01/2025,5.2,0.0, ,23.6,13.7,82,50,3.37,28.11
Totals:,,144.8,20.2, ,,,,,, 
