'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/10/2024,3.1,0.2, ,19.0,7.0,95,50,4.35,14.95
AVALON AIRPORT,02/10/2024,3.1,0.2, ,17.2,7.0,96,50,2.79,21.53
AVALON AIRPORT,03/10/2024,5.4,0.0, ,27.2,4.6,96,32,4.40,22.10
AVALON AIRPORT,04/10/2024,5.5,0.0, ,26.2,13.2,89,38,8.20,14.48
AVALON AIRPORT,05/10/2024,3.2,0.0, ,20.1,9.0,92,53,5.89,11.55
AVALON AIRPORT,06/10/2024,4.9,3.8, ,21.2,9.8,86,37,7.90,18.21
AVALON AIRPORT,07/10/2024,4.0,0.0, ,18.4,13.6,82,41,8.05,10.33
AVALON AIRPORT,08/10/2024,3.5,0.0, ,15.9,2.6,92,38,4.65,21.18
AVALON AIRPORT,09/10/2024,3.9,0.2, ,18.6,6.9,78,41,3.20,23.20
AVALON AIRPORT,10/10/2024,5.2,0.0, ,21.6,7.0,78,33,6.06,23.11
AVALON AIRPORT,11/10/2024,3.4,0.0, ,18.5,3.3,88,47,5.12,15.58
AVALON AIRPORT,12/10/2024,3.7,0.0, ,17.1,8.3,89,47,3.54,23.85
AVALON AIRPORT,13/10/2024,6.4,0.0, ,27.9,2.7,94,18,4.67,22.69
AVALON AIRPORT,14/10/2024,3.6,2.6, ,19.6,12.7,95,61,5.76,21.37
AVALON AIRPORT,15/10/2024,4.8,0.0, ,22.5,12.3,85,52,7.54,22.32
AVALON AIRPORT,16/10/2024,5.4,2.6, ,27.1,12.9,92,42,4.97,22.89
AVALON AIRPORT,17/10/2024,4.9,0.0, ,28.3,13.8,95,37,4.92,14.57
AVALON AIRPORT,18/10/2024,2.0,11.0, ,21.4,16.6,97,75,4.73,6.91
AVALON AIRPORT,19/10/2024,3.7,36.0, ,17.9,12.4,93,58,6.13,22.55
AVALON AIRPORT,20/10/2024,3.9,0.0, ,19.6,11.5,94,53,3.99,23.75
AVALON AIRPORT,21/10/2024,4.6,0.0, ,23.8,9.7,94,46,3.70,25.26
AVALON AIRPORT,22/10/2024,8.0,0.0, ,33.2,10.7,93,21,5.59,23.46
AVALON AIRPORT,23/10/2024,5.1,0.0, ,21.0,11.5,83,34,5.54,23.61
AVALON AIRPORT,24/10/2024,5.2,0.0, ,19.1,8.1,86,28,7.59,22.14
AVALON AIRPORT,25/10/2024,3.9,0.0, ,16.6,7.4,89,42,4.79,23.76
AVALON AIRPORT,26/10/2024,4.5,0.0, ,19.4,2.9,92,23,3.04,26.54
AVALON AIRPORT,27/10/2024,6.2,0.0, ,27.4,11.6,84,28,4.99,23.06
AVALON AIRPORT,28/10/2024,4.2,0.0, ,18.3,9.6,90,48,5.34,25.34
AVALON AIRPORT,29/10/2024,3.9,0.0, ,20.9,6.7,89,47,3.93,19.90
AVALON AIRPORT,30/10/2024,4.5,0.0, ,22.6,7.9,91,40,3.77,23.02
AVALON AIRPORT,31/10/2024,3.8,0.0, ,18.7,11.5,87,51,6.11,17.39
Totals:,,137.5,56.6, ,,,,,, 
