'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/12/2024,4.6,13.0, ,25.1,15.9,91,52,6.07,16.71
AVALON AIRPORT,02/12/2024,7.7,3.8, ,32.7,12.6,95,23,3.79,30.30
AVALON AIRPORT,03/12/2024,7.6,2.2, ,31.2,19.5,89,34,7.74,21.75
AVALON AIRPORT,04/12/2024,5.3,0.0, ,22.5,9.1,91,47,3.55,31.57
AVALON AIRPORT,05/12/2024,7.8,0.0, ,31.5,10.7,93,19,3.80,31.64
AVALON AIRPORT,06/12/2024,4.3,0.0, ,29.0,15.3,85,34,2.89,11.78
AVALON AIRPORT,07/12/2024,5.3,4.6, ,27.3,16.8,90,58,6.79,21.92
AVALON AIRPORT,08/12/2024,6.0,1.0, ,22.8,11.8,85,34,5.93,27.66
AVALON AIRPORT,09/12/2024,5.3,0.0, ,23.1,8.9,86,38,3.76,27.08
AVALON AIRPORT,10/12/2024,5.8,0.0, ,22.7,13.1,79,45,4.88,30.48
AVALON AIRPORT,11/12/2024,6.6,0.0, ,25.7,9.8,90,33,5.91,28.88
AVALON AIRPORT,12/12/2024,7.3,0.0, ,29.2,14.7,89,35,5.93,28.64
AVALON AIRPORT,13/12/2024,5.3,0.2, ,23.4,15.4,94,51,4.87,27.69
AVALON AIRPORT,14/12/2024,4.3,0.0, ,22.5,13.2,83,49,3.51,19.98
AVALON AIRPORT,15/12/2024,7.4,0.0, ,32.6,10.4,91,34,3.53,31.91
AVALON AIRPORT,16/12/2024,12.5,0.0, ,43.3,16.0,92,14,7.80,15.78
AVALON AIRPORT,17/12/2024,7.2,0.6, ,24.8,15.7,82,30,7.97,27.97
AVALON AIRPORT,18/12/2024,5.6,0.2, ,22.0,9.0,90,44,5.39,31.53
AVALON AIRPORT,19/12/2024,7.1,0.0, ,28.8,9.5,91,30,4.25,31.99
AVALON AIRPORT,20/12/2024,9.5,0.0, ,35.0,13.0,88,22,5.84,30.06
AVALON AIRPORT,21/12/2024,6.0,0.0, ,21.8,16.0,73,44,7.11,27.12
AVALON AIRPORT,22/12/2024,5.5,0.0, ,22.5,10.1,88,41,5.09,28.83
AVALON AIRPORT,23/12/2024,5.3,2.0, ,20.8,9.2,87,35,8.43,19.95
AVALON AIRPORT,24/12/2024,5.2,0.0, ,23.6,13.1,81,49,4.69,24.71
AVALON AIRPORT,25/12/2024,7.7,0.0, ,30.4,16.2,83,30,4.46,31.47
AVALON AIRPORT,26/12/2024,10.8,0.0, ,36.6,17.1,76,12,9.20,9.06
AVALON AIRPORT,27/12/2024,7.1,0.0, ,24.3,15.1,74,28,8.09,24.08
AVALON AIRPORT,28/12/2024,4.8,0.0, ,23.4,9.6,91,36,6.21,14.51
AVALON AIRPORT,29/12/2024,6.5,1.4, ,26.9,11.6,85,34,5.31,26.31
AVALON AIRPORT,30/12/2024,5.4,0.0, ,26.3,14.5,88,48,4.17,24.83
AVALON AIRPORT,31/12/2024,6.3,0.0, ,25.2,16.7,84,45,4.60,31.23
Totals:,,203.1,29, ,,,,,, 
