'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/01/2025,6.1,0.0, ,24.5,11.0,91,32,5.58,26.90
AVALON AIRPORT,02/01/2025,5.9,0.0, ,21.0,12.3,73,40,6.02,30.03
AVALON AIRPORT,03/01/2025,6.6,0.0, ,27.4,12.6,88,42,4.58,31.78
AVALON AIRPORT,04/01/2025,9.0,0.0, ,39.0,11.8,93,10,3.78,24.80
AVALON AIRPORT,05/01/2025,8.0,0.0, ,38.2,18.5,54,14,4.12,13.91
AVALON AIRPORT,06/01/2025,3.8,5.6, ,18.6,15.6,95,36,6.75,10.57
AVALON AIRPORT,07/01/2025,6.1,18.6, ,25.1,13.4,89,48,8.27,27.82
AVALON AIRPORT,08/01/2025,7.0,0.0, ,28.8,12.2,92,37,5.11,31.29
AVALON AIRPORT,09/01/2025,7.0,0.0, ,31.9,16.1,86,22,4.33,21.65
AVALON AIRPORT,10/01/2025,6.4,0.0, ,28.0,17.1,91,45,4.58,29.44
AVALON AIRPORT,11/01/2025,7.5,0.0, ,33.2,18.4,93,34,3.99,29.72
AVALON AIRPORT,12/01/2025,2.2,0.0, ,23.5,16.7,97,75,3.03,8.89
AVALON AIRPORT,13/01/2025,5.1,15.0, ,25.3,18.2,86,65,3.74,26.59
AVALON AIRPORT,14/01/2025, ,0.2, , ,18.2,89,54,3.26,29.60
AVALON AIRPORT,15/01/2025,4.6, , ,26.4,16.7,93,41,6.41,10.16
AVALON AIRPORT,16/01/2025,5.8,0.2, ,22.9,10.4,82,42,6.01,28.75
AVALON AIRPORT,17/01/2025,5.4,0.2, ,22.1,14.2,94,48,5.94,29.55
AVALON AIRPORT,18/01/2025, ,0.2, ,28.0,15.9, , , ,30.75
AVALON AIRPORT,19/01/2025,7.2,0.0, ,32.7,12.9,91,26,3.88,26.93
AVALON AIRPORT,20/01/2025,5.8,0.0, ,31.6,15.5,89,35,3.25,21.47
AVALON AIRPORT,21/01/2025,6.5,0.0, ,28.0,17.5,90,51,6.57,29.43
AVALON AIRPORT,22/01/2025,5.3,0.0, ,22.9,16.4,86,47,8.06,21.07
AVALON AIRPORT,23/01/2025,3.5,0.0, ,20.0,14.4,76,60,6.73,10.33
AVALON AIRPORT,24/01/2025,6.0,0.0, ,24.7,11.6,84,37,5.17,28.09
AVALON AIRPORT,25/01/2025,6.0,0.0, ,26.8,12.6,89,40,4.81,26.89
AVALON AIRPORT,26/01/2025,5.5,0.0, ,28.3,15.7,86,50,4.63,23.00
AVALON AIRPORT,27/01/2025,11.6,0.0, ,42.1,14.6,88,15,6.75,19.53
AVALON AIRPORT,28/01/2025,6.6,0.2, ,24.5,15.9,90,32,7.39,27.77
AVALON AIRPORT,29/01/2025,5.9,0.0, ,21.6,15.1,62,39,6.04,24.57
AVALON AIRPORT,30/01/2025,5.1,0.0, ,22.6,12.9,73,41,5.05,21.33
AVALON AIRPORT,31/01/2025,5.7,0.0, ,24.0,11.9,83,42,4.95,28.27
Totals:,,177.2,40.2, ,,,,,, 
