'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/02/2025,6.4,0.0, ,30.2,13.9,87,42,4.47,27.27
AVALON AIRPORT,02/02/2025,10.9,0.0, ,40.8,17.3,92,23,7.57,21.65
AVALON AIRPORT,03/02/2025,7.1,52.2, ,34.1,20.4,87,38,6.54,18.51
AVALON AIRPORT,04/02/2025,8.6,0.2, ,35.7,21.8,81,32,6.43,23.64
AVALON AIRPORT,05/02/2025,5.1,0.0, ,22.9,15.6,84,55,6.40,25.89
AVALON AIRPORT,06/02/2025,7.0,0.0, ,32.3,16.9,89,39,4.49,27.78
AVALON AIRPORT,07/02/2025,4.1,0.0, ,25.0,17.4,93,60,5.67,16.99
AVALON AIRPORT,08/02/2025,4.0,0.0, ,22.7,15.9,87,60,7.17,16.52
AVALON AIRPORT,09/02/2025,5.1,0.0, ,24.6,17.7,78,60,9.99,18.62
AVALON AIRPORT,10/02/2025,5.6,0.0, ,26.5,18.2,83,54,8.83,20.38
AVALON AIRPORT,11/02/2025,6.5,0.0, ,29.9,19.3,86,44,5.83,24.68
AVALON AIRPORT,12/02/2025,6.2,0.0, ,31.7,18.2,93,45,3.76,26.76
AVALON AIRPORT,13/02/2025,7.7,0.0, ,36.4,19.9,87,29,6.53,14.05
AVALON AIRPORT,14/02/2025,4.7,0.0, ,24.1,13.4,80,49,5.55,18.13
AVALON AIRPORT,15/02/2025,4.5,0.4, ,19.2,11.0,86,36,7.78,15.78
AVALON AIRPORT,16/02/2025,4.5,5.0, ,19.7,8.9,89,43,6.88,22.44
AVALON AIRPORT,17/02/2025,4.4,0.0, ,21.0,7.3,83,44,3.45,25.92
AVALON AIRPORT,18/02/2025,4.2,0.0, ,20.9,10.3,87,49,6.22,19.31
AVALON AIRPORT,19/02/2025,4.3,0.0, ,20.9,12.8,90,47,6.52,18.64
AVALON AIRPORT,20/02/2025,4.5,0.0, ,21.0,13.3,82,44,5.57,19.15
AVALON AIRPORT,21/02/2025,5.5,0.0, ,28.3,11.5,89,37,3.89,23.36
AVALON AIRPORT,22/02/2025,10.5,0.0, ,38.9,14.9,90,19,7.17,23.16
AVALON AIRPORT,23/02/2025,8.3,0.0, ,30.0,21.3,74,24,7.55,23.61
AVALON AIRPORT,24/02/2025,4.4,0.0, ,23.5,12.1,88,49,4.65,21.07
AVALON AIRPORT,25/02/2025,4.8,0.0, ,24.8,14.7,90,49,4.42,23.39
AVALON AIRPORT,26/02/2025,8.7,0.0, ,36.4,11.2,94,14,5.01,22.64
AVALON AIRPORT,27/02/2025,4.0,0.0, ,25.1,17.8,90,52,3.25,17.77
AVALON AIRPORT,28/02/2025,5.0,0.2, ,28.6,15.2,92,40,4.18,19.00
Totals:,,166.6,58, ,,,,,, 
