'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for AVALON AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
AVALON AIRPORT,01/04/2025,4.6,0.0, ,23.3,14.5,81,47,7.77,15.83
AVALON AIRPORT,02/04/2025,3.6,0.0, ,24.1,9.9,92,41,3.41,16.79
AVALON AIRPORT,03/04/2025,3.1,0.0, ,21.4,10.2,92,55,5.25,13.69
AVALON AIRPORT,04/04/2025,2.7,0.0, ,18.1,10.5,82,44,4.10,8.16
AVALON AIRPORT,05/04/2025,3.7,0.0, ,19.4,9.0,89,35,5.30,15.88
AVALON AIRPORT,06/04/2025,4.5,0.0, ,23.0,7.3,89,35,7.08,12.10
AVALON AIRPORT,07/04/2025,2.8,0.2, ,19.6,11.8,88,52,4.57,11.27
AVALON AIRPORT,08/04/2025,2.4,0.0, ,19.1,8.5,90,49,3.15,10.39
AVALON AIRPORT,09/04/2025,2.6,0.0, ,21.0,8.8,94,49,2.73,14.91
AVALON AIRPORT,10/04/2025,4.4,0.0, ,28.7,12.8,82,24,3.30,15.10
AVALON AIRPORT,11/04/2025,2.8,0.0, ,21.7,15.3,85,51,3.67,10.43
AVALON AIRPORT,12/04/2025,3.0,0.0, ,28.1,9.9,95,43,2.05,14.97
AVALON AIRPORT,13/04/2025,6.6,0.0, ,33.5,14.0,80,19,5.32,12.48
AVALON AIRPORT,14/04/2025,2.8,0.0, ,21.6,16.9,91,62,5.18,12.69
AVALON AIRPORT,15/04/2025,3.2,0.0, ,24.0,15.4,88,51,3.89,14.37
AVALON AIRPORT,16/04/2025,2.7,0.0, ,26.7,13.1,91,38,2.09,10.29
AVALON AIRPORT,17/04/2025,3.2,0.0, ,27.9,12.2,90,35,2.31,14.22
AVALON AIRPORT,18/04/2025,6.0,0.2, ,33.0,17.5,87,21,5.26,12.16
AVALON AIRPORT,19/04/2025,3.0,0.2, ,25.9,16.1,93,29,3.07,5.45
AVALON AIRPORT,20/04/2025,3.6,0.8, ,24.4,16.7,71,31,3.43,11.29
AVALON AIRPORT,21/04/2025,2.8,0.0, ,21.9,11.1,94,57,5.89,12.03
AVALON AIRPORT,22/04/2025,2.1,2.8, ,19.7,12.8,95,64,5.00,9.59
AVALON AIRPORT,23/04/2025,3.0,0.2, ,22.6,13.7,94,52,5.06,13.22
AVALON AIRPORT,24/04/2025,4.0,0.0, ,28.8,11.9,96,35,4.31,11.38
AVALON AIRPORT,25/04/2025,1.6,2.0, ,21.2,14.7,94,62,2.23,5.41
AVALON AIRPORT,26/04/2025,1.4,8.2, ,18.3,14.9,96,75,3.71,5.21
AVALON AIRPORT,27/04/2025,2.0,2.8, ,18.2,14.9,91,61,4.01,8.64
AVALON AIRPORT,28/04/2025,1.6,1.0, ,18.5,11.7,96,70,3.32,9.35
AVALON AIRPORT,29/04/2025,2.2,0.8, ,18.3,12.4,95,61,5.78,11.06
AVALON AIRPORT,30/04/2025,2.5,7.8, ,18.4,13.1,93,52,5.34,12.49
Totals:,,94.5,27, ,,,,,, 
