'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/09/2024,5.3,0.0, ,20.8,12.8,58,38,9.02,16.03
BAIRNSDALE AIRPORT,02/09/2024,3.8,3.6, ,14.2,8.3,89,30,11.33,11.93
BAIRNSDALE AIRPORT,03/09/2024,2.4,3.2, ,16.2,6.2,96,58,4.89,16.07
BAIRNSDALE AIRPORT,04/09/2024,2.6,0.0, ,20.1,2.0,99,39,2.43,14.64
BAIRNSDALE AIRPORT,05/09/2024,5.2,0.4, ,25.1,10.5,75,26,6.27,10.46
BAIRNSDALE AIRPORT,06/09/2024,5.7,0.2, ,28.5,13.7,97,28,6.56,15.48
BAIRNSDALE AIRPORT,07/09/2024,2.7,10.6, ,17.9,7.3,97,45,3.17,16.99
BAIRNSDALE AIRPORT,08/09/2024,3.3,0.0, ,19.4,6.0,93,37,4.31,15.99
BAIRNSDALE AIRPORT,09/09/2024, ,0.0, , ,10.0,85,47,5.65,17.38
BAIRNSDALE AIRPORT,10/09/2024,2.4, , ,18.3,3.9,97,56,2.26,17.59
BAIRNSDALE AIRPORT,11/09/2024,3.1,0.0, ,22.5,5.3,99,38,2.72,14.77
BAIRNSDALE AIRPORT,12/09/2024,1.9,18.8, ,14.5,8.1,95,68,4.23,11.18
BAIRNSDALE AIRPORT,13/09/2024,2.4,0.2, ,17.1,5.4,92,61,4.59,14.18
BAIRNSDALE AIRPORT,14/09/2024,1.2,1.4, ,9.6,7.3,97,73,5.32,6.20
BAIRNSDALE AIRPORT,15/09/2024,2.4,5.8, ,13.2,2.7,95,51,4.41,16.66
BAIRNSDALE AIRPORT,16/09/2024,2.3,0.0, ,15.0,5.6,92,65,6.46,14.78
BAIRNSDALE AIRPORT,17/09/2024,2.7,1.6, ,15.2,7.6,94,57,4.56,18.44
BAIRNSDALE AIRPORT,18/09/2024,4.8,0.0, ,21.4,1.3,99,21,5.47,19.25
BAIRNSDALE AIRPORT,19/09/2024,3.6,0.0, ,18.3,6.7,96,37,5.69,15.67
BAIRNSDALE AIRPORT,20/09/2024,3.6,0.0, ,17.8,7.4,94,42,6.14,18.45
BAIRNSDALE AIRPORT,21/09/2024,3.1,7.6, ,17.7,7.3,89,50,4.81,17.11
BAIRNSDALE AIRPORT,22/09/2024,3.7,0.2, ,19.8,6.8,95,44,5.08,19.20
BAIRNSDALE AIRPORT,23/09/2024,3.6,0.0, ,21.5,7.5,97,47,4.00,20.08
BAIRNSDALE AIRPORT,24/09/2024,3.1,0.0, ,23.3,10.6,97,50,2.68,15.48
BAIRNSDALE AIRPORT,25/09/2024,1.8,0.2, ,16.2,13.6,96,63,4.14,5.97
BAIRNSDALE AIRPORT,26/09/2024,2.5,2.4, ,13.8,5.5,89,54,4.26,15.50
BAIRNSDALE AIRPORT,27/09/2024,3.0,0.0, ,15.8,2.3,96,45,3.16,20.97
BAIRNSDALE AIRPORT,28/09/2024,3.0,0.2, ,19.2,3.0,98,52,2.42,21.11
BAIRNSDALE AIRPORT,29/09/2024,2.0,0.0, ,18.9,5.7,99,52,2.68,6.23
BAIRNSDALE AIRPORT,30/09/2024,3.2,4.4, ,19.0,7.3,100,53,3.52,21.24
Totals:,,90.4,60.8, ,,,,,, 
