'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/11/2024,3.5,0.0, ,18.0,4.5,94,40,3.88,18.20
BAIRNSDALE AIRPORT,02/11/2024,5.3,0.0, ,28.1,3.1,99,44,3.10,27.16
BAIRNSDALE AIRPORT,03/11/2024,8.4,0.0, ,30.9,12.8,81,14,6.41,23.01
BAIRNSDALE AIRPORT,04/11/2024,3.3,0.0, ,19.5,13.1,91,50,3.44,15.30
BAIRNSDALE AIRPORT,05/11/2024,4.4,0.0, ,21.9,5.9,98,53,3.05,27.94
BAIRNSDALE AIRPORT,06/11/2024,8.3,0.0, ,37.0,8.4,100,18,4.19,23.60
BAIRNSDALE AIRPORT,07/11/2024,2.7,0.0, ,17.5,13.8,87,60,3.25,12.64
BAIRNSDALE AIRPORT,08/11/2024,5.5,0.0, ,23.0,7.1,99,28,5.68,23.51
BAIRNSDALE AIRPORT,09/11/2024,4.1,0.2, ,21.0,5.1,96,40,3.33,22.38
BAIRNSDALE AIRPORT,10/11/2024,4.0,0.0, ,19.7,6.3,99,50,4.08,23.94
BAIRNSDALE AIRPORT,11/11/2024,5.2,0.0, ,24.4,7.6,97,37,3.07,28.55
BAIRNSDALE AIRPORT,12/11/2024, ,0.0, , ,10.0,100,56,1.85,22.52
BAIRNSDALE AIRPORT,13/11/2024,3.2, , ,26.8,15.9,99,52,3.48,9.39
BAIRNSDALE AIRPORT,14/11/2024,4.6,2.0, ,20.0,8.7,94,43,3.93,27.36
BAIRNSDALE AIRPORT,15/11/2024,3.5,0.0, ,19.6,12.5,92,59,3.77,19.06
BAIRNSDALE AIRPORT,16/11/2024,6.3,0.0, ,30.8,8.3,100,31,3.07,27.75
BAIRNSDALE AIRPORT,17/11/2024,4.2,0.0, ,28.1,18.4,96,35,5.37,5.59
BAIRNSDALE AIRPORT,18/11/2024,4.8,8.2, ,20.9,9.1,97,43,7.02,23.30
BAIRNSDALE AIRPORT,19/11/2024,4.6,0.0, ,20.0,7.2,93,45,3.70,28.57
BAIRNSDALE AIRPORT,20/11/2024,3.6,0.0, ,19.5,8.3,91,58,3.13,21.71
BAIRNSDALE AIRPORT,21/11/2024,5.2,0.0, ,25.6,11.8,97,51,2.60,29.03
BAIRNSDALE AIRPORT,22/11/2024,5.8,0.0, ,31.9,11.7,100,41,1.80,28.76
BAIRNSDALE AIRPORT,23/11/2024,8.6,0.0, ,38.0,13.2,98,16,3.96,25.93
BAIRNSDALE AIRPORT,24/11/2024,2.5,0.0, ,24.1,19.5,98,52,3.03,6.66
BAIRNSDALE AIRPORT,25/11/2024,1.3,7.4, ,20.5,17.6,100,93,2.14,5.76
BAIRNSDALE AIRPORT,26/11/2024,3.6,14.4, ,26.5,17.6,100,70,3.32,17.12
BAIRNSDALE AIRPORT,27/11/2024,4.5,0.2, ,30.2,17.5,99,46,3.31,16.16
BAIRNSDALE AIRPORT,28/11/2024,3.3,0.0, ,23.0,16.2,100,72,3.41,17.49
BAIRNSDALE AIRPORT,29/11/2024,2.3,2.8, ,22.2,17.7,100,83,5.99,12.01
BAIRNSDALE AIRPORT,30/11/2024, ,3.8, ,24.7,18.2,100,99,5.10, 
Totals:,,126.6,39, ,,,,,, 
