'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/12/2024,5.3,8.0, ,29.1,17.0,95,33,3.75,18.19
BAIRNSDALE AIRPORT,02/12/2024,6.5,0.0, ,28.9,13.6,99,34,3.30,31.00
BAIRNSDALE AIRPORT,03/12/2024,6.6,0.8, ,33.3,17.8,95,28,4.86,17.12
BAIRNSDALE AIRPORT,04/12/2024,5.3,0.4, ,21.5,11.7,90,47,3.81,31.58
BAIRNSDALE AIRPORT,05/12/2024,6.4,0.0, ,30.3,11.0,98,38,2.76,31.52
BAIRNSDALE AIRPORT,06/12/2024,6.8,0.0, ,35.0,14.1,91,23,2.85,24.29
BAIRNSDALE AIRPORT,07/12/2024,4.5,3.6, ,29.5,18.0,97,52,4.64,15.00
BAIRNSDALE AIRPORT,08/12/2024,6.4,6.0, ,22.8,14.0,86,38,7.33,31.00
BAIRNSDALE AIRPORT,09/12/2024,4.4,0.0, ,21.9,8.1,96,47,3.20,24.92
BAIRNSDALE AIRPORT,10/12/2024,4.6,0.0, ,23.3,9.2,98,45,3.86,22.93
BAIRNSDALE AIRPORT,11/12/2024,5.6,0.0, ,25.1,13.4,92,38,3.91,26.81
BAIRNSDALE AIRPORT,12/12/2024,6.2,0.0, ,27.6,10.2,97,45,3.95,31.92
BAIRNSDALE AIRPORT,13/12/2024,2.9,0.0, ,21.7,13.7,99,65,3.61,13.86
BAIRNSDALE AIRPORT,14/12/2024,3.8,0.0, ,22.8,10.8,97,65,3.25,21.39
BAIRNSDALE AIRPORT,15/12/2024,5.2,0.0, ,24.2,17.0,97,62,3.80,29.35
BAIRNSDALE AIRPORT,16/12/2024,8.9,0.0, ,41.9,13.2,100,16,2.98,28.34
BAIRNSDALE AIRPORT,17/12/2024,6.4,0.0, ,27.6,18.4,92,26,5.99,19.58
BAIRNSDALE AIRPORT,18/12/2024,4.8,1.4, ,21.4,9.8,93,49,4.29,27.84
BAIRNSDALE AIRPORT,19/12/2024,5.8,0.0, ,23.5,6.6,100,37,4.64,31.91
BAIRNSDALE AIRPORT,20/12/2024,5.3,0.0, ,24.1,9.5,98,51,3.69,30.73
BAIRNSDALE AIRPORT,21/12/2024,5.8,0.0, ,25.0,14.1,96,37,5.07,26.13
BAIRNSDALE AIRPORT,22/12/2024,4.6,0.0, ,22.7,12.8,93,48,3.53,23.31
BAIRNSDALE AIRPORT,23/12/2024,5.0,8.2, ,19.9,10.2,95,40,8.75,23.37
BAIRNSDALE AIRPORT,24/12/2024,5.2,0.2, ,25.2,11.5,96,43,5.97,20.94
BAIRNSDALE AIRPORT,25/12/2024,5.7,0.0, ,28.0,11.0,98,59,3.44,31.47
BAIRNSDALE AIRPORT,26/12/2024,9.4,0.0, ,37.8,12.8,98,15,4.44,28.18
BAIRNSDALE AIRPORT,27/12/2024,7.7,0.0, ,25.8,16.5,74,26,7.40,28.09
BAIRNSDALE AIRPORT,28/12/2024,6.0,0.0, ,27.5,10.8,94,28,3.33,26.52
BAIRNSDALE AIRPORT,29/12/2024,6.3,1.4, ,26.7,12.0,98,35,3.89,31.20
BAIRNSDALE AIRPORT,30/12/2024,5.5,0.0, ,26.0,10.6,99,48,3.26,29.79
BAIRNSDALE AIRPORT,31/12/2024,4.5,0.0, ,24.3,12.5,99,57,3.41,23.98
Totals:,,177.4,30, ,,,,,, 
