'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/02/2025,4.9,0.0, ,26.3,9.5,100,59,3.00,28.87
BAIRNSDALE AIRPORT,02/02/2025,7.3,0.0, ,37.0,16.0,100,27,2.87,27.88
BAIRNSDALE AIRPORT,03/02/2025,7.2,0.0, ,37.1,17.9,93,24,3.31,23.74
BAIRNSDALE AIRPORT,04/02/2025,8.1,0.0, ,39.3,19.0,93,19,4.59,18.30
BAIRNSDALE AIRPORT,05/02/2025,2.6,1.4, ,22.1,15.3,97,68,4.52,10.21
BAIRNSDALE AIRPORT,06/02/2025,5.7,1.4, ,31.0,18.7,99,61,4.94,26.60
BAIRNSDALE AIRPORT,07/02/2025,6.2,0.0, ,34.6,18.0,100,32,3.70,19.91
BAIRNSDALE AIRPORT,08/02/2025,1.7,0.0, ,19.0,16.7,98,75,5.81,4.82
BAIRNSDALE AIRPORT,09/02/2025,2.1,31.4, ,22.0,16.6,99,80,7.93,8.70
BAIRNSDALE AIRPORT,10/02/2025,1.3,14.8, ,19.5,17.0,100,90,6.14,6.32
BAIRNSDALE AIRPORT,11/02/2025,3.6,10.0, ,24.5,15.8,100,70,3.48,19.28
BAIRNSDALE AIRPORT,12/02/2025,5.1,1.2, ,28.5,18.2,100,62,3.28,26.68
BAIRNSDALE AIRPORT,13/02/2025,6.3,0.0, ,34.1,17.9,99,29,3.26,22.54
BAIRNSDALE AIRPORT,14/02/2025,1.2,8.0, ,19.3,17.1,97,85,2.29,4.40
BAIRNSDALE AIRPORT,15/02/2025,3.4,8.8, ,18.0,12.8,87,55,7.56,13.09
BAIRNSDALE AIRPORT,16/02/2025,4.8,2.0, ,19.7,9.6,79,38,6.52,20.85
BAIRNSDALE AIRPORT,17/02/2025,4.4,0.0, ,20.9,8.2,93,44,3.36,26.27
BAIRNSDALE AIRPORT,18/02/2025,4.9,0.0, ,24.3,11.2,96,41,4.54,23.57
BAIRNSDALE AIRPORT,19/02/2025,3.5,0.0, ,20.4,11.8,78,50,4.58,12.73
BAIRNSDALE AIRPORT,20/02/2025,4.4,0.0, ,21.3,12.8,91,44,3.65,23.63
BAIRNSDALE AIRPORT,21/02/2025,4.1,0.0, ,23.3,7.3,99,55,2.55,25.44
BAIRNSDALE AIRPORT,22/02/2025,5.3,0.0, ,33.0,12.9,100,39,2.62,22.18
BAIRNSDALE AIRPORT,23/02/2025,6.3,0.0, ,33.6,17.6,92,31,5.54,13.69
BAIRNSDALE AIRPORT,24/02/2025,3.9,5.6, ,24.5,15.0,93,50,3.53,17.20
BAIRNSDALE AIRPORT,25/02/2025,3.7,0.0, ,23.0,13.5,97,60,3.20,21.10
BAIRNSDALE AIRPORT,26/02/2025,6.0,0.0, ,34.8,12.0,100,26,2.53,23.95
BAIRNSDALE AIRPORT,27/02/2025,3.8,0.0, ,24.0,13.2,95,66,2.63,22.77
BAIRNSDALE AIRPORT,28/02/2025,5.1,0.0, ,27.6,16.5,96,45,3.79,23.63
Totals:,,126.9,84.6, ,,,,,, 
