'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/03/2025,3.0,0.0, ,23.9,13.4,100,66,2.83,15.88
BAIRNSDALE AIRPORT,02/03/2025,2.2,0.0, ,21.4,17.6,90,61,2.51,7.44
BAIRNSDALE AIRPORT,03/03/2025,2.5,0.0, ,20.2,14.3,91,61,2.21,11.72
BAIRNSDALE AIRPORT,04/03/2025,4.9,0.0, ,26.5,11.2,98,47,5.01,23.23
BAIRNSDALE AIRPORT,05/03/2025,5.2,0.0, ,32.2,12.9,99,31,2.32,23.01
BAIRNSDALE AIRPORT,06/03/2025,4.5,0.0, ,26.7,14.0,95,53,4.49,21.46
BAIRNSDALE AIRPORT,07/03/2025,4.6,0.0, ,25.4,14.8,94,54,5.33,22.67
BAIRNSDALE AIRPORT,08/03/2025,4.0,0.0, ,26.8,10.2,100,48,1.99,22.46
BAIRNSDALE AIRPORT,09/03/2025,5.4,0.0, ,32.5,13.9,99,32,2.89,21.84
BAIRNSDALE AIRPORT,10/03/2025,4.6,0.2, ,31.3,18.4,94,40,3.39,15.43
BAIRNSDALE AIRPORT,11/03/2025,1.4,0.4, ,21.5,18.9,97,87,5.45,5.10
BAIRNSDALE AIRPORT,12/03/2025,4.7,0.4, ,30.8,19.6,97,48,3.43,19.80
BAIRNSDALE AIRPORT,13/03/2025,2.1,1.6, ,22.6,16.7,95,70,3.01,7.92
BAIRNSDALE AIRPORT,14/03/2025,3.4,0.0, ,26.3,12.9,100,57,2.53,17.56
BAIRNSDALE AIRPORT,15/03/2025,3.4,0.0, ,30.3,13.1,100,40,1.66,14.47
BAIRNSDALE AIRPORT,16/03/2025,3.0,0.0, ,24.8,17.5,99,45,5.74,2.51
BAIRNSDALE AIRPORT,17/03/2025,3.3,30.4, ,18.6,9.7,87,46,4.25,15.90
BAIRNSDALE AIRPORT,18/03/2025,3.3,0.0, ,21.0,7.2,98,50,3.01,20.33
BAIRNSDALE AIRPORT,19/03/2025,3.5,0.2, ,26.3,9.1,100,52,2.35,19.05
BAIRNSDALE AIRPORT,20/03/2025,3.3,0.0, ,30.0,13.9,98,42,3.05,7.76
BAIRNSDALE AIRPORT,21/03/2025,1.4,16.4, ,17.1,15.4,100,76,3.01,6.12
BAIRNSDALE AIRPORT,22/03/2025,3.0,2.0, ,22.2,14.8,96,61,2.50,17.82
BAIRNSDALE AIRPORT,23/03/2025,2.7,0.2, ,21.7,9.8,100,65,2.45,17.63
BAIRNSDALE AIRPORT,24/03/2025,1.5,0.0, ,20.5,13.1,99,75,2.35,5.92
BAIRNSDALE AIRPORT,25/03/2025,2.0,0.0, ,21.3,12.7,98,67,2.01,10.24
BAIRNSDALE AIRPORT,26/03/2025,1.4,0.0, ,19.3,14.7,98,77,1.95,5.85
BAIRNSDALE AIRPORT,27/03/2025,1.8,0.0, ,20.3,15.0,91,71,2.93,6.65
BAIRNSDALE AIRPORT,28/03/2025,2.7,0.0, ,25.6,12.6,100,58,1.31,16.04
BAIRNSDALE AIRPORT,29/03/2025,2.3,0.0, ,23.9,16.6,99,67,4.24,8.41
BAIRNSDALE AIRPORT,30/03/2025,1.7,2.6, ,17.8,16.6,98,76,8.27,5.69
BAIRNSDALE AIRPORT,31/03/2025,2.2,4.2, ,19.2,15.2,95,69,6.04,9.54
Totals:,,95,58.6, ,,,,,, 
