'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BAIRNSDALE AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BAIRNSDALE AIRPORT,01/04/2025,2.5,3.2, ,20.6,13.2,97,54,3.27,11.41
BAIRNSDALE AIRPORT,02/04/2025,2.6,0.2, ,20.8,8.2,100,56,2.39,16.87
BAIRNSDALE AIRPORT,03/04/2025,2.8,0.0, ,22.5,9.6,99,52,3.08,14.31
BAIRNSDALE AIRPORT,04/04/2025,2.5,0.0, ,19.4,11.8,94,51,3.46,11.36
BAIRNSDALE AIRPORT,05/04/2025,3.4,0.0, ,18.5,10.8,90,39,5.79,14.38
BAIRNSDALE AIRPORT,06/04/2025,4.0,0.0, ,22.0,3.2,99,32,5.17,15.69
BAIRNSDALE AIRPORT,07/04/2025,3.0,0.4, ,19.4,10.6,92,56,7.01,12.46
BAIRNSDALE AIRPORT,08/04/2025,2.6,0.0, ,21.1,8.2,96,52,2.60,16.01
BAIRNSDALE AIRPORT,09/04/2025,2.3,0.0, ,21.7,8.8,99,57,1.72,15.86
BAIRNSDALE AIRPORT,10/04/2025,3.1,0.0, ,25.4,7.9,100,32,2.16,14.93
BAIRNSDALE AIRPORT,11/04/2025,2.3,0.0, ,22.8,11.7,98,62,2.86,11.73
BAIRNSDALE AIRPORT,12/04/2025,2.8,0.0, ,25.5,12.6,99,57,2.60,15.32
BAIRNSDALE AIRPORT,13/04/2025,4.2,0.0, ,31.3,12.4,99,23,2.74,14.93
BAIRNSDALE AIRPORT,14/04/2025,2.0,0.0, ,19.0,15.5,98,58,4.62,5.43
BAIRNSDALE AIRPORT,15/04/2025,2.5,5.2, ,21.1,12.2,98,63,4.70,14.75
BAIRNSDALE AIRPORT,16/04/2025,2.1,0.2, ,22.3,8.1,100,58,1.72,14.44
BAIRNSDALE AIRPORT,17/04/2025,2.5,0.0, ,23.1,7.9,100,49,2.25,14.48
BAIRNSDALE AIRPORT,18/04/2025,3.0,0.2, ,27.0,8.6,100,36,2.59,10.21
BAIRNSDALE AIRPORT,19/04/2025,3.1,0.0, ,28.3,11.9,99,32,2.46,10.18
BAIRNSDALE AIRPORT,20/04/2025,3.0,0.0, ,26.9,12.0,96,34,2.87,7.30
BAIRNSDALE AIRPORT,21/04/2025,2.3,3.6, ,21.4,13.7,97,59,4.19,9.33
BAIRNSDALE AIRPORT,22/04/2025,1.1,6.6, ,17.5,13.8,99,82,4.24,3.57
BAIRNSDALE AIRPORT,23/04/2025,1.3,3.8, ,19.1,12.7,98,77,3.16,5.97
BAIRNSDALE AIRPORT,24/04/2025,2.5,0.2, ,26.3,9.7,100,44,1.96,12.91
BAIRNSDALE AIRPORT,25/04/2025,2.8,0.0, ,27.0,12.6,97,45,2.86,11.77
BAIRNSDALE AIRPORT,26/04/2025,2.0,0.0, ,22.2,12.5,100,62,2.43,12.59
BAIRNSDALE AIRPORT,27/04/2025,0.9,0.0, ,17.5,12.9,100,84,2.91,4.12
BAIRNSDALE AIRPORT,28/04/2025,1.0,0.0, ,16.5,13.4,97,83,1.97,5.33
BAIRNSDALE AIRPORT,29/04/2025,1.2,0.2, ,17.1,13.9,99,75,3.71,4.38
BAIRNSDALE AIRPORT,30/04/2025,1.7,19.6, ,17.2,8.7,99,59,2.95,9.89
Totals:,,73.1,43.4, ,,,,,, 
