'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/09/2024,2.3,0.2, ,14.4,9.2,94,64,11.45,9.78
BALLARAT AERODROME,02/09/2024,2.1,2.6, ,9.9,3.6,93,58,10.98,11.82
BALLARAT AERODROME,03/09/2024,2.1,2.8, ,14.1,3.6,97,56,3.45,15.01
BALLARAT AERODROME,04/09/2024,3.0,0.0, ,15.0,4.9,89,50,8.96,13.76
BALLARAT AERODROME,05/09/2024,3.0,1.4, ,16.9,8.5,82,48,8.12,4.76
BALLARAT AERODROME,06/09/2024,2.3,3.4, ,16.3,10.8,95,48,5.71,4.55
BALLARAT AERODROME,07/09/2024,2.2,1.0, ,15.1,2.5,98,58,4.45,14.45
BALLARAT AERODROME,08/09/2024,2.0,0.4, ,15.1,4.6,95,66,7.29,10.49
BALLARAT AERODROME,09/09/2024,2.0,3.2, ,14.3,5.9,95,65,5.12,11.45
BALLARAT AERODROME,10/09/2024,2.3,0.6, ,15.2,3.7,96,58,4.16,16.14
BALLARAT AERODROME,11/09/2024,2.3,0.2, ,16.0,7.2,96,63,5.84,13.06
BALLARAT AERODROME,12/09/2024,2.5,5.4, ,12.8,5.1,91,57,5.91,17.45
BALLARAT AERODROME,13/09/2024,1.5,0.0, ,10.6,6.9,93,70,3.99,8.83
BALLARAT AERODROME,14/09/2024,2.1,1.0, ,9.2,5.9,96,53,6.00,14.46
BALLARAT AERODROME,15/09/2024,2.1,3.0, ,11.2,1.3,94,58,5.57,14.75
BALLARAT AERODROME,16/09/2024,1.4,0.0, ,10.2,3.3,95,74,4.63,9.08
BALLARAT AERODROME,17/09/2024,2.3,2.0, ,13.3,4.6,96,58,3.73,17.27
BALLARAT AERODROME,18/09/2024,3.5,0.0, ,16.5,0.7,95,39,6.51,19.22
BALLARAT AERODROME,19/09/2024,2.1,3.0, ,12.2,6.5,96,65,6.85,14.32
BALLARAT AERODROME,20/09/2024,2.2,1.4, ,14.6,3.8,96,63,6.40,12.88
BALLARAT AERODROME,21/09/2024,2.3,3.0, ,14.0,5.9,95,61,6.36,13.36
BALLARAT AERODROME,22/09/2024,2.8,2.4, ,16.4,7.6,96,55,5.53,16.39
BALLARAT AERODROME,23/09/2024,1.9,0.2, ,14.8,4.3,97,68,4.50,10.62
BALLARAT AERODROME,24/09/2024,3.6,0.0, ,21.7,7.0,96,45,4.16,18.07
BALLARAT AERODROME,25/09/2024,1.8,1.0, ,11.9,10.7,95,65,4.95,8.49
BALLARAT AERODROME,26/09/2024,2.6,3.4, ,12.5,1.7,89,54,6.00,18.37
BALLARAT AERODROME,27/09/2024,3.0,0.0, ,17.2,0.5,92,52,3.19,21.12
BALLARAT AERODROME,28/09/2024,4.3,0.0, ,18.4,2.1,84,43,9.27,20.71
BALLARAT AERODROME,29/09/2024,2.2,2.0, ,15.3,8.9,95,60,6.18,8.04
BALLARAT AERODROME,30/09/2024,2.7,1.2, ,16.3,1.7,96,54,3.27,18.57
Totals:,,72.5,44.8, ,,,,,, 
