'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/10/2024,2.4,0.2, ,15.3,4.3,97,59,3.69,14.48
BALLARAT AERODROME,02/10/2024,3.6,0.2, ,19.4,3.9,97,49,4.72,22.10
BALLARAT AERODROME,03/10/2024,4.7,0.0, ,22.1,5.3,95,42,6.79,22.30
BALLARAT AERODROME,04/10/2024,4.2,1.4, ,21.0,12.6,86,50,8.79,15.15
BALLARAT AERODROME,05/10/2024,1.8,0.0, ,14.6,4.5,97,75,4.97,11.59
BALLARAT AERODROME,06/10/2024,3.3,12.6, ,17.0,7.0,95,52,7.43,16.73
BALLARAT AERODROME,07/10/2024,2.1,0.2, ,15.1,8.7,95,66,6.13,10.22
BALLARAT AERODROME,08/10/2024,2.6,5.0, ,12.2,1.0,94,50,5.34,17.07
BALLARAT AERODROME,09/10/2024,3.9,0.2, ,17.6,1.9,88,40,4.60,23.48
BALLARAT AERODROME,10/10/2024,4.1,0.0, ,17.4,7.3,85,43,5.97,23.46
BALLARAT AERODROME,11/10/2024,2.6,0.0, ,14.2,2.7,92,56,4.65,15.73
BALLARAT AERODROME,12/10/2024,4.1,0.0, ,17.3,4.7,87,39,5.61,24.06
BALLARAT AERODROME,13/10/2024,4.6,0.0, ,21.4,3.2,89,38,5.58,21.76
BALLARAT AERODROME,14/10/2024,3.7,3.2, ,18.8,10.4,96,58,6.44,22.40
BALLARAT AERODROME,15/10/2024,4.4,0.4, ,23.3,7.3,96,51,6.02,21.10
BALLARAT AERODROME,16/10/2024,3.1,0.4, ,19.5,14.1,90,72,6.63,17.73
BALLARAT AERODROME,17/10/2024,3.2,0.0, ,20.9,13.1,92,62,7.58,12.42
BALLARAT AERODROME,18/10/2024,2.7,9.2, ,21.3,15.7,97,70,7.16,11.67
BALLARAT AERODROME,19/10/2024,2.9,16.4, ,15.6,8.6,97,70,5.79,21.85
BALLARAT AERODROME,20/10/2024,3.8,0.2, ,18.1,8.7,94,59,7.40,24.77
BALLARAT AERODROME,21/10/2024,5.4,0.0, ,24.0,8.7,91,39,5.39,25.72
BALLARAT AERODROME,22/10/2024,5.2,0.0, ,27.3,10.8,93,44,5.09,20.93
BALLARAT AERODROME,23/10/2024,4.3,0.0, ,18.5,8.0,94,39,4.92,24.27
BALLARAT AERODROME,24/10/2024,3.5,0.0, ,15.2,5.5,94,41,4.93,20.78
BALLARAT AERODROME,25/10/2024,3.5,1.0, ,14.7,5.7,94,40,4.38,21.56
BALLARAT AERODROME,26/10/2024,4.7,0.0, ,19.7,1.6,91,23,3.84,25.51
BALLARAT AERODROME,27/10/2024,5.2,0.0, ,24.7,11.6,87,35,5.48,18.89
BALLARAT AERODROME,28/10/2024,4.4,0.0, ,17.5,8.5,91,42,5.28,26.72
BALLARAT AERODROME,29/10/2024,4.0,0.0, ,18.5,5.4,91,49,3.84,24.86
BALLARAT AERODROME,30/10/2024,4.9,0.0, ,21.9,7.4,96,35,4.09,25.84
BALLARAT AERODROME,31/10/2024,3.7,0.2, ,18.0,8.5,95,47,5.09,19.06
Totals:,,116.6,50.8, ,,,,,, 
