'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/01/2025,5.8,0.0, ,23.5,9.3,97,38,5.33,29.48
BALLARAT AERODROME,02/01/2025,6.2,0.0, ,22.1,7.4,91,34,7.23,31.42
BALLARAT AERODROME,03/01/2025,8.7,0.0, ,31.1,10.1,86,17,5.44,31.42
BALLARAT AERODROME,04/01/2025,9.9,0.0, ,35.8,13.7,53,10,5.29,24.43
BALLARAT AERODROME,05/01/2025,10.1,0.0, ,38.0,18.8,48,12,6.18,14.75
BALLARAT AERODROME,06/01/2025,2.7,15.4, ,16.9,12.8,96,51,5.64,8.64
BALLARAT AERODROME,07/01/2025,5.7,6.4, ,22.8,8.2,91,45,9.20,27.98
BALLARAT AERODROME,08/01/2025,7.4,0.0, ,29.7,10.3,91,27,4.75,29.87
BALLARAT AERODROME,09/01/2025,5.5,0.0, ,26.5,16.6,61,39,5.13,14.31
BALLARAT AERODROME,10/01/2025,7.6,0.0, ,31.6,19.5,84,15,4.61,23.45
BALLARAT AERODROME,11/01/2025,7.7,0.0, ,33.3,13.1,94,24,4.90,24.35
BALLARAT AERODROME,12/01/2025,3.3,0.0, ,25.2,16.3,94,46,3.88,8.29
BALLARAT AERODROME,13/01/2025,6.8,11.0, ,30.4,14.1,98,31,3.85,28.44
BALLARAT AERODROME,14/01/2025,8.4,0.0, ,31.2,14.1,93,23,5.92,30.98
BALLARAT AERODROME,15/01/2025,5.6,0.0, ,24.2,19.6,76,38,6.24,17.27
BALLARAT AERODROME,16/01/2025,4.4,0.0, ,21.4,7.4,89,41,5.05,18.02
BALLARAT AERODROME,17/01/2025,6.5,0.0, ,23.7,12.1,94,31,6.96,29.78
BALLARAT AERODROME,18/01/2025,8.2,0.0, ,31.5,13.0,84,20,4.80,30.48
BALLARAT AERODROME,19/01/2025,8.0,0.0, ,33.0,12.0,77,22,4.56,27.13
BALLARAT AERODROME,20/01/2025,7.3,0.0, ,34.0,15.8,69,21,4.28,18.68
BALLARAT AERODROME,21/01/2025,8.9,0.0, ,35.4,15.8,84,23,4.93,29.46
BALLARAT AERODROME,22/01/2025,6.0,0.0, ,23.4,12.8,86,40,9.04,24.22
BALLARAT AERODROME,23/01/2025,3.8,0.0, ,20.0,10.1,85,50,6.31,13.39
BALLARAT AERODROME,24/01/2025,5.8,0.0, ,23.7,8.8,90,37,5.09,28.55
BALLARAT AERODROME,25/01/2025,6.2,0.0, ,27.1,11.2,95,31,4.42,26.83
BALLARAT AERODROME,26/01/2025,6.4,0.0, ,27.0,13.4,88,41,6.12,28.00
BALLARAT AERODROME,27/01/2025,11.6,0.0, ,39.0,14.5,90,17,7.99,25.39
BALLARAT AERODROME,28/01/2025,6.2,0.0, ,23.4,12.1,95,31,7.08,28.21
BALLARAT AERODROME,29/01/2025,6.5,0.0, ,23.1,9.4,81,31,7.56,28.75
BALLARAT AERODROME,30/01/2025,6.3,0.0, ,23.7,8.7,81,35,7.03,28.13
BALLARAT AERODROME,31/01/2025,6.7,0.0, ,26.2,10.0,92,34,7.08,28.46
Totals:,,210.2,32.8, ,,,,,, 
