'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BALLARAT AERODROME Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BALLARAT AERODROME,01/03/2025,5.5,0.0, ,27.1,12.2,97,29,4.16,23.54
BALLARAT AERODROME,02/03/2025,4.0,0.0, ,21.4,12.7,90,53,6.57,18.11
BALLARAT AERODROME,03/03/2025,5.8,0.0, ,22.8,10.4,85,33,8.11,23.09
BALLARAT AERODROME,04/03/2025,7.0,0.0, ,30.4,11.3,90,25,5.87,22.83
BALLARAT AERODROME,05/03/2025,7.5,0.0, ,33.0,15.8,85,24,5.62,22.57
BALLARAT AERODROME,06/03/2025,5.0,0.0, ,25.4,14.3,90,49,7.75,18.48
BALLARAT AERODROME,07/03/2025,6.9,0.0, ,30.9,14.8,91,29,6.24,22.15
BALLARAT AERODROME,08/03/2025,6.7,0.0, ,31.5,13.0,84,24,4.76,21.94
BALLARAT AERODROME,09/03/2025,6.6,0.0, ,32.0,16.8,91,34,6.17,19.47
BALLARAT AERODROME,10/03/2025,6.2,1.6, ,32.3,16.3,96,29,4.59,21.09
BALLARAT AERODROME,11/03/2025,5.8,0.4, ,32.6,18.5,86,34,4.47,17.77
BALLARAT AERODROME,12/03/2025,6.4,0.0, ,32.5,20.1,92,35,6.35,17.92
BALLARAT AERODROME,13/03/2025,5.7,2.2, ,28.3,14.8,92,30,4.82,21.16
BALLARAT AERODROME,14/03/2025,5.6,0.0, ,31.6,9.6,92,16,2.91,20.90
BALLARAT AERODROME,15/03/2025,7.4,0.0, ,36.0,14.7,71,17,4.80,14.69
BALLARAT AERODROME,16/03/2025,2.9,4.0, ,18.7,17.2,94,48,5.98,7.77
BALLARAT AERODROME,17/03/2025,3.3,2.8, ,17.3,5.9,91,43,4.61,16.69
BALLARAT AERODROME,18/03/2025,4.5,0.2, ,23.7,6.1,92,29,3.99,20.19
BALLARAT AERODROME,19/03/2025,5.5,0.0, ,28.8,8.3,82,19,3.75,19.15
BALLARAT AERODROME,20/03/2025,4.0,0.0, ,23.2,13.8,95,28,6.00,5.35
BALLARAT AERODROME,21/03/2025,2.5,9.8, ,18.8,12.6,97,67,4.27,14.32
BALLARAT AERODROME,22/03/2025,3.7,0.2, ,21.2,5.9,94,42,4.07,19.48
BALLARAT AERODROME,23/03/2025,4.5,0.0, ,23.6,10.9,90,38,5.38,18.59
BALLARAT AERODROME,24/03/2025,4.0,0.0, ,21.6,11.2,95,45,6.61,18.08
BALLARAT AERODROME,25/03/2025,4.9,0.0, ,25.4,11.9,93,45,7.44,18.82
BALLARAT AERODROME,26/03/2025,4.5,0.0, ,23.8,13.1,94,47,7.67,18.23
BALLARAT AERODROME,27/03/2025,5.4,0.0, ,24.3,11.9,89,36,8.47,18.43
BALLARAT AERODROME,28/03/2025,4.0,0.0, ,26.6,10.7,91,46,4.53,15.24
BALLARAT AERODROME,29/03/2025,3.0,0.0, ,21.3,15.8,95,60,6.63,11.43
BALLARAT AERODROME,30/03/2025,3.6,0.2, ,20.2,11.6,97,51,10.14,13.22
BALLARAT AERODROME,31/03/2025,4.0,0.2, ,19.3,11.6,89,48,10.97,15.20
Totals:,,156.4,21.6, ,,,,,, 
