'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/09/2024,3.1,0.0, ,17.6,10.3,76,52,6.42,9.91
BENDIGO AIRPORT,02/09/2024,3.0,0.4, ,13.4,7.0,90,40,7.33,14.81
BENDIGO AIRPORT,03/09/2024,1.7,0.2, ,15.9,1.4,98,50,0.78,13.73
BENDIGO AIRPORT,04/09/2024,2.9,0.0, ,19.2,1.1,97,38,3.04,16.22
BENDIGO AIRPORT,05/09/2024,2.5,1.0, ,20.8,9.5,84,46,3.39,6.15
BENDIGO AIRPORT,06/09/2024,4.5,0.4, ,26.3,11.5,85,33,5.06,11.78
BENDIGO AIRPORT,07/09/2024,2.4,1.0, ,17.1,3.0,99,43,2.20,16.64
BENDIGO AIRPORT,08/09/2024,2.2,0.0, ,16.4,2.0,99,53,3.33,12.83
BENDIGO AIRPORT,09/09/2024,2.3,0.2, ,17.0,5.4,98,52,2.98,13.03
BENDIGO AIRPORT,10/09/2024,2.2,0.0, ,18.0,1.6,97,51,1.32,17.11
BENDIGO AIRPORT,11/09/2024,2.7,0.2, ,20.0,5.0,96,48,3.34,13.59
BENDIGO AIRPORT,12/09/2024,3.3,9.0, ,16.1,7.0,82,44,5.41,18.38
BENDIGO AIRPORT,13/09/2024,2.4,0.0, ,17.3,2.0,96,53,1.84,18.23
BENDIGO AIRPORT,14/09/2024,2.7,0.0, ,13.7,2.2,95,41,4.41,16.18
BENDIGO AIRPORT,15/09/2024,2.9,0.0, ,13.7,2.1,87,39,4.16,18.36
BENDIGO AIRPORT,16/09/2024,2.3,0.0, ,14.7,-0.8,93,54,3.75,14.56
BENDIGO AIRPORT,17/09/2024,3.3,0.0, ,17.2,7.9,87,33,3.21,18.78
BENDIGO AIRPORT,18/09/2024,4.1,0.0, ,20.0,-1.1,92,18,3.61,19.44
BENDIGO AIRPORT,19/09/2024,3.6,0.0, ,17.2,7.9,86,38,5.54,16.75
BENDIGO AIRPORT,20/09/2024,2.4,0.0, ,16.4,3.6,96,57,4.36,12.85
BENDIGO AIRPORT,21/09/2024,3.3,1.8, ,17.2,7.3,94,42,4.91,17.19
BENDIGO AIRPORT,22/09/2024,2.8,0.2, ,18.5,8.9,94,53,4.08,13.69
BENDIGO AIRPORT,23/09/2024,2.7,0.2, ,18.7,5.1,99,51,2.92,15.36
BENDIGO AIRPORT,24/09/2024,3.8,0.0, ,24.1,6.4,93,25,2.89,13.44
BENDIGO AIRPORT,25/09/2024,3.2,0.0, ,17.8,12.4,78,39,4.07,10.82
BENDIGO AIRPORT,26/09/2024,3.9,0.0, ,15.6,6.4,76,38,6.19,20.79
BENDIGO AIRPORT,27/09/2024,3.5,0.0, ,18.8,2.9,87,30,2.51,21.09
BENDIGO AIRPORT,28/09/2024,4.3,0.0, ,21.1,1.7,88,31,4.47,20.57
BENDIGO AIRPORT,29/09/2024,1.5,2.4, ,15.1,10.8,97,65,2.53,5.67
BENDIGO AIRPORT,30/09/2024,2.9,7.8, ,19.5,1.7,100,40,1.57,18.86
Totals:,,88.4,24.8, ,,,,,, 
