'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/03/2025,6.9,0.0, ,32.9,11.5,88,11,3.53,23.31
BENDIGO AIRPORT,02/03/2025,5.4,0.0, ,25.1,14.9,75,38,5.34,19.97
BENDIGO AIRPORT,03/03/2025,6.9,0.0, ,28.3,10.3,76,19,5.24,23.57
BENDIGO AIRPORT,04/03/2025,6.9,0.0, ,33.1,12.1,70,20,3.76,23.28
BENDIGO AIRPORT,05/03/2025,7.2,0.0, ,34.6,16.4,58,19,3.66,23.13
BENDIGO AIRPORT,06/03/2025,6.8,0.0, ,31.8,17.2,75,32,5.00,22.42
BENDIGO AIRPORT,07/03/2025,6.3,0.0, ,32.4,16.3,81,21,3.41,22.71
BENDIGO AIRPORT,08/03/2025,6.0,0.0, ,31.9,14.2,77,19,2.95,22.49
BENDIGO AIRPORT,09/03/2025,6.4,0.0, ,33.4,17.3,91,29,4.54,20.03
BENDIGO AIRPORT,10/03/2025,5.2,4.2, ,32.9,17.5,96,33,2.51,21.44
BENDIGO AIRPORT,11/03/2025,6.0,0.2, ,34.4,18.2,75,28,3.11,20.99
BENDIGO AIRPORT,12/03/2025,5.0,0.0, ,33.9,17.9,76,28,2.82,13.95
BENDIGO AIRPORT,13/03/2025,6.6,0.0, ,33.9,17.3,82,22,3.81,21.52
BENDIGO AIRPORT,14/03/2025,6.1,0.0, ,34.7,11.8,85,9,2.64,21.10
BENDIGO AIRPORT,15/03/2025,7.5,0.0, ,38.6,17.2,58,11,3.56,18.60
BENDIGO AIRPORT,16/03/2025,4.1,0.0, ,24.8,23.9,93,29,5.55,7.51
BENDIGO AIRPORT,17/03/2025,4.2,3.4, ,20.4,7.5,81,32,4.40,19.29
BENDIGO AIRPORT,18/03/2025,4.9,0.0, ,25.8,9.5,80,23,3.46,20.36
BENDIGO AIRPORT,19/03/2025,6.0,0.0, ,32.2,13.0,56,13,3.06,19.74
BENDIGO AIRPORT,20/03/2025,2.6,0.4, ,24.2,14.7,95,41,3.04,5.31
BENDIGO AIRPORT,21/03/2025,3.7,4.4, ,24.7,15.4,95,39,2.90,16.53
BENDIGO AIRPORT,22/03/2025,4.9,0.2, ,27.3,8.8,91,18,3.26,19.41
BENDIGO AIRPORT,23/03/2025,5.4,0.0, ,29.1,11.6,80,16,3.43,19.28
BENDIGO AIRPORT,24/03/2025,5.0,0.0, ,27.3,13.1,87,33,4.45,19.35
BENDIGO AIRPORT,25/03/2025,6.2,0.0, ,31.6,13.0,78,26,4.58,19.12
BENDIGO AIRPORT,26/03/2025,6.1,0.0, ,31.8,15.4,81,31,5.12,18.27
BENDIGO AIRPORT,27/03/2025,6.1,0.0, ,29.6,13.0,75,27,5.17,18.72
BENDIGO AIRPORT,28/03/2025,3.8,0.0, ,28.1,15.5,71,36,2.81,11.88
BENDIGO AIRPORT,29/03/2025,2.3,5.2, ,22.3,17.0,95,59,4.71,4.55
BENDIGO AIRPORT,30/03/2025,4.8,0.0, ,23.6,14.3,82,44,7.49,17.19
BENDIGO AIRPORT,31/03/2025,5.6,0.0, ,22.9,13.6,72,33,8.06,17.95
Totals:,,170.9,18, ,,,,,, 
