'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BENDIGO AIRPORT Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BENDIGO AIRPORT,01/04/2025,4.8,0.0, ,24.7,11.2,78,29,4.74,17.76
BENDIGO AIRPORT,02/04/2025,4.0,0.0, ,25.7,9.7,79,23,2.62,17.50
BENDIGO AIRPORT,03/04/2025,4.4,0.0, ,24.5,10.4,72,26,3.89,15.15
BENDIGO AIRPORT,04/04/2025,3.3,0.0, ,20.7,5.4,88,31,3.11,16.48
BENDIGO AIRPORT,05/04/2025,3.4,0.0, ,19.1,9.7,75,29,3.15,16.98
BENDIGO AIRPORT,06/04/2025,3.0,0.0, ,21.9,3.4,89,34,3.13,10.07
BENDIGO AIRPORT,07/04/2025,2.3,0.0, ,19.0,6.1,94,42,2.53,10.39
BENDIGO AIRPORT,08/04/2025,3.0,0.0, ,21.0,6.4,87,36,2.63,16.38
BENDIGO AIRPORT,09/04/2025,2.7,0.0, ,21.6,5.5,94,34,1.88,14.79
BENDIGO AIRPORT,10/04/2025,3.2,0.0, ,26.4,11.8,66,27,1.71,16.04
BENDIGO AIRPORT,11/04/2025,4.4,0.0, ,29.6,11.2,71,22,2.85,15.87
BENDIGO AIRPORT,12/04/2025,4.4,0.0, ,30.9,12.8,77,20,2.70,15.79
BENDIGO AIRPORT,13/04/2025,4.0,0.0, ,31.1,13.6,63,19,2.09,15.17
BENDIGO AIRPORT,14/04/2025,4.0,0.0, ,27.5,11.8,73,36,3.56,13.20
BENDIGO AIRPORT,15/04/2025,3.9,0.0, ,27.6,13.5,79,33,3.06,15.24
BENDIGO AIRPORT,16/04/2025, ,0.0, , ,13.6,70,32,2.33,13.34
BENDIGO AIRPORT,17/04/2025, , , ,29.8, ,80,26,1.32,14.85
BENDIGO AIRPORT,18/04/2025,4.2,0.0, ,30.2,12.6,72,22,2.78,14.75
BENDIGO AIRPORT,19/04/2025,4.8,0.0, ,29.3,14.9,62,17,3.61,11.49
BENDIGO AIRPORT,20/04/2025,2.9,0.2, ,21.4,13.7,85,34,3.15,11.04
BENDIGO AIRPORT,21/04/2025,3.3,1.8, ,22.9,12.1,95,33,4.15,11.47
BENDIGO AIRPORT,22/04/2025,3.7,0.0, ,21.8,11.8,78,44,5.74,14.19
BENDIGO AIRPORT,23/04/2025,4.2,0.0, ,26.9,12.8,80,31,4.06,14.04
BENDIGO AIRPORT,24/04/2025,4.0,0.0, ,27.4,15.3,67,35,3.77,11.25
BENDIGO AIRPORT,25/04/2025,1.9,0.0, ,21.0,17.0,95,48,2.34,5.51
BENDIGO AIRPORT,26/04/2025,1.9,27.4, ,21.4,13.4,97,59,2.42,9.35
BENDIGO AIRPORT,27/04/2025,2.8,0.0, ,22.0,13.4,86,55,4.55,12.83
BENDIGO AIRPORT,28/04/2025,2.3,0.0, ,20.6,7.8,93,43,2.71,10.94
BENDIGO AIRPORT,29/04/2025,3.0,0.0, ,20.0,10.4,86,42,4.92,12.12
BENDIGO AIRPORT,30/04/2025,3.7,0.0, ,20.1,10.4,77,32,5.41,13.06
Totals:,,97.5,29.4, ,,,,,, 
