'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/09/2024,3.8,0.0, ,18.7,13.4,86,47,9.60,14.64
BREAKWATER (GEELONG RACECOURSE),02/09/2024,2.7,4.6, ,13.2,6.9,92,50,9.61,15.01
BREAKWATER (GEELONG RACECOURSE),03/09/2024,2.3,4.2, ,16.6,7.0,89,53,2.98,13.78
BREAKWATER (GEELONG RACECOURSE),04/09/2024,3.2,0.0, ,20.8,6.0,91,35,3.79,12.59
BREAKWATER (GEELONG RACECOURSE),05/09/2024,3.6,0.6, ,22.0,11.9,81,29,4.61,4.67
BREAKWATER (GEELONG RACECOURSE),06/09/2024,2.0,2.8, ,20.4,12.3,91,47,2.59,5.01
BREAKWATER (GEELONG RACECOURSE),07/09/2024,2.9,2.6, ,18.5,7.5,93,45,3.78,15.69
BREAKWATER (GEELONG RACECOURSE),08/09/2024,2.6,1.2, ,17.7,8.2,90,55,5.10,12.54
BREAKWATER (GEELONG RACECOURSE),09/09/2024,2.3,2.4, ,16.2,9.8,90,62,4.30,12.36
BREAKWATER (GEELONG RACECOURSE),10/09/2024,2.7,0.2, ,19.1,9.2,89,52,2.53,17.18
BREAKWATER (GEELONG RACECOURSE),11/09/2024,2.4,0.0, ,18.5,8.5,93,56,3.56,11.50
BREAKWATER (GEELONG RACECOURSE),12/09/2024,2.9,0.0, ,15.1,9.3,82,45,4.32,16.49
BREAKWATER (GEELONG RACECOURSE),13/09/2024,2.1,0.0, ,15.6,9.8,88,63,4.00,10.84
BREAKWATER (GEELONG RACECOURSE),14/09/2024,2.1,3.6, ,11.6,8.1,94,56,5.86,10.98
BREAKWATER (GEELONG RACECOURSE),15/09/2024,2.8,2.8, ,13.3,5.1,67,52,5.13,14.56
BREAKWATER (GEELONG RACECOURSE),16/09/2024,2.1,0.0, ,14.5,7.5,93,64,3.99,12.99
BREAKWATER (GEELONG RACECOURSE),17/09/2024,2.5,2.6, ,14.6,8.0,94,51,3.59,15.41
BREAKWATER (GEELONG RACECOURSE),18/09/2024,4.1,0.2, ,20.0,6.4,91,35,6.26,16.82
BREAKWATER (GEELONG RACECOURSE),19/09/2024,3.0,1.4, ,16.0,8.7,90,52,6.12,15.65
BREAKWATER (GEELONG RACECOURSE),20/09/2024,2.9,0.8, ,17.7,8.1,89,54,5.66,14.22
BREAKWATER (GEELONG RACECOURSE),21/09/2024,2.8,4.4, ,16.6,9.3,89,52,5.27,13.33
BREAKWATER (GEELONG RACECOURSE),22/09/2024,3.3,0.4, ,18.6,10.3,89,47,5.24,14.86
BREAKWATER (GEELONG RACECOURSE),23/09/2024,2.9,0.0, ,19.7,11.3,97,57,3.99,15.42
BREAKWATER (GEELONG RACECOURSE),24/09/2024, ,1.8, , ,11.4,95,36,1.38,14.53
BREAKWATER (GEELONG RACECOURSE),25/09/2024, ,6.4, ,13.3, ,100,63,3.71,7.36
BREAKWATER (GEELONG RACECOURSE),26/09/2024, ,3.4, , ,6.6,76,50,4.13,14.19
BREAKWATER (GEELONG RACECOURSE),27/09/2024, ,0.0, , , ,100,64,1.37,20.86
BREAKWATER (GEELONG RACECOURSE),28/09/2024, ,0.0, , , ,100,32,3.45,20.58
BREAKWATER (GEELONG RACECOURSE),29/09/2024, ,3.4, , , ,100,39,4.67,8.63
BREAKWATER (GEELONG RACECOURSE),30/09/2024, ,2.4, ,18.9, ,100,50,3.21,18.42
Totals:,,64,52.2, ,,,,,, 
