'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/11/2024,3.9,0.0, ,17.1,9.2,84,44,3.50,23.28
BREAKWATER (GEELONG RACECOURSE),02/11/2024, ,0.0, , ,5.1,93,14,2.75,22.78
BREAKWATER (GEELONG RACECOURSE),03/11/2024,6.8,0.0, ,22.8,13.0,74,14,5.68,27.66
BREAKWATER (GEELONG RACECOURSE),04/11/2024,3.5,0.0, ,18.8,10.6,87,52,2.90,18.97
BREAKWATER (GEELONG RACECOURSE),05/11/2024,4.9,0.0, ,26.4,6.6,94,32,1.71,27.94
BREAKWATER (GEELONG RACECOURSE),06/11/2024, ,0.0, , ,12.3,100,21,4.42,20.44
BREAKWATER (GEELONG RACECOURSE),07/11/2024, ,0.0, , , ,100,44,2.27,24.29
BREAKWATER (GEELONG RACECOURSE),08/11/2024, ,3.6, ,19.9, ,100,31,5.06,18.06
BREAKWATER (GEELONG RACECOURSE),09/11/2024,4.0,0.0, ,21.7,6.6,86,30,2.30,19.32
BREAKWATER (GEELONG RACECOURSE),10/11/2024,4.3,0.2, ,19.7,9.7,89,51,2.84,26.58
BREAKWATER (GEELONG RACECOURSE),11/11/2024, ,0.0, , ,8.4,94,53,2.92,26.45
BREAKWATER (GEELONG RACECOURSE),12/11/2024, , , ,24.0, ,96,54,2.41,20.07
BREAKWATER (GEELONG RACECOURSE),13/11/2024,3.7,0.8, ,20.9,13.9,95,50,3.89,17.30
BREAKWATER (GEELONG RACECOURSE),14/11/2024,4.3,0.0, ,18.7,12.2,66,46,3.94,20.26
BREAKWATER (GEELONG RACECOURSE),15/11/2024,4.3,0.0, ,19.1,12.4,87,47,2.91,25.15
BREAKWATER (GEELONG RACECOURSE),16/11/2024,7.6,0.0, ,34.5,9.7,94,12,3.06,27.74
BREAKWATER (GEELONG RACECOURSE),17/11/2024,5.8,0.0, ,24.5,17.0,88,28,6.66,17.40
BREAKWATER (GEELONG RACECOURSE),18/11/2024,4.7,0.8, ,21.0,10.7,86,37,4.95,20.62
BREAKWATER (GEELONG RACECOURSE),19/11/2024,4.6,0.0, ,18.5,12.3,71,46,3.48,25.82
BREAKWATER (GEELONG RACECOURSE),20/11/2024,4.1,0.0, ,19.1,10.9,90,53,3.45,24.03
BREAKWATER (GEELONG RACECOURSE),21/11/2024,4.8,0.0, ,23.7,9.1,95,55,2.57,29.25
BREAKWATER (GEELONG RACECOURSE),22/11/2024,6.8,0.0, ,34.4,11.0,94,17,2.18,29.05
BREAKWATER (GEELONG RACECOURSE),23/11/2024,8.0,0.0, ,38.5,19.1,91,12,3.97,18.89
BREAKWATER (GEELONG RACECOURSE),24/11/2024,2.4,8.6, ,23.0,18.6,96,77,2.99,11.02
BREAKWATER (GEELONG RACECOURSE),25/11/2024,2.4,0.0, ,20.5,15.2,97,71,3.73,10.46
BREAKWATER (GEELONG RACECOURSE),26/11/2024,4.4,0.0, ,26.1,16.2,99,61,2.42,22.55
BREAKWATER (GEELONG RACECOURSE),27/11/2024,5.1,15.6, ,31.6,16.8,99,41,3.17,18.32
BREAKWATER (GEELONG RACECOURSE),28/11/2024,5.6,13.8, ,25.0,13.2,92,41,3.04,29.77
BREAKWATER (GEELONG RACECOURSE),29/11/2024,4.8,0.2, ,25.1,17.5,93,67,4.04,26.30
BREAKWATER (GEELONG RACECOURSE),30/11/2024, ,0.4, ,20.8,17.7,98,82,3.60, 
Totals:,,110.8,44, ,,,,,, 
