'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/12/2024,4.6,19.2, ,24.1,16.8,88,55,5.89,19.45
BREAKWATER (GEELONG RACECOURSE),02/12/2024,6.8,2.2, ,32.6,13.1,95,22,2.30,30.00
BREAKWATER (GEELONG RACECOURSE),03/12/2024,6.8,6.2, ,30.5,18.8,95,40,5.18,26.61
BREAKWATER (GEELONG RACECOURSE),04/12/2024,5.1,0.0, ,21.8,9.5,91,47,2.41,31.48
BREAKWATER (GEELONG RACECOURSE),05/12/2024,6.6,0.0, ,33.0,11.4,96,17,1.75,31.55
BREAKWATER (GEELONG RACECOURSE),06/12/2024,3.3,0.0, ,28.9,17.3,85,34,1.70,9.36
BREAKWATER (GEELONG RACECOURSE),07/12/2024,4.7,2.4, ,27.0,17.9,94,59,4.56,20.74
BREAKWATER (GEELONG RACECOURSE),08/12/2024,5.4,0.6, ,22.5,11.8,87,36,4.15,27.21
BREAKWATER (GEELONG RACECOURSE),09/12/2024,5.0,0.0, ,22.6,10.1,85,45,2.81,28.06
BREAKWATER (GEELONG RACECOURSE),10/12/2024,5.2,0.0, ,21.2,13.4,82,49,3.47,29.23
BREAKWATER (GEELONG RACECOURSE),11/12/2024,5.8,0.0, ,24.9,11.0,88,38,3.66,29.36
BREAKWATER (GEELONG RACECOURSE),12/12/2024,6.3,0.0, ,27.9,15.1,89,39,4.09,28.29
BREAKWATER (GEELONG RACECOURSE),13/12/2024,4.9,0.0, ,21.8,15.5,91,55,3.25,27.57
BREAKWATER (GEELONG RACECOURSE),14/12/2024,4.0,0.0, ,22.6,12.4,89,55,2.01,21.49
BREAKWATER (GEELONG RACECOURSE),15/12/2024,5.7,0.0, ,27.8,10.6,93,53,2.07,31.94
BREAKWATER (GEELONG RACECOURSE),16/12/2024, ,0.0, , ,16.0,100,12,5.33,19.98
BREAKWATER (GEELONG RACECOURSE),17/12/2024, , , , , ,100,28,5.75,28.02
BREAKWATER (GEELONG RACECOURSE),18/12/2024,5.0,0.0, ,20.9,10.4,100,49,4.12,31.44
BREAKWATER (GEELONG RACECOURSE),19/12/2024, ,0.0, , ,10.5,90,42,2.61,32.15
BREAKWATER (GEELONG RACECOURSE),20/12/2024, ,0.0, , , ,100,22,4.21,30.17
BREAKWATER (GEELONG RACECOURSE),21/12/2024, ,0.0, , , ,100,46,5.43,27.67
BREAKWATER (GEELONG RACECOURSE),22/12/2024, ,0.0, , , ,100,48,3.46,28.64
BREAKWATER (GEELONG RACECOURSE),23/12/2024, ,3.0, ,20.3, ,83,33,5.40,19.86
BREAKWATER (GEELONG RACECOURSE),24/12/2024,4.7,0.2, ,23.6,13.1,85,48,3.34,22.47
BREAKWATER (GEELONG RACECOURSE),25/12/2024,7.0,0.0, ,31.5,15.9,85,27,2.43,31.67
BREAKWATER (GEELONG RACECOURSE),26/12/2024, ,0.0, , ,17.1,88,9,5.72,8.74
BREAKWATER (GEELONG RACECOURSE),27/12/2024, ,0.0, , , ,100,63,5.54,22.15
BREAKWATER (GEELONG RACECOURSE),28/12/2024, ,0.0, ,22.1, ,100,40,4.31,14.04
BREAKWATER (GEELONG RACECOURSE),29/12/2024,5.7,2.0, ,26.3,11.3,88,35,3.75,25.73
BREAKWATER (GEELONG RACECOURSE),30/12/2024,5.1,0.2, ,27.2,15.2,90,43,2.80,23.17
BREAKWATER (GEELONG RACECOURSE),31/12/2024,5.8,0.0, ,24.1,15.8,86,48,3.09,31.96
Totals:,,113.5,36, ,,,,,, 
