'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/03/2025,4.5,0.0, ,25.9,13.5,90,37,2.41,22.84
BREAKWATER (GEELONG RACECOURSE),02/03/2025,3.3,0.0, ,20.7,15.9,87,53,3.71,14.32
BREAKWATER (GEELONG RACECOURSE),03/03/2025,4.1,0.0, ,20.4,13.6,80,50,3.48,22.39
BREAKWATER (GEELONG RACECOURSE),04/03/2025,4.3,0.0, ,28.1,11.3,93,43,2.05,22.11
BREAKWATER (GEELONG RACECOURSE),05/03/2025,5.9,0.0, ,31.9,13.7,94,36,4.04,22.69
BREAKWATER (GEELONG RACECOURSE),06/03/2025,3.2,0.0, ,23.8,17.2,89,65,4.87,12.37
BREAKWATER (GEELONG RACECOURSE),07/03/2025,4.3,0.0, ,26.3,15.6,90,55,2.95,22.21
BREAKWATER (GEELONG RACECOURSE),08/03/2025,4.6,0.0, ,32.6,12.8,96,30,1.54,22.32
BREAKWATER (GEELONG RACECOURSE),09/03/2025,5.2,0.0, ,34.6,15.3,93,29,2.66,18.21
BREAKWATER (GEELONG RACECOURSE),10/03/2025,5.3,0.0, ,33.4,21.6,78,35,2.32,21.79
BREAKWATER (GEELONG RACECOURSE),11/03/2025,4.8, , ,30.6,19.3,86,42,2.57,21.24
BREAKWATER (GEELONG RACECOURSE),12/03/2025,5.1,0.0, ,35.6,18.7,92,30,3.24,12.96
BREAKWATER (GEELONG RACECOURSE),13/03/2025,3.8,0.0, ,25.1,16.0,90,51,2.42,19.50
BREAKWATER (GEELONG RACECOURSE),14/03/2025,3.6,0.0, ,24.7,14.3,90,57,2.18,20.31
BREAKWATER (GEELONG RACECOURSE),15/03/2025,3.1,0.0, ,30.8,16.9,89,30,1.51,9.66
BREAKWATER (GEELONG RACECOURSE),16/03/2025,2.4,2.6, ,20.5,19.5,92,53,4.60,4.13
BREAKWATER (GEELONG RACECOURSE),17/03/2025,3.0,2.2, ,19.3,9.6,83,45,3.61,12.62
BREAKWATER (GEELONG RACECOURSE),18/03/2025,3.5,0.0, ,23.7,10.9,89,39,1.83,19.90
BREAKWATER (GEELONG RACECOURSE),19/03/2025,3.6,0.0, ,30.6,9.9,96,30,1.12,19.03
BREAKWATER (GEELONG RACECOURSE),20/03/2025,3.9,0.0, ,29.2,14.2,93,35,4.28,5.01
BREAKWATER (GEELONG RACECOURSE),21/03/2025, ,15.4, , ,14.4,95,56,2.49,9.89
BREAKWATER (GEELONG RACECOURSE),22/03/2025,2.9,0.0, ,20.8,9.0,100,48,1.69,19.30
BREAKWATER (GEELONG RACECOURSE),23/03/2025,2.7,0.0, ,21.8,11.7,92,57,1.75,16.41
BREAKWATER (GEELONG RACECOURSE),24/03/2025,3.0,0.0, ,21.0,12.9,90,53,2.62,16.24
BREAKWATER (GEELONG RACECOURSE),25/03/2025,2.8,0.0, ,22.3,10.6,96,60,2.14,17.71
BREAKWATER (GEELONG RACECOURSE),26/03/2025,2.7,0.0, ,20.4,14.0,90,60,3.09,13.88
BREAKWATER (GEELONG RACECOURSE),27/03/2025,3.1,0.0, ,21.4,16.4,91,59,3.21,17.68
BREAKWATER (GEELONG RACECOURSE),28/03/2025,3.1,0.0, ,30.1,11.6,96,39,1.31,14.80
BREAKWATER (GEELONG RACECOURSE),29/03/2025,2.6,0.0, ,22.0,16.6,89,59,4.95,6.71
BREAKWATER (GEELONG RACECOURSE),30/03/2025,3.3,0.2, ,21.2,16.2,94,55,5.75,14.55
BREAKWATER (GEELONG RACECOURSE),31/03/2025,3.2,2.0, ,19.8,13.3,90,53,5.48,14.36
Totals:,,110.9,22.4, ,,,,,, 
