'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for BREAKWATER (GEELONG RACECOURSE) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
BREAKWATER (GEELONG RACECOURSE),01/04/2025, ,0.0, , ,13.3,86,54,3.53,14.22
BREAKWATER (GEELONG RACECOURSE),02/04/2025, ,0.0, ,22.8, ,100,51,1.49,16.89
BREAKWATER (GEELONG RACECOURSE),03/04/2025,2.4,0.0, ,21.0,10.2,95,60,3.40,10.95
BREAKWATER (GEELONG RACECOURSE),04/04/2025,2.2,0.6, ,17.8,11.3,76,48,2.69,6.77
BREAKWATER (GEELONG RACECOURSE),05/04/2025, ,0.0, , ,9.6,89,35,3.70,15.77
BREAKWATER (GEELONG RACECOURSE),06/04/2025,3.9, , ,22.3,7.6,85,34,4.85,12.62
BREAKWATER (GEELONG RACECOURSE),07/04/2025,2.5,0.8, ,19.2,12.3,84,55,3.31,10.90
BREAKWATER (GEELONG RACECOURSE),08/04/2025,2.0,0.0, ,18.4,9.9,91,53,1.80,10.89
BREAKWATER (GEELONG RACECOURSE),09/04/2025, ,0.0, , ,9.0,94,48,1.13,14.56
BREAKWATER (GEELONG RACECOURSE),10/04/2025, , , ,28.1, ,85,28,2.12,15.22
BREAKWATER (GEELONG RACECOURSE),11/04/2025,2.1,0.0, ,21.4,15.7,90,57,1.95,10.03
BREAKWATER (GEELONG RACECOURSE),12/04/2025,2.3,0.0, ,27.7,9.1,95,43,0.84,14.96
BREAKWATER (GEELONG RACECOURSE),13/04/2025,4.5,0.0, ,32.8,14.7,89,19,3.06,11.13
BREAKWATER (GEELONG RACECOURSE),14/04/2025,2.3,0.0, ,21.1,16.5,91,63,3.14,11.28
BREAKWATER (GEELONG RACECOURSE),15/04/2025,2.3,0.0, ,24.6,12.3,95,52,1.52,14.18
BREAKWATER (GEELONG RACECOURSE),16/04/2025,2.0,0.0, ,26.5,13.6,92,37,0.95,9.35
BREAKWATER (GEELONG RACECOURSE),17/04/2025,2.9,0.4, ,29.3,12.3,94,31,1.53,14.24
BREAKWATER (GEELONG RACECOURSE),18/04/2025,4.4,0.0, ,32.4,18.0,87,22,3.16,11.23
BREAKWATER (GEELONG RACECOURSE),19/04/2025,1.7,0.0, ,23.3,16.0,93,49,1.97,3.77
BREAKWATER (GEELONG RACECOURSE),20/04/2025,2.6,0.8, ,24.1,15.5,85,33,2.36,8.61
BREAKWATER (GEELONG RACECOURSE),21/04/2025,2.3,0.0, ,21.6,10.9,93,64,3.95,12.16
BREAKWATER (GEELONG RACECOURSE),22/04/2025,1.9,0.8, ,19.6,12.8,94,67,3.24,10.09
BREAKWATER (GEELONG RACECOURSE),23/04/2025,2.3,0.2, ,22.4,12.9,93,54,2.50,13.24
BREAKWATER (GEELONG RACECOURSE),24/04/2025,3.0,0.0, ,28.7,12.1,96,35,2.51,10.83
BREAKWATER (GEELONG RACECOURSE),25/04/2025,1.1,1.4, ,20.6,15.3,94,70,0.89,4.35
BREAKWATER (GEELONG RACECOURSE),26/04/2025,1.2,10.4, ,19.1,14.2,97,73,2.28,4.38
BREAKWATER (GEELONG RACECOURSE),27/04/2025,1.7,0.0, ,18.8,12.4,94,58,2.38,8.81
BREAKWATER (GEELONG RACECOURSE),28/04/2025,1.3,0.6, ,18.3,12.7,95,72,1.73,8.26
BREAKWATER (GEELONG RACECOURSE),29/04/2025,2.0,4.4, ,18.1,12.7,94,62,4.63,10.26
BREAKWATER (GEELONG RACECOURSE),30/04/2025,1.8,7.8, ,18.2,12.4,94,51,2.17,11.84
Totals:,,58.7,28.2, ,,,,,, 
