'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/10/2024,2.8,0.6, ,15.1,12.0,95,69,5.36,21.39
CAPE NELSON LIGHTHOUSE,02/10/2024,2.8,0.0, ,15.6,7.6,97,66,5.05,21.84
CAPE NELSON LIGHTHOUSE,03/10/2024,6.1,0.0, ,27.0,9.3,89,28,5.81,22.04
CAPE NELSON LIGHTHOUSE,04/10/2024,3.5,2.8, ,20.1,14.6,95,59,6.99,17.83
CAPE NELSON LIGHTHOUSE,05/10/2024,2.9,1.4, ,15.6,10.9,95,60,8.59,15.79
CAPE NELSON LIGHTHOUSE,06/10/2024,3.2,4.6, ,17.1,11.8,95,65,10.70,20.74
CAPE NELSON LIGHTHOUSE,07/10/2024,3.3,2.4, ,14.2,11.2,96,49,8.40,19.58
CAPE NELSON LIGHTHOUSE,08/10/2024,3.4,0.0, ,14.5,9.9,75,48,4.63,18.71
CAPE NELSON LIGHTHOUSE,09/10/2024,4.0,0.2, ,18.1,5.4,87,36,4.39,23.20
CAPE NELSON LIGHTHOUSE,10/10/2024,4.5,0.0, ,15.1,10.3,82,23,6.45,22.90
CAPE NELSON LIGHTHOUSE,11/10/2024,3.3,0.0, ,14.8,11.9,77,59,6.00,17.76
CAPE NELSON LIGHTHOUSE,12/10/2024,3.7,0.0, ,16.8,10.8,85,58,5.87,23.79
CAPE NELSON LIGHTHOUSE,13/10/2024,5.0,0.0, ,23.0,9.7,89,27,5.60,16.10
CAPE NELSON LIGHTHOUSE,14/10/2024,2.3,0.0, ,14.9,13.2,92,74,7.75,13.84
CAPE NELSON LIGHTHOUSE,15/10/2024,2.5,0.0, ,19.3,12.9,91,71,7.10,10.77
CAPE NELSON LIGHTHOUSE,16/10/2024,4.3,0.6, ,25.8,13.3,97,55,5.69,18.11
CAPE NELSON LIGHTHOUSE,17/10/2024, ,1.4, , ,15.3,90,52,5.72,13.55
CAPE NELSON LIGHTHOUSE,18/10/2024,0.9, , ,14.5,14.3,100,91,4.65,4.69
CAPE NELSON LIGHTHOUSE,19/10/2024,2.6,11.6, ,16.1,11.8,94,68,4.24,16.48
CAPE NELSON LIGHTHOUSE,20/10/2024,3.6,0.0, ,17.7,12.7,93,68,3.30,25.32
CAPE NELSON LIGHTHOUSE,21/10/2024,4.0,0.0, ,21.0,12.6,93,65,5.62,25.30
CAPE NELSON LIGHTHOUSE,22/10/2024,3.2,0.0, ,17.0,14.2,94,40,5.32,11.75
CAPE NELSON LIGHTHOUSE,23/10/2024,3.9,0.0, ,17.7,11.5,85,56,7.73,21.71
CAPE NELSON LIGHTHOUSE,24/10/2024,3.9,1.4, ,15.1,11.3,84,48,7.52,21.33
CAPE NELSON LIGHTHOUSE,25/10/2024,4.1,3.0, ,14.5,10.5,69,48,4.14,25.50
CAPE NELSON LIGHTHOUSE,26/10/2024,4.1,0.0, ,18.7,8.5,83,47,4.33,22.94
CAPE NELSON LIGHTHOUSE,27/10/2024,3.4,0.0, ,17.1,12.2,86,72,5.46,23.65
CAPE NELSON LIGHTHOUSE,28/10/2024,4.0,0.0, ,16.0,12.1,77,57,3.89,26.17
CAPE NELSON LIGHTHOUSE,29/10/2024,3.1,0.0, ,15.9,12.4,86,65,4.43,18.69
CAPE NELSON LIGHTHOUSE,30/10/2024,2.8,0.2, ,15.5,11.7,92,70,4.89,18.68
CAPE NELSON LIGHTHOUSE,31/10/2024,3.8,0.4, ,15.6,11.5,91,55,6.09,25.59
Totals:,,105,30.6, ,,,,,, 
