'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/11/2024,4.2,0.0, ,16.7,11.3,73,49,4.99,23.74
CAPE NELSON LIGHTHOUSE,02/11/2024,7.3,0.0, ,26.0,9.3,84,18,7.34,22.82
CAPE NELSON LIGHTHOUSE,03/11/2024,4.1,0.6, ,17.7,12.5,93,52,8.08,24.06
CAPE NELSON LIGHTHOUSE,04/11/2024,3.9,0.0, ,16.8,12.3,86,62,5.10,26.32
CAPE NELSON LIGHTHOUSE,05/11/2024,4.5,0.0, ,22.3,8.0,94,59,4.18,28.16
CAPE NELSON LIGHTHOUSE,06/11/2024,5.6,0.0, ,22.8,15.4,85,39,7.34,22.05
CAPE NELSON LIGHTHOUSE,07/11/2024,3.6,0.0, ,17.0,9.8,85,60,5.90,20.86
CAPE NELSON LIGHTHOUSE,08/11/2024,3.9,9.2, ,15.5,11.1,92,54,8.80,25.42
CAPE NELSON LIGHTHOUSE,09/11/2024,3.4,0.4, ,17.6,10.3,83,53,5.63,14.87
CAPE NELSON LIGHTHOUSE,10/11/2024,4.1,0.0, ,17.7,12.4,86,61,4.46,26.43
CAPE NELSON LIGHTHOUSE,11/11/2024,3.6,0.0, ,17.0,12.3,89,67,6.36,23.73
CAPE NELSON LIGHTHOUSE,12/11/2024,2.3,0.0, ,18.1,14.0,95,76,6.09,11.63
CAPE NELSON LIGHTHOUSE,13/11/2024,3.5,6.8, ,16.9,13.5,98,61,5.25,22.58
CAPE NELSON LIGHTHOUSE,14/11/2024,3.7,0.2, ,16.3,12.1,75,52,4.25,18.32
CAPE NELSON LIGHTHOUSE,15/11/2024,4.7,0.0, ,21.2,12.1,85,56,5.80,25.72
CAPE NELSON LIGHTHOUSE,16/11/2024,10.2,0.0, ,33.7,12.6,83,10,7.56,22.59
CAPE NELSON LIGHTHOUSE,17/11/2024,3.9,6.4, ,16.7,10.7,93,57,10.96,25.53
CAPE NELSON LIGHTHOUSE,18/11/2024,3.6,1.0, ,15.6,11.8,83,57,6.15,19.41
CAPE NELSON LIGHTHOUSE,19/11/2024,3.7,0.2, ,16.0,12.2,67,53,4.17,17.86
CAPE NELSON LIGHTHOUSE,20/11/2024,3.7,0.0, ,16.0,12.0,82,59,6.22,21.18
CAPE NELSON LIGHTHOUSE,21/11/2024,4.7,0.0, ,22.9,12.2,91,56,5.96,24.96
CAPE NELSON LIGHTHOUSE,22/11/2024,8.0,0.0, ,31.0,12.8,60,25,4.80,27.98
CAPE NELSON LIGHTHOUSE,23/11/2024,5.1,0.0, ,27.0,21.2,92,24,5.08,10.93
CAPE NELSON LIGHTHOUSE,24/11/2024,1.7,0.0, ,16.9,14.3,100,87,4.80,10.34
CAPE NELSON LIGHTHOUSE,25/11/2024,2.1,0.0, ,17.1,13.2,98,84,5.96,13.41
CAPE NELSON LIGHTHOUSE,26/11/2024,3.9,0.0, ,22.3,14.3,100,75,5.67,25.90
CAPE NELSON LIGHTHOUSE,27/11/2024,3.0,10.2, ,19.0,15.4,100,74,5.97,18.58
CAPE NELSON LIGHTHOUSE,28/11/2024,1.6,1.4, ,16.4,12.7,99,89,7.06,11.54
CAPE NELSON LIGHTHOUSE,29/11/2024,2.9,0.8, ,18.9,13.6,99,85,9.36,24.87
CAPE NELSON LIGHTHOUSE,30/11/2024, ,0.0, ,17.5,16.1,100,99,5.27, 
Totals:,,120.5,37.2, ,,,,,, 
