'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/01/2025,4.0,0.0, ,18.5,13.9,76,58,4.84,19.96
CAPE NELSON LIGHTHOUSE,02/01/2025,5.5,0.0, ,18.8,13.9,73,50,5.54,31.67
CAPE NELSON LIGHTHOUSE,03/01/2025,5.2,0.0, ,23.0,14.0,92,64,5.52,31.94
CAPE NELSON LIGHTHOUSE,04/01/2025,5.5,0.0, ,27.6,15.3,86,36,3.17,23.28
CAPE NELSON LIGHTHOUSE,05/01/2025,6.6,0.0, ,32.2,20.0,92,21,5.50,13.06
CAPE NELSON LIGHTHOUSE,06/01/2025,4.8,0.0, ,17.4,14.7,84,53,7.96,28.06
CAPE NELSON LIGHTHOUSE,07/01/2025,4.1,0.0, ,18.5,14.2,80,62,8.76,20.29
CAPE NELSON LIGHTHOUSE,08/01/2025,4.9,0.0, ,22.7,15.3,88,66,5.58,29.03
CAPE NELSON LIGHTHOUSE,09/01/2025,2.8,0.0, ,23.7,16.7,95,60,3.18,9.84
CAPE NELSON LIGHTHOUSE,10/01/2025,5.1,0.0, ,23.6,17.3,96,68,5.08,31.27
CAPE NELSON LIGHTHOUSE,11/01/2025,4.0,0.0, ,21.5,17.5,99,83,4.81,27.74
CAPE NELSON LIGHTHOUSE,12/01/2025,3.8,0.0, ,22.2,17.2,96,76,4.62,22.70
CAPE NELSON LIGHTHOUSE,13/01/2025,4.9,0.0, ,22.5,17.3,91,70,5.36,29.54
CAPE NELSON LIGHTHOUSE,14/01/2025,5.8,0.0, ,22.0,17.2,87,50,7.60,30.49
CAPE NELSON LIGHTHOUSE,15/01/2025,4.2,0.0, ,19.2,17.5,87,57,6.57,20.22
CAPE NELSON LIGHTHOUSE,16/01/2025,4.8,0.4, ,20.2,14.8,86,59,5.05,28.35
CAPE NELSON LIGHTHOUSE,17/01/2025, ,0.0, ,20.8,15.4, , , ,26.99
CAPE NELSON LIGHTHOUSE,18/01/2025,5.3,0.0, ,22.2,16.4,89,61,7.74,30.71
CAPE NELSON LIGHTHOUSE,19/01/2025,5.9,0.0, ,26.3,17.1,91,41,3.67,28.44
CAPE NELSON LIGHTHOUSE,20/01/2025,3.7,0.0, ,22.9,17.0,93,77,4.10,21.43
CAPE NELSON LIGHTHOUSE,21/01/2025,3.5,0.0, ,21.1,17.8,91,70,6.14,17.65
CAPE NELSON LIGHTHOUSE,22/01/2025,4.9,0.0, ,19.1,16.0,84,53,7.85,26.34
CAPE NELSON LIGHTHOUSE,23/01/2025,3.0,0.0, ,17.0,15.0,75,61,5.56,9.31
CAPE NELSON LIGHTHOUSE,24/01/2025,4.7,0.4, ,21.1,14.3,79,62,4.81,26.94
CAPE NELSON LIGHTHOUSE,25/01/2025,3.8,0.0, ,20.5,16.8,86,66,4.19,19.61
CAPE NELSON LIGHTHOUSE,26/01/2025,5.7,0.0, ,28.9,16.4,86,66,7.29,27.21
CAPE NELSON LIGHTHOUSE,27/01/2025,9.8,0.0, ,36.1,17.5,88,20,7.05,24.76
CAPE NELSON LIGHTHOUSE,28/01/2025,5.1,0.0, ,20.3,16.7,73,53,5.17,25.61
CAPE NELSON LIGHTHOUSE,29/01/2025,4.5,0.0, ,19.2,15.2,64,47,4.85,18.00
CAPE NELSON LIGHTHOUSE,30/01/2025,3.7,0.0, ,19.6,15.6,72,53,3.83,15.29
CAPE NELSON LIGHTHOUSE,31/01/2025,5.2,0.0, ,21.6,16.1,74,50,4.66,26.12
Totals:,,144.8,0.8, ,,,,,, 
