'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE NELSON LIGHTHOUSE Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE NELSON LIGHTHOUSE,01/04/2025,3.3,0.0, ,18.6,15.3,81,68,8.81,17.02
CAPE NELSON LIGHTHOUSE,02/04/2025,2.7,0.0, ,20.0,13.4,91,68,4.75,16.30
CAPE NELSON LIGHTHOUSE,03/04/2025,2.6,1.0, ,16.5,13.2,92,55,7.65,8.55
CAPE NELSON LIGHTHOUSE,04/04/2025,2.6,0.8, ,17.1,13.2,91,57,5.93,11.77
CAPE NELSON LIGHTHOUSE,05/04/2025,3.6,2.8, ,17.3,12.8,67,48,6.52,12.04
CAPE NELSON LIGHTHOUSE,06/04/2025,3.3,0.0, ,18.4,13.2,87,53,8.33,11.81
CAPE NELSON LIGHTHOUSE,07/04/2025,2.8,3.4, ,16.7,14.1,77,53,4.45,11.93
CAPE NELSON LIGHTHOUSE,08/04/2025,1.8,1.0, ,16.6,10.9,95,73,3.05,12.81
CAPE NELSON LIGHTHOUSE,09/04/2025,2.1,1.0, ,18.5,8.9,95,59,3.14,10.63
CAPE NELSON LIGHTHOUSE,10/04/2025,5.6,0.2, ,28.8,12.8,91,26,5.95,15.02
CAPE NELSON LIGHTHOUSE,11/04/2025,2.8,0.2, ,18.8,15.8,85,57,4.35,14.11
CAPE NELSON LIGHTHOUSE,12/04/2025,3.5,0.0, ,25.9,13.2,89,54,4.70,15.02
CAPE NELSON LIGHTHOUSE,13/04/2025,5.5,0.0, ,30.7,15.7,94,21,5.22,10.95
CAPE NELSON LIGHTHOUSE,14/04/2025,1.8,0.2, ,18.7,15.9,95,80,7.16,10.56
CAPE NELSON LIGHTHOUSE,15/04/2025,3.4,0.0, ,25.0,15.0,91,60,6.39,14.13
CAPE NELSON LIGHTHOUSE,16/04/2025,5.4,0.0, ,29.7,16.9,71,30,5.41,12.12
CAPE NELSON LIGHTHOUSE,17/04/2025,2.9,0.0, ,20.7,16.9,93,45,4.99,9.33
CAPE NELSON LIGHTHOUSE,18/04/2025,2.2,0.0, ,19.7,15.8,91,69,4.18,12.28
CAPE NELSON LIGHTHOUSE,19/04/2025,3.1,0.6, ,23.1,14.1,89,46,5.06,7.16
CAPE NELSON LIGHTHOUSE,20/04/2025,2.8,2.2, ,20.7,13.4,96,51,6.61,7.92
CAPE NELSON LIGHTHOUSE,21/04/2025,2.2,14.0, ,16.6,13.2,96,64,8.40,9.31
CAPE NELSON LIGHTHOUSE,22/04/2025,2.1,0.6, ,17.2,12.5,92,63,6.19,8.56
CAPE NELSON LIGHTHOUSE,23/04/2025,2.0,0.2, ,20.3,14.2,93,78,7.15,11.94
CAPE NELSON LIGHTHOUSE,24/04/2025,2.6,0.0, ,22.3,13.7,92,59,4.31,12.82
CAPE NELSON LIGHTHOUSE,25/04/2025,1.3,0.0, ,18.5,12.3,97,85,2.66,10.24
CAPE NELSON LIGHTHOUSE,26/04/2025,1.5,0.0, ,17.3,12.7,93,70,3.88,6.29
CAPE NELSON LIGHTHOUSE,27/04/2025,1.6,0.2, ,17.0,11.4,88,70,2.83,9.66
CAPE NELSON LIGHTHOUSE,28/04/2025,1.7,1.8, ,17.7,12.4,94,69,3.10,10.94
CAPE NELSON LIGHTHOUSE,29/04/2025,2.7,0.6, ,17.5,13.6,83,57,7.35,9.14
CAPE NELSON LIGHTHOUSE,30/04/2025,3.1,0.2, ,15.5,13.5,71,53,8.12,7.25
Totals:,,84.6,31, ,,,,,, 
