'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/10/2024,2.7,0.4, ,15.0,11.8,87,69,6.44,17.21
CAPE OTWAY LIGHTHOUSE,02/10/2024,3.2,0.0, ,16.2,8.8,81,64,4.70,21.71
CAPE OTWAY LIGHTHOUSE,03/10/2024,4.0,0.0, ,21.7,10.1,85,59,6.13,21.80
CAPE OTWAY LIGHTHOUSE,04/10/2024,5.0,0.2, ,24.2,14.8,83,38,6.87,14.89
CAPE OTWAY LIGHTHOUSE,05/10/2024,2.3,0.0, ,14.6,12.0,93,68,7.89,12.45
CAPE OTWAY LIGHTHOUSE,06/10/2024,3.0,4.6, ,15.5,11.3,91,65,10.70,18.42
CAPE OTWAY LIGHTHOUSE,07/10/2024,2.9,4.8, ,13.5,11.1,93,51,9.87,12.77
CAPE OTWAY LIGHTHOUSE,08/10/2024,3.2,3.4, ,13.9,9.2,67,51,4.04,17.89
CAPE OTWAY LIGHTHOUSE,09/10/2024,3.6,0.0, ,18.2,6.9,81,57,4.72,23.09
CAPE OTWAY LIGHTHOUSE,10/10/2024,4.6,0.0, ,15.1,10.7,79,31,8.46,22.73
CAPE OTWAY LIGHTHOUSE,11/10/2024,3.1,0.2, ,14.7,10.8,85,60,7.62,16.82
CAPE OTWAY LIGHTHOUSE,12/10/2024,3.7,0.0, ,16.7,10.3,82,57,5.36,23.43
CAPE OTWAY LIGHTHOUSE,13/10/2024,4.6,0.0, ,23.6,7.7,88,30,4.01,18.51
CAPE OTWAY LIGHTHOUSE,14/10/2024,3.0,0.4, ,14.9,12.6,90,65,6.56,19.98
CAPE OTWAY LIGHTHOUSE,15/10/2024,3.4,0.0, ,17.4,12.4,88,68,9.66,21.09
CAPE OTWAY LIGHTHOUSE,16/10/2024,4.2,0.2, ,23.9,13.1,90,60,4.38,22.41
CAPE OTWAY LIGHTHOUSE,17/10/2024,3.9,0.0, ,25.8,15.1,93,52,4.60,13.90
CAPE OTWAY LIGHTHOUSE,18/10/2024,1.6,7.2, ,19.3,15.5,97,81,6.53,5.52
CAPE OTWAY LIGHTHOUSE,19/10/2024,2.1,9.6, ,15.2,10.6,97,73,7.30,12.67
CAPE OTWAY LIGHTHOUSE,20/10/2024,3.2,0.0, ,17.1,11.6,93,74,2.82,23.09
CAPE OTWAY LIGHTHOUSE,21/10/2024,4.3,0.0, ,24.0,12.7,91,68,6.81,24.74
CAPE OTWAY LIGHTHOUSE,22/10/2024,5.0,0.0, ,24.2,14.6,91,39,6.36,18.26
CAPE OTWAY LIGHTHOUSE,23/10/2024,3.5,0.0, ,16.0,9.4,86,61,7.64,23.02
CAPE OTWAY LIGHTHOUSE,24/10/2024,3.8,2.6, ,14.2,9.7,83,51,10.17,22.33
CAPE OTWAY LIGHTHOUSE,25/10/2024,3.7,1.4, ,14.1,9.3,77,52,5.10,23.79
CAPE OTWAY LIGHTHOUSE,26/10/2024,3.8,0.0, ,16.6,6.4,80,58,4.93,25.95
CAPE OTWAY LIGHTHOUSE,27/10/2024,4.4,0.0, ,17.3,12.4,84,48,6.34,25.06
CAPE OTWAY LIGHTHOUSE,28/10/2024,4.0,0.0, ,15.3,11.9,79,59,7.00,25.23
CAPE OTWAY LIGHTHOUSE,29/10/2024,2.8,0.0, ,15.4,12.4,91,65,6.46,16.10
CAPE OTWAY LIGHTHOUSE,30/10/2024,2.7,0.2, ,15.2,11.4,94,74,6.10,19.01
CAPE OTWAY LIGHTHOUSE,31/10/2024,3.1,1.2, ,15.0,11.9,90,58,6.83,16.83
Totals:,,108.4,36.4, ,,,,,, 
