'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/11/2024,3.5,0.6, ,15.2,10.8,80,53,4.52,20.41
CAPE OTWAY LIGHTHOUSE,02/11/2024,6.5,0.0, ,25.5,8.2,82,19,5.54,23.04
CAPE OTWAY LIGHTHOUSE,03/11/2024,5.6,0.0, ,16.9,13.7,88,19,9.21,24.45
CAPE OTWAY LIGHTHOUSE,04/11/2024,3.7,0.0, ,16.5,11.5,87,61,6.03,23.28
CAPE OTWAY LIGHTHOUSE,05/11/2024,4.9,0.0, ,25.0,8.1,88,60,5.16,28.10
CAPE OTWAY LIGHTHOUSE,06/11/2024,6.6,0.0, ,26.9,14.1,86,31,8.01,18.57
CAPE OTWAY LIGHTHOUSE,07/11/2024,3.5,0.0, ,17.9,11.6,92,56,4.11,20.13
CAPE OTWAY LIGHTHOUSE,08/11/2024,4.0,10.0, ,15.3,10.6,86,55,9.44,24.93
CAPE OTWAY LIGHTHOUSE,09/11/2024,3.2,0.4, ,16.4,9.3,80,57,5.43,14.81
CAPE OTWAY LIGHTHOUSE,10/11/2024,3.7,0.0, ,18.3,12.6,83,60,4.20,20.53
CAPE OTWAY LIGHTHOUSE,11/11/2024,3.6,0.0, ,17.6,10.4,88,72,5.73,26.20
CAPE OTWAY LIGHTHOUSE,12/11/2024,3.1,0.0, ,18.1,13.2,93,74,6.15,20.39
CAPE OTWAY LIGHTHOUSE,13/11/2024,3.3,2.0, ,16.8,13.8,95,61,6.71,18.40
CAPE OTWAY LIGHTHOUSE,14/11/2024,3.5,0.0, ,16.1,11.4,71,55,4.31,17.45
CAPE OTWAY LIGHTHOUSE,15/11/2024,4.9,0.0, ,23.8,11.8,84,56,5.06,25.76
CAPE OTWAY LIGHTHOUSE,16/11/2024,9.0,0.0, ,32.7,12.6,85,13,5.91,26.66
CAPE OTWAY LIGHTHOUSE,17/11/2024,3.6,0.0, ,16.4,13.4,92,54,9.86,17.04
CAPE OTWAY LIGHTHOUSE,18/11/2024,3.7,10.4, ,15.9,10.3,87,60,9.43,22.43
CAPE OTWAY LIGHTHOUSE,19/11/2024,3.4,0.2, ,15.8,11.8,69,56,3.59,16.31
CAPE OTWAY LIGHTHOUSE,20/11/2024,3.6,0.0, ,16.5,11.4,80,60,3.91,20.57
CAPE OTWAY LIGHTHOUSE,21/11/2024,5.5,0.0, ,24.4,12.4,86,56,6.21,29.66
CAPE OTWAY LIGHTHOUSE,22/11/2024,6.8,0.0, ,29.1,13.0,84,31,4.37,27.56
CAPE OTWAY LIGHTHOUSE,23/11/2024,7.4,0.0, ,31.8,18.1,84,20,6.51,13.26
CAPE OTWAY LIGHTHOUSE,24/11/2024,2.1,0.4, ,17.0,16.2,95,78,2.44,10.80
CAPE OTWAY LIGHTHOUSE,25/11/2024,2.9,0.2, ,18.1,13.1,97,79,3.85,18.68
CAPE OTWAY LIGHTHOUSE,26/11/2024,3.8,1.0, ,20.9,14.0,98,78,4.87,25.63
CAPE OTWAY LIGHTHOUSE,27/11/2024,2.5,9.0, ,21.3,16.0,98,76,5.62,11.69
CAPE OTWAY LIGHTHOUSE,28/11/2024,3.6,0.2, ,20.0,13.8,96,73,5.46,23.12
CAPE OTWAY LIGHTHOUSE,29/11/2024,1.8,0.8, ,16.8,15.3,98,93,8.95,15.18
CAPE OTWAY LIGHTHOUSE,30/11/2024, ,1.2, ,18.2,15.5,99,95,6.83, 
Totals:,,123.3,36.4, ,,,,,, 
