'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/01/2025,3.5,0.0, ,18.6,9.2,91,57,6.32,16.92
CAPE OTWAY LIGHTHOUSE,02/01/2025,5.1,0.4, ,19.0,13.7,73,49,3.25,29.65
CAPE OTWAY LIGHTHOUSE,03/01/2025,5.4,0.0, ,23.9,13.6,86,64,6.26,31.93
CAPE OTWAY LIGHTHOUSE,04/01/2025,6.0,0.0, ,31.3,15.1,76,25,2.83,21.51
CAPE OTWAY LIGHTHOUSE,05/01/2025,6.7,0.0, ,33.7,18.8,92,20,4.31,16.81
CAPE OTWAY LIGHTHOUSE,06/01/2025,3.7,6.4, ,17.4,13.8,92,56,6.70,19.44
CAPE OTWAY LIGHTHOUSE,07/01/2025,4.4,1.2, ,20.0,14.2,83,65,6.61,24.85
CAPE OTWAY LIGHTHOUSE,08/01/2025,5.2,0.0, ,21.7,15.5,83,63,8.54,29.84
CAPE OTWAY LIGHTHOUSE,09/01/2025,4.5,0.0, ,26.8,17.2,92,43,4.55,13.88
CAPE OTWAY LIGHTHOUSE,10/01/2025,5.6,0.0, ,21.7,18.4,95,44,5.38,30.11
CAPE OTWAY LIGHTHOUSE,11/01/2025,4.7,0.0, ,23.0,18.4,97,77,4.01,29.13
CAPE OTWAY LIGHTHOUSE,12/01/2025,2.6,0.0, ,21.6,16.0,97,78,2.34,13.91
CAPE OTWAY LIGHTHOUSE,13/01/2025,4.5,0.0, ,22.1,17.4,89,75,2.70,27.14
CAPE OTWAY LIGHTHOUSE,14/01/2025,5.1,0.0, ,24.5,16.8,92,70,5.61,30.50
CAPE OTWAY LIGHTHOUSE,15/01/2025,4.2,0.0, ,20.6,17.6,93,52,9.22,15.74
CAPE OTWAY LIGHTHOUSE,16/01/2025,4.0,0.0, ,20.2,14.8,91,61,6.21,21.58
CAPE OTWAY LIGHTHOUSE,17/01/2025, ,2.2, ,21.1,14.6, , , ,27.64
CAPE OTWAY LIGHTHOUSE,18/01/2025,5.4,0.0, ,21.4,16.7,82,61,9.12,30.24
CAPE OTWAY LIGHTHOUSE,19/01/2025,6.9,0.0, ,25.7,16.2,89,30,6.21,29.24
CAPE OTWAY LIGHTHOUSE,20/01/2025,5.9,0.0, ,26.6,18.4,95,30,4.78,22.97
CAPE OTWAY LIGHTHOUSE,21/01/2025,4.5,0.0, ,23.5,17.5,96,73,4.81,27.15
CAPE OTWAY LIGHTHOUSE,22/01/2025,4.4,0.0, ,19.0,15.7,84,53,4.80,23.54
CAPE OTWAY LIGHTHOUSE,23/01/2025,2.6,0.0, ,17.1,13.8,72,63,3.93,7.94
CAPE OTWAY LIGHTHOUSE,24/01/2025,4.7,0.0, ,20.7,14.6,83,64,6.07,27.81
CAPE OTWAY LIGHTHOUSE,25/01/2025,3.7,0.0, ,20.6,16.0,88,67,5.08,19.28
CAPE OTWAY LIGHTHOUSE,26/01/2025,5.0,0.0, ,28.0,15.8,85,63,5.24,22.91
CAPE OTWAY LIGHTHOUSE,27/01/2025,10.0,0.0, ,38.6,15.5,93,21,6.89,21.58
CAPE OTWAY LIGHTHOUSE,28/01/2025,4.9,0.0, ,19.6,16.3,77,55,6.62,24.94
CAPE OTWAY LIGHTHOUSE,29/01/2025,4.1,0.0, ,19.0,14.7,65,50,3.67,18.33
CAPE OTWAY LIGHTHOUSE,30/01/2025,3.9,0.0, ,19.8,14.8,75,51,4.34,16.14
CAPE OTWAY LIGHTHOUSE,31/01/2025,4.1,0.0, ,22.1,11.5,89,54,2.68,23.29
Totals:,,145.3,10.2, ,,,,,, 
