'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CAPE OTWAY LIGHTHOUSE Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CAPE OTWAY LIGHTHOUSE,01/03/2025,3.7,0.2, ,21.2,13.3,90,57,5.04,18.88
CAPE OTWAY LIGHTHOUSE,02/03/2025,2.3,0.8, ,19.0,14.9,94,56,3.38,8.36
CAPE OTWAY LIGHTHOUSE,03/03/2025,4.1,0.0, ,20.7,14.3,76,54,3.50,21.97
CAPE OTWAY LIGHTHOUSE,04/03/2025,4.1,0.0, ,22.0,15.2,82,64,6.39,21.27
CAPE OTWAY LIGHTHOUSE,05/03/2025,3.5,0.0, ,22.5,14.9,92,63,4.15,18.69
CAPE OTWAY LIGHTHOUSE,06/03/2025,1.9,0.0, ,21.4,15.8,94,81,5.74,7.43
CAPE OTWAY LIGHTHOUSE,07/03/2025,3.1,0.0, ,21.6,16.5,95,79,7.53,20.05
CAPE OTWAY LIGHTHOUSE,08/03/2025,3.7,0.0, ,23.1,17.0,94,71,6.13,22.12
CAPE OTWAY LIGHTHOUSE,09/03/2025,4.7,0.0, ,28.9,16.8,95,50,4.78,18.46
CAPE OTWAY LIGHTHOUSE,10/03/2025,5.3,0.0, ,29.4,19.7,92,40,4.09,21.62
CAPE OTWAY LIGHTHOUSE,11/03/2025,3.0,0.0, ,22.6,19.5,95,78,9.16,16.63
CAPE OTWAY LIGHTHOUSE,12/03/2025,3.2,0.0, ,21.5,18.9,94,78,6.24,19.84
CAPE OTWAY LIGHTHOUSE,13/03/2025,2.4,0.0, ,20.2,17.1,90,70,3.24,10.81
CAPE OTWAY LIGHTHOUSE,14/03/2025,2.7,0.0, ,20.8,12.2,95,73,2.97,17.27
CAPE OTWAY LIGHTHOUSE,15/03/2025,4.1,0.0, ,30.6,15.6,90,20,3.14,5.33
CAPE OTWAY LIGHTHOUSE,16/03/2025,3.0,16.2, ,16.0,15.8,94,55,11.57,9.51
CAPE OTWAY LIGHTHOUSE,17/03/2025,3.6,1.6, ,17.3,11.9,75,50,7.12,13.41
CAPE OTWAY LIGHTHOUSE,18/03/2025,3.2,0.0, ,20.0,12.3,88,56,3.95,17.79
CAPE OTWAY LIGHTHOUSE,19/03/2025,5.0,0.0, ,27.0,13.8,89,32,4.35,19.60
CAPE OTWAY LIGHTHOUSE,20/03/2025,5.1,0.0, ,26.8,13.9,95,22,6.31,5.79
CAPE OTWAY LIGHTHOUSE,21/03/2025,3.1,2.8, ,18.1,13.4,93,49,3.70,17.15
CAPE OTWAY LIGHTHOUSE,22/03/2025,3.0,0.0, ,19.6,10.4,88,56,4.21,15.59
CAPE OTWAY LIGHTHOUSE,23/03/2025,2.0,0.0, ,19.6,13.6,90,65,2.40,8.76
CAPE OTWAY LIGHTHOUSE,24/03/2025,2.6,0.0, ,19.7,11.5,91,59,2.14,16.43
CAPE OTWAY LIGHTHOUSE,25/03/2025,2.2,0.0, ,20.6,12.0,93,72,3.23,11.76
CAPE OTWAY LIGHTHOUSE,26/03/2025,2.4,0.0, ,20.9,15.5,82,64,2.23,11.47
CAPE OTWAY LIGHTHOUSE,27/03/2025,2.9,0.0, ,18.9,15.1,87,67,4.70,17.33
CAPE OTWAY LIGHTHOUSE,28/03/2025,2.8,0.0, ,20.6,13.7,94,62,3.70,16.40
CAPE OTWAY LIGHTHOUSE,29/03/2025,2.0,0.0, ,19.1,16.9,93,72,4.26,8.90
CAPE OTWAY LIGHTHOUSE,30/03/2025,2.5,2.0, ,18.2,14.9,93,63,8.81,7.04
CAPE OTWAY LIGHTHOUSE,31/03/2025,3.7,0.4, ,17.9,14.8,80,51,9.32,12.75
Totals:,,100.9,24, ,,,,,, 
