'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/01/2025,4.1,0.0, ,22.4,5.0,98,51,3.68,21.80
CASTERTON,02/01/2025,5.7,0.0, ,23.6,6.7,89,36,3.84,31.23
CASTERTON,03/01/2025,8.3,0.0, ,32.3,9.5,85,13,3.92,31.51
CASTERTON,04/01/2025,7.4,0.0, ,36.2,9.7,92,13,3.00,22.80
CASTERTON,05/01/2025,6.8,0.0, ,35.2,17.5,86,15,3.92,14.79
CASTERTON,06/01/2025,4.5,5.8, ,21.0,13.6,95,43,5.04,21.25
CASTERTON,07/01/2025,5.7,0.0, ,24.0,9.6,87,46,5.47,29.39
CASTERTON,08/01/2025,7.1,0.0, ,31.6,10.6,92,27,3.84,27.68
CASTERTON,09/01/2025,4.3,0.0, ,32.0,16.0,91,28,2.66,10.21
CASTERTON,10/01/2025,6.5,0.0, ,33.4,11.7,98,23,3.05,23.42
CASTERTON,11/01/2025,8.1,0.0, ,36.3,13.6,88,20,3.54,27.82
CASTERTON,12/01/2025,6.4,0.0, ,30.6,15.7,97,26,3.79,23.76
CASTERTON,13/01/2025,7.1,0.0, ,32.0,15.3,92,32,4.13,27.11
CASTERTON,14/01/2025,8.7,0.0, ,35.2,14.8,95,22,4.79,29.64
CASTERTON,15/01/2025,5.1,0.0, ,22.7,17.2,89,37,5.94,19.60
CASTERTON,16/01/2025,4.2,0.4, ,23.2,7.0,92,44,3.76,18.16
CASTERTON,17/01/2025, ,0.0, ,27.6,11.1, , , ,27.11
CASTERTON,18/01/2025, ,0.0, ,33.3,11.0, , , ,29.77
CASTERTON,19/01/2025,7.8,0.0, ,36.6,12.1,83,14,3.07,25.86
CASTERTON,20/01/2025,6.5,0.0, ,33.6,16.2,92,25,3.43,21.21
CASTERTON,21/01/2025,6.8,0.0, ,30.1,16.4,91,39,4.82,28.32
CASTERTON,22/01/2025,5.8,0.0, ,24.6,12.8,88,38,5.36,25.79
CASTERTON,23/01/2025,2.6,0.0, ,17.3,9.9,88,53,4.06,9.23
CASTERTON,24/01/2025,5.2,0.0, ,25.5,6.9,97,38,3.57,25.06
CASTERTON,25/01/2025,5.4,0.0, ,28.1,9.8,98,34,3.17,23.48
CASTERTON,26/01/2025,7.1,0.0, ,31.9,14.9,91,28,3.91,27.55
CASTERTON,27/01/2025,11.5,0.0, ,39.8,17.1,93,14,7.52,23.98
CASTERTON,28/01/2025,5.7,0.0, ,24.5,13.0,83,36,4.64,25.80
CASTERTON,29/01/2025, ,0.0, , ,11.0,80,38,4.13,26.43
CASTERTON,30/01/2025, , , ,23.6, ,82,40,3.94,25.26
CASTERTON,31/01/2025,5.7,0.0, ,27.6,6.7,96,36,3.51,26.80
Totals:,,170.1,6.2, ,,,,,, 
