'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/03/2025,4.9,0.0, ,26.6,7.1,98,33,3.15,23.00
CASTERTON,02/03/2025,4.2,0.2, ,23.1,10.5,96,38,3.86,19.68
CASTERTON,03/03/2025,5.1,0.0, ,24.7,5.8,93,32,4.28,23.54
CASTERTON,04/03/2025,6.9,0.0, ,33.9,11.0,88,11,3.35,23.35
CASTERTON,05/03/2025,6.3,0.0, ,29.1,9.5,83,21,4.33,23.02
CASTERTON,06/03/2025,4.6,0.0, ,23.3,14.7,88,51,6.51,21.28
CASTERTON,07/03/2025,6.8,0.0, ,33.3,15.5,88,26,4.35,22.54
CASTERTON,08/03/2025,6.8,0.0, ,34.5,15.5,83,21,3.66,22.39
CASTERTON,09/03/2025,6.2,0.0, ,34.7,17.5,58,27,3.95,13.74
CASTERTON,10/03/2025,7.8,0.0, ,36.3,19.8,82,23,5.15,20.21
CASTERTON,11/03/2025,3.1,8.4, ,30.2,19.1,91,48,3.18,6.48
CASTERTON,12/03/2025,4.8,1.0, ,28.9,16.2,96,40,2.99,21.58
CASTERTON,13/03/2025,4.9,0.0, ,28.8,14.5,91,33,2.94,21.25
CASTERTON,14/03/2025,5.1,0.0, ,31.9,9.3,98,21,2.47,19.74
CASTERTON,15/03/2025,7.3,0.0, ,39.0,12.6,79,17,3.94,13.81
CASTERTON,16/03/2025,2.9,0.0, ,16.6,15.8,95,48,5.30,12.39
CASTERTON,17/03/2025,3.2,0.0, ,19.7,5.3,94,42,3.16,17.05
CASTERTON,18/03/2025,3.7,0.0, ,24.2,3.8,97,32,2.09,20.44
CASTERTON,19/03/2025,5.5,0.0, ,30.8,8.0,97,16,3.11,20.12
CASTERTON,20/03/2025,3.6,0.0, ,24.3,12.7,95,23,3.94,4.67
CASTERTON,21/03/2025,3.2,0.0, ,21.5,12.8,96,40,2.47,16.71
CASTERTON,22/03/2025,3.4,0.0, ,23.5,4.9,96,40,2.17,19.52
CASTERTON,23/03/2025,3.8,0.0, ,24.9,9.6,98,41,3.31,17.27
CASTERTON,24/03/2025,3.9,0.0, ,23.7,10.2,94,42,3.79,19.14
CASTERTON,25/03/2025,4.9,0.0, ,26.8,11.5,95,34,4.70,18.96
CASTERTON,26/03/2025,4.2,0.0, ,24.4,12.4,93,43,4.97,18.08
CASTERTON,27/03/2025,5.1,0.0, ,26.7,13.3,93,33,5.39,18.52
CASTERTON,28/03/2025,4.8,0.0, ,33.0,10.9,96,26,2.84,16.42
CASTERTON,29/03/2025,3.5,0.0, ,22.9,13.0,94,50,5.13,15.10
CASTERTON,30/03/2025,3.0,0.0, ,21.9,11.1,96,55,5.92,9.81
CASTERTON,31/03/2025,4.1,0.0, ,20.9,12.3,87,40,6.74,14.27
Totals:,,147.6,9.6, ,,,,,, 
