'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CASTERTON Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CASTERTON,01/04/2025,4.6,0.0, ,24.0,11.8,89,34,5.63,17.49
CASTERTON,02/04/2025,4.2,0.0, ,25.7,7.4,97,27,3.64,16.55
CASTERTON,03/04/2025,2.6,0.0, ,18.9,10.1,97,52,4.30,12.56
CASTERTON,04/04/2025,2.3,0.0, ,17.7,10.6,94,51,3.71,8.88
CASTERTON,05/04/2025,2.9,0.0, ,18.9,4.3,96,39,3.30,15.65
CASTERTON,06/04/2025,2.9,0.0, ,20.0,6.0,97,49,5.32,9.90
CASTERTON,07/04/2025,1.9,0.0, ,17.4,10.3,96,57,3.15,7.79
CASTERTON,08/04/2025,1.6,0.0, ,16.7,8.0,96,57,1.84,8.34
CASTERTON,09/04/2025,2.0,0.0, ,20.6,4.5,97,43,1.30,11.08
CASTERTON,10/04/2025,5.1,0.0, ,29.8,9.3,88,23,4.07,14.96
CASTERTON,11/04/2025,3.0,0.0, ,23.5,10.2,97,44,2.91,14.96
CASTERTON,12/04/2025,4.5,0.0, ,32.3,8.6,96,22,2.80,14.43
CASTERTON,13/04/2025,6.4,0.0, ,33.4,15.6,79,18,4.97,13.71
CASTERTON,14/04/2025,3.7,0.0, ,26.6,15.7,90,44,4.51,12.54
CASTERTON,15/04/2025,4.3,0.0, ,32.1,12.0,92,25,2.85,14.45
CASTERTON,16/04/2025,4.6,0.0, ,32.1,18.0,61,26,3.24,11.04
CASTERTON,17/04/2025,3.6,0.0, ,29.8,15.6,95,31,3.04,10.44
CASTERTON,18/04/2025,3.2,0.0, ,25.9,14.6,97,41,3.31,13.19
CASTERTON,19/04/2025,3.5,0.0, ,26.1,15.1,85,33,3.91,6.02
CASTERTON,20/04/2025,2.7,0.0, ,19.5,12.6,97,55,7.69,8.15
CASTERTON,21/04/2025,1.7,0.0, ,18.2,13.2,96,76,5.04,9.90
CASTERTON,22/04/2025,1.7,0.0, ,18.0,9.9,95,69,4.16,8.89
CASTERTON,23/04/2025,2.9,0.0, ,23.1,12.9,91,53,4.17,13.54
CASTERTON,24/04/2025,2.9,0.0, ,25.5,12.5,95,41,3.01,12.17
CASTERTON,25/04/2025,1.9,0.0, ,22.3,9.6,97,48,2.08,7.32
CASTERTON,26/04/2025,1.9,0.0, ,20.5,9.6,98,61,2.81,9.98
CASTERTON,27/04/2025,1.5,0.0, ,17.3,7.2,97,67,2.27,10.26
CASTERTON,28/04/2025,1.7,0.0, ,18.5,10.0,98,56,2.26,10.33
CASTERTON,29/04/2025,1.8,0.0, ,19.2,6.2,98,56,2.98,8.70
CASTERTON,30/04/2025,2.1,0.0, ,17.1,8.5,91,53,3.90,10.52
Totals:,,89.7,0, ,,,,,, 
