'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/09/2024,2.9,0.8, ,17.8,12.2,81,50,6.81,4.83
CERBERUS,02/09/2024,2.9,7.8, ,13.9,7.3,87,48,8.68,12.73
CERBERUS,03/09/2024,2.2,10.4, ,16.1,6.6,88,50,2.69,13.83
CERBERUS,04/09/2024,3.0,0.0, ,19.4,4.9,90,34,3.90,10.38
CERBERUS,05/09/2024,3.6,1.4, ,21.4,13.3,87,30,5.24,6.31
CERBERUS,06/09/2024,2.9,5.8, ,19.9,12.5,89,32,4.00,5.31
CERBERUS,07/09/2024,2.9,5.4, ,17.9,8.3,90,43,3.78,16.48
CERBERUS,08/09/2024,2.8,0.4, ,18.0,10.3,88,53,5.33,12.59
CERBERUS,09/09/2024,2.3,3.8, ,16.0,10.5,88,61,4.45,11.93
CERBERUS,10/09/2024,2.5,0.0, ,18.1,8.8,90,52,2.10,17.16
CERBERUS,11/09/2024,2.4,0.0, ,18.7,6.5,93,52,3.36,10.92
CERBERUS,12/09/2024,2.6,0.0, ,14.6,9.3,83,51,3.36,16.42
CERBERUS,13/09/2024,2.1,0.0, ,15.9,9.3,86,61,3.25,10.31
CERBERUS,14/09/2024,2.0,8.4, ,11.5,8.2,91,55,5.44,8.77
CERBERUS,15/09/2024,2.7,0.2, ,12.9,7.0,72,45,3.64,16.23
CERBERUS,16/09/2024,2.2,0.8, ,14.4,9.1,89,61,3.83,12.40
CERBERUS,17/09/2024,2.3,4.0, ,13.8,9.5,90,52,3.52,13.45
CERBERUS,18/09/2024,3.6,0.0, ,18.9,4.2,91,37,5.01,17.56
CERBERUS,19/09/2024,2.5,3.6, ,14.6,9.3,90,56,5.18,12.51
CERBERUS,20/09/2024,2.6,2.8, ,16.1,9.5,86,61,5.55,12.71
CERBERUS,21/09/2024,2.7,5.2, ,15.4,9.8,86,56,5.03,14.17
CERBERUS,22/09/2024,3.5,1.0, ,18.2,11.1,77,51,5.00,17.17
CERBERUS,23/09/2024,2.4,0.0, ,18.2,12.2,91,58,3.43,10.87
CERBERUS,24/09/2024,2.6,0.8, ,22.9,9.2,92,39,1.11,14.62
CERBERUS,25/09/2024,1.7,6.0, ,13.4,11.0,91,60,3.12,6.78
CERBERUS,26/09/2024,2.4,4.8, ,13.4,8.7,82,48,3.32,11.73
CERBERUS,27/09/2024,2.6,0.0, ,15.3,4.9,89,52,1.26,20.80
CERBERUS,28/09/2024,3.6,0.0, ,22.1,4.7,91,29,2.20,20.58
CERBERUS,29/09/2024,2.2,0.0, ,17.1,13.7,89,50,3.02,7.07
CERBERUS,30/09/2024,2.9,8.6, ,17.3,5.8,91,57,2.55,20.30
Totals:,,79.6,82, ,,,,,, 
