'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/10/2024,2.9,0.0, ,17.4,9.5,89,56,3.58,16.32
CERBERUS,02/10/2024,2.7,0.0, ,15.7,2.6,92,52,1.68,21.68
CERBERUS,03/10/2024,4.1,0.0, ,25.6,6.4,90,34,2.30,21.05
CERBERUS,04/10/2024,3.6,1.6, ,24.2,12.7,90,41,3.15,13.58
CERBERUS,05/10/2024,2.7,5.2, ,19.1,10.5,91,53,2.83,13.38
CERBERUS,06/10/2024,3.7,4.8, ,18.6,11.4,82,48,4.96,18.43
CERBERUS,07/10/2024,2.8,1.0, ,16.4,12.8,88,53,5.61,9.95
CERBERUS,08/10/2024,3.0,2.2, ,14.5,7.6,74,46,3.16,17.81
CERBERUS,09/10/2024,3.2,0.0, ,16.6,4.7,87,44,1.73,23.20
CERBERUS,10/10/2024,3.6,0.0, ,17.9,5.5,89,51,4.07,23.15
CERBERUS,11/10/2024,3.0,0.0, ,16.5,5.3,87,53,3.44,18.20
CERBERUS,12/10/2024,3.5,0.0, ,16.0,8.5,79,49,2.93,23.67
CERBERUS,13/10/2024,4.6,0.0, ,24.4,5.9,89,25,2.88,21.99
CERBERUS,14/10/2024,3.4,2.6, ,19.2,12.7,90,64,3.03,21.41
CERBERUS,15/10/2024,4.7,0.0, ,21.8,11.9,74,46,4.88,22.69
CERBERUS,16/10/2024,3.9,2.0, ,24.8,12.1,89,47,2.42,19.36
CERBERUS,17/10/2024,4.0,0.0, ,26.6,12.6,88,40,2.24,17.79
CERBERUS,18/10/2024,2.2,6.8, ,22.6,16.1,91,72,3.19,7.83
CERBERUS,19/10/2024,3.0,22.8, ,16.0,12.4,92,67,5.37,19.20
CERBERUS,20/10/2024,3.4,0.0, ,17.4,11.1,88,72,3.19,24.54
CERBERUS,21/10/2024,4.8,0.0, ,23.9,9.8,90,41,3.48,25.33
CERBERUS,22/10/2024,5.8,0.0, ,30.4,11.1,89,27,3.56,20.97
CERBERUS,23/10/2024,3.5,0.0, ,17.3,10.3,86,55,2.57,22.94
CERBERUS,24/10/2024,3.3,2.0, ,16.2,9.5,87,50,4.22,18.19
CERBERUS,25/10/2024,3.8,2.4, ,15.3,8.9,86,45,3.67,24.66
CERBERUS,26/10/2024,3.8,0.0, ,18.4,2.0,92,31,1.64,26.43
CERBERUS,27/10/2024,5.2,0.0, ,24.4,11.4,82,29,3.49,23.98
CERBERUS,28/10/2024,3.8,0.2, ,16.4,11.3,86,54,3.82,24.05
CERBERUS,29/10/2024,2.8,0.0, ,16.9,8.8,87,63,3.01,16.77
CERBERUS,30/10/2024,3.2,0.0, ,17.6,10.3,88,62,2.68,20.23
CERBERUS,31/10/2024,3.0,1.6, ,18.0,10.1,91,56,3.37,15.66
Totals:,,111,55.2, ,,,,,, 
