'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for November 2024,,,,,,,,,,
Issued at 22:31 GMT on Sunday 01 December 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/11/2024,3.7,0.0, ,16.1,11.0,84,46,3.04,21.89
CERBERUS,02/11/2024,5.2,0.0, ,26.3,3.8,90,18,2.61,23.60
CERBERUS,03/11/2024,5.6,0.0, ,18.5,11.7,82,13,5.48,25.98
CERBERUS,04/11/2024,3.2,0.0, ,17.6,10.0,87,57,2.59,18.74
CERBERUS,05/11/2024,4.3,0.0, ,22.6,4.0,90,37,1.62,27.50
CERBERUS,06/11/2024,7.3,0.0, ,32.8,11.8,87,21,4.64,20.91
CERBERUS,07/11/2024,3.9,0.0, ,19.1,9.7,86,51,2.41,23.52
CERBERUS,08/11/2024, ,0.2, , ,10.4,89,45,4.99,19.34
CERBERUS,09/11/2024, ,1.0, , , ,100,43,1.98,19.04
CERBERUS,10/11/2024,3.4,0.0, ,18.7,6.0,91,52,2.14,21.74
CERBERUS,11/11/2024,4.5,0.0, ,21.6,5.0,91,46,2.13,28.89
CERBERUS,12/11/2024,4.4,0.0, ,25.4,10.5,91,46,2.08,22.80
CERBERUS,13/11/2024,2.9,6.6, ,18.1,13.6,91,57,3.87,12.98
CERBERUS,14/11/2024,4.1,1.4, ,17.1,12.1,69,49,3.20,23.00
CERBERUS,15/11/2024,4.5,0.0, ,18.3,11.1,77,49,2.86,27.62
CERBERUS,16/11/2024,7.1,0.0, ,33.2,10.7,90,16,2.88,27.73
CERBERUS,17/11/2024,4.6,0.0, ,22.2,17.2,85,34,4.76,16.06
CERBERUS,18/11/2024,4.2,3.4, ,18.1,11.1,84,55,5.46,24.15
CERBERUS,19/11/2024,3.8,0.4, ,16.9,12.1,71,49,2.70,20.74
CERBERUS,20/11/2024,4.0,0.0, ,17.3,12.1,81,56,2.69,25.35
CERBERUS,21/11/2024, ,0.0, , ,7.4,90,45,1.84,30.27
CERBERUS,22/11/2024, , , ,30.8, ,92,41,1.52,29.53
CERBERUS,23/11/2024,7.3,0.0, ,36.6,19.4,87,15,3.43,20.59
CERBERUS,24/11/2024,2.3,15.8, ,23.3,17.7,92,72,1.43,9.78
CERBERUS,25/11/2024,1.4,0.4, ,19.0,15.8,94,86,2.09,5.76
CERBERUS,26/11/2024,3.6,0.2, ,24.4,16.4,93,65,1.94,18.48
CERBERUS,27/11/2024,5.3,11.8, ,30.0,16.4,93,45,3.61,20.57
CERBERUS,28/11/2024,4.8,6.4, ,22.4,14.0,91,57,2.89,28.12
CERBERUS,29/11/2024,6.2,0.2, ,27.4,17.5,83,51,4.20,29.79
CERBERUS,30/11/2024, ,0.2, ,21.4,19.2,91,82,2.93, 
Totals:,,111.6,48, ,,,,,, 
