'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CERBERUS Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CERBERUS,01/03/2025,3.8,0.2, ,24.0,9.8,90,45,1.99,21.26
CERBERUS,02/03/2025,3.3,0.0, ,21.2,12.9,87,51,2.70,16.51
CERBERUS,03/03/2025,3.8,0.0, ,20.1,9.8,77,50,2.93,22.56
CERBERUS,04/03/2025,5.4,0.0, ,30.4,13.8,83,31,2.92,22.84
CERBERUS,05/03/2025,6.6,0.0, ,33.3,15.1,87,26,3.93,22.66
CERBERUS,06/03/2025,3.6,0.0, ,25.3,17.9,85,61,3.75,15.04
CERBERUS,07/03/2025,5.3,0.0, ,30.2,17.9,83,33,2.92,22.30
CERBERUS,08/03/2025,4.6,0.0, ,31.4,11.0,91,28,1.66,22.13
CERBERUS,09/03/2025,5.1,0.0, ,35.6,13.5,84,22,1.88,19.39
CERBERUS,10/03/2025,5.2,0.0, ,31.6,23.0,78,33,2.44,21.21
CERBERUS,11/03/2025,4.9,0.0, ,29.0,17.2,83,46,3.61,20.66
CERBERUS,12/03/2025,6.0,0.0, ,35.7,20.4,81,25,3.74,15.07
CERBERUS,13/03/2025,3.5,0.0, ,23.4,15.6,86,51,2.26,18.24
CERBERUS,14/03/2025,3.1,0.0, ,23.1,9.7,91,59,1.50,19.30
CERBERUS,15/03/2025,2.9,0.0, ,31.7,14.2,88,26,1.22,9.13
CERBERUS,16/03/2025,2.7,3.2, ,20.5,18.7,90,50,5.36,4.19
CERBERUS,17/03/2025,4.0,5.4, ,19.3,11.9,69,39,4.32,18.08
CERBERUS,18/03/2025,3.3,0.0, ,22.0,9.1,86,40,1.90,19.95
CERBERUS,19/03/2025,3.9,0.0, ,29.7,10.0,90,30,1.68,18.57
CERBERUS,20/03/2025,2.8,0.0, ,26.6,14.7,90,49,3.29,5.99
CERBERUS,21/03/2025,2.4,14.4, ,19.2,14.8,90,52,2.20,11.49
CERBERUS,22/03/2025,2.5,0.0, ,20.4,7.3,90,52,1.42,15.93
CERBERUS,23/03/2025,3.1,0.0, ,22.4,10.0,90,50,2.06,18.36
CERBERUS,24/03/2025,2.7,0.0, ,20.5,10.9,90,55,2.34,15.22
CERBERUS,25/03/2025, ,0.0, , ,8.9,91,54,1.95,18.37
CERBERUS,26/03/2025, , , ,20.2, ,78,59,2.71,12.01
CERBERUS,27/03/2025,3.1,0.0, ,21.7,15.7,78,60,2.53,17.73
CERBERUS,28/03/2025,3.6,0.0, ,30.2,14.1,88,34,1.70,16.10
CERBERUS,29/03/2025,2.3,0.0, ,20.5,17.7,84,66,3.44,8.12
CERBERUS,30/03/2025,3.3,0.4, ,20.9,16.9,88,54,5.59,13.19
CERBERUS,31/03/2025,3.2,0.2, ,20.3,16.2,87,52,5.24,12.20
Totals:,,110,23.8, ,,,,,, 
