'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/09/2024,3.2,0.0, ,20.0,8.7,85,48,5.67,11.34
CHARLTON,02/09/2024,2.9,0.6, ,14.7,8.1,93,43,6.61,14.77
CHARLTON,03/09/2024,2.3,0.0, ,17.4,3.1,100,44,1.77,16.75
CHARLTON,04/09/2024,4.0,0.0, ,22.2,5.2,87,26,3.82,17.20
CHARLTON,05/09/2024,3.7,0.0, ,23.0,10.5,55,29,3.53,6.16
CHARLTON,06/09/2024,4.7,0.0, ,27.1,16.6,93,26,5.03,11.92
CHARLTON,07/09/2024,2.6,0.0, ,19.5,5.2,100,41,2.09,16.02
CHARLTON,08/09/2024,2.6,0.0, ,18.3,4.7,100,50,4.19,13.19
CHARLTON,09/09/2024,2.3,0.4, ,17.5,8.4,100,52,3.17,13.09
CHARLTON,10/09/2024,2.5,0.0, ,20.7,1.7,100,45,1.37,18.03
CHARLTON,11/09/2024,3.1,0.0, ,21.8,9.6,89,45,3.10,14.43
CHARLTON,12/09/2024,3.3,0.0, ,18.5,4.2,90,35,3.56,18.73
CHARLTON,13/09/2024,2.7,0.0, ,19.6,0.3,99,48,1.94,18.92
CHARLTON,14/09/2024,2.7,0.0, ,16.0,1.3,100,35,2.85,17.06
CHARLTON,15/09/2024,2.9,0.0, ,16.4,-0.3,99,36,3.16,19.29
CHARLTON,16/09/2024,2.5,0.0, ,17.0,-2.1,99,46,2.26,17.14
CHARLTON,17/09/2024,2.8,0.0, ,18.3,1.4,100,31,1.70,19.61
CHARLTON,18/09/2024,4.3,0.0, ,22.1,-0.9,90,16,3.19,19.80
CHARLTON,19/09/2024,3.3,0.0, ,17.5,5.9,91,39,4.56,17.07
CHARLTON,20/09/2024,2.9,0.0, ,18.9,5.7,100,48,4.27,14.42
CHARLTON,21/09/2024,3.2,0.0, ,19.1,8.7,100,45,4.53,15.84
CHARLTON,22/09/2024,3.1,0.0, ,20.4,7.7,100,42,3.17,15.22
CHARLTON,23/09/2024,3.3,0.0, ,21.5,5.8,100,41,2.47,19.09
CHARLTON,24/09/2024,4.4,0.0, ,27.6,6.7,97,15,2.72,13.78
CHARLTON,25/09/2024,2.7,0.0, ,20.1,13.9,99,36,2.79,10.19
CHARLTON,26/09/2024,3.9,2.4, ,18.1,4.0,83,33,4.32,21.32
CHARLTON,27/09/2024,3.3,0.0, ,19.6,0.1,99,26,1.94,21.47
CHARLTON,28/09/2024,4.8,0.0, ,22.7,7.4,71,29,4.31,19.96
CHARLTON,29/09/2024,2.6,5.4, ,19.4,11.9,100,46,3.15,10.75
CHARLTON,30/09/2024,3.2,3.0, ,20.2,3.1,100,41,2.40,19.38
Totals:,,95.8,11.8, ,,,,,, 
