'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/10/2024,3.3,0.0, ,21.1,5.8,100,41,2.36,18.60
CHARLTON,02/10/2024,3.9,0.0, ,23.0,4.7,99,22,1.92,22.45
CHARLTON,03/10/2024,5.5,0.0, ,27.2,6.5,99,25,4.19,22.07
CHARLTON,04/10/2024,5.4,0.2, ,27.2,15.6,83,27,4.58,16.65
CHARLTON,05/10/2024,2.5,0.0, ,19.0,7.1,100,55,3.42,12.17
CHARLTON,06/10/2024,4.2,4.0, ,22.5,9.6,99,35,4.15,19.30
CHARLTON,07/10/2024,3.2,0.0, ,20.4,10.2,100,52,3.94,15.69
CHARLTON,08/10/2024,3.6,0.0, ,18.1,0.7,99,32,2.79,23.29
CHARLTON,09/10/2024,4.0,0.2, ,22.0,1.2,98,25,2.13,23.54
CHARLTON,10/10/2024,5.3,0.0, ,26.2,6.7,77,17,2.88,23.60
CHARLTON,11/10/2024,4.2,0.0, ,21.8,4.4,92,34,2.86,23.68
CHARLTON,12/10/2024,4.6,0.0, ,24.6,3.7,96,11,2.15,23.53
CHARLTON,13/10/2024,5.2,0.0, ,27.6,5.1,83,21,2.76,21.63
CHARLTON,14/10/2024,5.3,0.0, ,28.7,13.1,75,28,2.52,23.62
CHARLTON,15/10/2024,4.2,0.0, ,24.7,13.7,79,42,3.91,15.08
CHARLTON,16/10/2024,3.5,0.0, ,24.3,15.5,94,56,4.07,14.29
CHARLTON,17/10/2024, ,0.0, , ,15.5,100,54,4.10,12.30
CHARLTON,18/10/2024,2.9, , ,22.8,15.6,100,70,5.95,14.01
CHARLTON,19/10/2024,4.5,1.4, ,23.1,11.8,100,42,3.37,24.63
CHARLTON,20/10/2024,4.8,0.0, ,25.5,7.3,99,37,2.89,24.86
CHARLTON,21/10/2024,4.9,0.0, ,28.4,7.7,100,27,1.92,24.69
CHARLTON,22/10/2024,6.3,0.0, ,34.0,10.8,91,16,2.79,21.84
CHARLTON,23/10/2024,5.3,0.0, ,24.4,11.2,86,22,3.78,21.74
CHARLTON,24/10/2024,4.5,0.0, ,20.1,6.1,95,28,3.82,23.16
CHARLTON,25/10/2024,4.5,0.0, ,20.5,5.3,97,22,2.71,25.67
CHARLTON,26/10/2024,4.8,0.0, ,24.4,3.4,86,21,2.22,25.38
CHARLTON,27/10/2024,6.7,0.0, ,30.7,12.9,77,15,3.43,24.86
CHARLTON,28/10/2024,5.3,0.0, ,24.2,8.6,92,23,3.10,25.84
CHARLTON,29/10/2024,5.5,0.0, ,26.8,7.1,91,22,2.69,26.25
CHARLTON,30/10/2024,5.7,0.0, ,28.3,7.2,97,16,2.50,26.30
CHARLTON,31/10/2024,4.8,0.0, ,23.4,10.0,86,29,3.05,22.70
Totals:,,138.4,5.8, ,,,,,, 
