'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/01/2025,8.1,0.0, ,31.1,13.4,81,12,3.83,31.40
CHARLTON,02/01/2025,8.1,0.0, ,29.6,11.3,78,14,4.60,31.29
CHARLTON,03/01/2025,7.0,0.0, ,33.6,9.9,78,8,1.98,31.27
CHARLTON,04/01/2025,7.8,0.0, ,39.1,13.3,50,7,2.50,24.58
CHARLTON,05/01/2025,7.6,0.0, ,39.8,22.6,32,8,3.14,13.16
CHARLTON,06/01/2025,4.3,2.4, ,24.7,16.7,100,32,3.68,14.59
CHARLTON,07/01/2025,8.2,2.2, ,30.9,11.0,80,15,4.43,31.41
CHARLTON,08/01/2025,8.0,0.0, ,32.2,16.8,70,22,3.83,30.76
CHARLTON,09/01/2025,6.1,0.0, ,30.0,20.4,46,29,3.44,16.70
CHARLTON,10/01/2025,6.5,0.0, ,35.0,16.5,68,18,1.90,26.33
CHARLTON,11/01/2025,7.3,0.0, ,36.1,19.0,60,15,2.26,27.74
CHARLTON,12/01/2025,6.5,0.0, ,33.3,22.2,65,32,3.85,18.24
CHARLTON,13/01/2025,7.7,0.0, ,36.6,16.8,83,19,2.63,29.13
CHARLTON,14/01/2025,8.4,0.0, ,38.2,18.2,74,16,2.87,30.50
CHARLTON,15/01/2025, ,0.0, , ,23.2,49,28,4.59,21.60
CHARLTON,16/01/2025, , , ,27.3, ,69,28,3.93,30.08
CHARLTON,17/01/2025, ,0.0, ,31.4,13.2, , , ,30.10
CHARLTON,18/01/2025, ,0.0, ,32.7,15.8, , , ,29.94
CHARLTON,19/01/2025,6.9,0.0, ,36.2,15.9,50,18,1.92,27.61
CHARLTON,20/01/2025,6.9,0.0, ,38.7,19.2,51,11,2.26,21.48
CHARLTON,21/01/2025,9.0,0.0, ,39.2,19.0,57,12,3.20,29.39
CHARLTON,22/01/2025,7.9,0.0, ,30.2,17.6,72,25,5.50,27.06
CHARLTON,23/01/2025,4.7,0.0, ,23.3,11.6,71,26,3.55,15.98
CHARLTON,24/01/2025,6.8,0.0, ,29.0,11.6,76,22,3.28,29.15
CHARLTON,25/01/2025,6.5,0.0, ,32.0,13.3,82,19,2.67,26.03
CHARLTON,26/01/2025,7.0,0.0, ,34.1,15.2,76,21,2.45,28.71
CHARLTON,27/01/2025,10.0,0.0, ,42.7,19.7,65,10,4.04,24.60
CHARLTON,28/01/2025,7.7,0.0, ,30.5,15.8,76,21,4.44,28.44
CHARLTON,29/01/2025,7.4,0.0, ,29.2,12.3,67,18,4.24,28.30
CHARLTON,30/01/2025,7.6,0.0, ,29.7,11.7,68,19,4.51,27.88
CHARLTON,31/01/2025,7.9,0.0, ,33.3,11.6,78,13,3.66,28.09
Totals:,,197.9,4.6, ,,,,,, 
