'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CHARLTON Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CHARLTON,01/03/2025,5.6,0.0, ,31.8,12.9,83,16,2.31,22.99
CHARLTON,02/03/2025,5.8,0.0, ,27.9,14.8,72,27,3.86,22.23
CHARLTON,03/03/2025,6.4,0.0, ,30.5,10.1,81,16,3.66,23.12
CHARLTON,04/03/2025,5.7,0.0, ,33.7,10.9,73,13,2.11,22.87
CHARLTON,05/03/2025,6.4,0.0, ,36.3,16.9,57,19,2.53,22.68
CHARLTON,06/03/2025,6.6,0.0, ,32.6,17.7,73,29,4.19,21.46
CHARLTON,07/03/2025,6.0,0.0, ,32.8,17.6,83,21,2.96,22.23
CHARLTON,08/03/2025,6.4,0.0, ,33.5,18.3,59,19,3.01,21.94
CHARLTON,09/03/2025,5.9,0.0, ,34.7,19.9,97,31,4.19,16.41
CHARLTON,10/03/2025,5.0,1.0, ,34.5,18.2,100,27,1.72,22.04
CHARLTON,11/03/2025,5.9,0.0, ,35.3,20.1,73,29,2.68,21.09
CHARLTON,12/03/2025,6.0,0.0, ,36.4,22.5,60,24,2.60,19.32
CHARLTON,13/03/2025,5.5,0.0, ,34.6,17.6,81,19,2.16,21.33
CHARLTON,14/03/2025,4.6,0.0, ,36.0,14.1,76,8,1.21,21.07
CHARLTON,15/03/2025,6.6,0.0, ,40.3,16.5,55,11,2.51,18.53
CHARLTON,16/03/2025,3.6,0.0, ,24.8,23.6,91,30,3.88,7.95
CHARLTON,17/03/2025,4.1,0.4, ,22.2,6.5,87,30,3.15,20.28
CHARLTON,18/03/2025,4.0,0.0, ,26.8,7.5,86,21,1.83,20.04
CHARLTON,19/03/2025,4.7,0.0, ,32.5,11.9,58,11,1.76,19.26
CHARLTON,20/03/2025,3.8,0.0, ,25.9,15.4,98,24,3.75,7.71
CHARLTON,21/03/2025,3.7,1.6, ,24.5,14.5,97,37,2.29,18.62
CHARLTON,22/03/2025,3.8,0.0, ,26.8,9.6,97,21,1.68,19.34
CHARLTON,23/03/2025,4.5,0.0, ,29.1,11.3,82,20,2.23,19.15
CHARLTON,24/03/2025,4.9,0.0, ,28.4,13.0,89,27,3.39,19.10
CHARLTON,25/03/2025,4.7,0.0, ,32.5,10.4,91,17,2.11,18.88
CHARLTON,26/03/2025,5.4,0.0, ,32.8,14.9,75,18,2.87,18.65
CHARLTON,27/03/2025,5.1,0.0, ,32.0,12.9,78,26,2.94,18.45
CHARLTON,28/03/2025,4.5,0.0, ,29.5,16.1,65,31,2.79,15.31
CHARLTON,29/03/2025,3.3,0.0, ,25.9,18.7,81,49,3.63,8.88
CHARLTON,30/03/2025,5.6,0.0, ,27.4,14.1,83,32,5.98,17.78
CHARLTON,31/03/2025,5.1,0.0, ,25.7,14.2,75,31,4.94,17.44
Totals:,,159.2,3, ,,,,,, 
