'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/09/2024,2.3,4.2, ,16.0,9.9,100,64,15.25,7.76
COLAC (MOUNT GELLIBRAND),02/09/2024,1.7,6.2, ,10.7,4.6,98,70,17.02,12.55
COLAC (MOUNT GELLIBRAND),03/09/2024,1.9,4.8, ,14.3,5.3,100,66,5.86,13.78
COLAC (MOUNT GELLIBRAND),04/09/2024,3.5,0.2, ,16.8,7.2,86,47,10.16,12.31
COLAC (MOUNT GELLIBRAND),05/09/2024,3.2,1.8, ,17.2,10.4,93,48,11.52,5.09
COLAC (MOUNT GELLIBRAND),06/09/2024,2.2,4.0, ,16.4,12.3,100,55,7.34,4.88
COLAC (MOUNT GELLIBRAND),07/09/2024,2.2,6.0, ,15.4,5.8,100,63,7.80,12.77
COLAC (MOUNT GELLIBRAND),08/09/2024,1.7,0.6, ,14.4,6.5,100,75,11.54,11.77
COLAC (MOUNT GELLIBRAND),09/09/2024,1.6,3.8, ,13.4,7.6,100,76,9.48,12.43
COLAC (MOUNT GELLIBRAND),10/09/2024,2.1,0.0, ,15.0,8.3,93,69,5.55,14.63
COLAC (MOUNT GELLIBRAND),11/09/2024,1.9,0.0, ,15.6,9.3,92,74,4.91,11.04
COLAC (MOUNT GELLIBRAND),12/09/2024,2.2,0.6, ,13.7,5.0,95,63,4.82,17.13
COLAC (MOUNT GELLIBRAND),13/09/2024,1.5,0.2, ,13.0,8.0,100,76,7.28,10.14
COLAC (MOUNT GELLIBRAND),14/09/2024,2.0,0.4, ,9.5,6.1,100,59,8.76,14.73
COLAC (MOUNT GELLIBRAND),15/09/2024,2.1,1.4, ,11.7,3.9,93,58,5.40,14.71
COLAC (MOUNT GELLIBRAND),16/09/2024,1.5,0.0, ,12.4,5.8,100,80,7.63,14.04
COLAC (MOUNT GELLIBRAND),17/09/2024,2.0,0.2, ,12.2,6.5,100,65,8.12,15.24
COLAC (MOUNT GELLIBRAND),18/09/2024,3.4,0.0, ,16.8,5.7,100,51,12.59,16.73
COLAC (MOUNT GELLIBRAND),19/09/2024,2.4,3.8, ,13.6,6.8,100,62,12.77,15.58
COLAC (MOUNT GELLIBRAND),20/09/2024,1.7,0.6, ,14.2,6.1,99,76,11.49,12.26
COLAC (MOUNT GELLIBRAND),21/09/2024,1.9,3.6, ,13.4,7.0,100,71,10.14,14.10
COLAC (MOUNT GELLIBRAND),22/09/2024,2.2,0.6, ,15.5,8.2,100,72,10.57,16.22
COLAC (MOUNT GELLIBRAND),23/09/2024,1.8,0.0, ,15.7,10.3,100,80,7.75,12.80
COLAC (MOUNT GELLIBRAND),24/09/2024,3.0,1.0, ,18.9,9.3,100,48,3.78,15.76
COLAC (MOUNT GELLIBRAND),25/09/2024,1.2,4.4, ,10.8,9.5,100,78,4.90,6.08
COLAC (MOUNT GELLIBRAND),26/09/2024,2.5,2.0, ,12.6,4.4,83,60,4.78,17.84
COLAC (MOUNT GELLIBRAND),27/09/2024,2.6,0.0, ,14.7,5.6,93,66,3.71,20.90
COLAC (MOUNT GELLIBRAND),28/09/2024,4.4,0.0, ,20.6,6.8,97,41,7.72,20.30
COLAC (MOUNT GELLIBRAND),29/09/2024,3.1,1.6, ,16.9,10.9,97,54,9.70,12.85
COLAC (MOUNT GELLIBRAND),30/09/2024,2.5,0.4, ,16.4,5.8,98,67,6.89,17.14
Totals:,,68.3,52.4, ,,,,,, 
