'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/10/2024,3.0,0.2, ,16.3,8.2,100,59,6.99,19.60
COLAC (MOUNT GELLIBRAND),02/10/2024,2.9,0.0, ,15.4,7.6,100,59,5.03,21.71
COLAC (MOUNT GELLIBRAND),03/10/2024,5.5,0.0, ,24.9,7.2,99,37,7.70,21.87
COLAC (MOUNT GELLIBRAND),04/10/2024,4.8,0.0, ,23.1,13.4,89,49,11.09,15.72
COLAC (MOUNT GELLIBRAND),05/10/2024,2.2,0.0, ,15.3,7.6,99,72,9.39,14.42
COLAC (MOUNT GELLIBRAND),06/10/2024,3.3,2.8, ,17.2,8.8,99,55,12.47,16.02
COLAC (MOUNT GELLIBRAND),07/10/2024,2.9,0.6, ,14.4,10.8,100,56,11.43,16.99
COLAC (MOUNT GELLIBRAND),08/10/2024,2.8,0.0, ,12.7,4.1,86,53,4.64,18.85
COLAC (MOUNT GELLIBRAND),09/10/2024,3.8,0.0, ,17.3,4.5,84,43,4.75,23.29
COLAC (MOUNT GELLIBRAND),10/10/2024,4.1,0.0, ,16.6,8.7,84,47,8.21,23.07
COLAC (MOUNT GELLIBRAND),11/10/2024,3.0,0.0, ,15.9,4.7,97,50,6.06,15.19
COLAC (MOUNT GELLIBRAND),12/10/2024,3.6,0.0, ,15.9,7.3,95,49,5.27,23.85
COLAC (MOUNT GELLIBRAND),13/10/2024,5.3,0.0, ,24.1,6.2,100,32,6.22,21.03
COLAC (MOUNT GELLIBRAND),14/10/2024,2.9,14.2, ,16.9,10.9,100,71,6.00,21.73
COLAC (MOUNT GELLIBRAND),15/10/2024,4.1,0.0, ,22.1,9.6,97,59,8.18,21.90
COLAC (MOUNT GELLIBRAND),16/10/2024,4.2,0.0, ,23.7,11.6,96,59,5.29,23.13
COLAC (MOUNT GELLIBRAND),17/10/2024,4.1,0.0, ,25.4,14.9,100,50,5.33,15.99
COLAC (MOUNT GELLIBRAND),18/10/2024,1.5,10.8, ,20.1,15.2,100,88,7.44,7.97
COLAC (MOUNT GELLIBRAND),19/10/2024,2.6,12.2, ,15.4,9.3,100,71,7.42,19.94
COLAC (MOUNT GELLIBRAND),20/10/2024,3.4,0.0, ,18.5,8.9,99,61,4.23,22.35
COLAC (MOUNT GELLIBRAND),21/10/2024,4.0,0.0, ,21.6,9.4,100,63,6.56,25.55
COLAC (MOUNT GELLIBRAND),22/10/2024,5.9,0.0, ,27.7,12.9,94,38,6.79,20.77
COLAC (MOUNT GELLIBRAND),23/10/2024,3.7,0.0, ,17.6,7.8,97,54,6.70,23.95
COLAC (MOUNT GELLIBRAND),24/10/2024,3.5,0.4, ,14.7,5.8,100,49,8.41,23.31
COLAC (MOUNT GELLIBRAND),25/10/2024,3.3,1.8, ,14.9,5.4,97,51,4.15,22.67
COLAC (MOUNT GELLIBRAND),26/10/2024,4.9,0.2, ,21.1,5.5,86,33,4.11,26.33
COLAC (MOUNT GELLIBRAND),27/10/2024,5.0,0.0, ,23.0,9.3,93,46,6.99,24.28
COLAC (MOUNT GELLIBRAND),28/10/2024,4.0,0.0, ,17.8,7.9,98,50,5.50,26.16
COLAC (MOUNT GELLIBRAND),29/10/2024,3.3,0.0, ,17.6,6.9,97,58,5.14,20.20
COLAC (MOUNT GELLIBRAND),30/10/2024,3.8,0.0, ,19.6,9.2,99,56,4.39,22.90
COLAC (MOUNT GELLIBRAND),31/10/2024,3.8,0.0, ,18.3,9.0,100,52,6.66,22.95
Totals:,,115.2,43.2, ,,,,,, 
