'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/12/2024,3.1,20.0, ,20.5,13.9,99,70,11.00,16.37
COLAC (MOUNT GELLIBRAND),02/12/2024,8.2,2.0, ,31.9,12.7,100,26,5.87,29.29
COLAC (MOUNT GELLIBRAND),03/12/2024,5.8,17.0, ,26.9,16.8,100,51,8.82,25.20
COLAC (MOUNT GELLIBRAND),04/12/2024,6.0,0.2, ,24.3,9.6,97,32,3.91,31.28
COLAC (MOUNT GELLIBRAND),05/12/2024,8.5,0.0, ,32.8,11.6,100,19,4.89,31.23
COLAC (MOUNT GELLIBRAND),06/12/2024,5.4,0.0, ,27.7,17.2,76,30,5.42,9.53
COLAC (MOUNT GELLIBRAND),07/12/2024,3.3,5.4, ,22.9,15.5,100,72,7.70,16.86
COLAC (MOUNT GELLIBRAND),08/12/2024,4.9,1.0, ,19.4,10.2,98,44,7.42,27.42
COLAC (MOUNT GELLIBRAND),09/12/2024,4.0,0.0, ,20.4,8.9,93,52,3.72,21.84
COLAC (MOUNT GELLIBRAND),10/12/2024,4.8,0.0, ,21.3,11.0,92,46,4.47,25.15
COLAC (MOUNT GELLIBRAND),11/12/2024,5.4,0.0, ,21.7,10.0,99,45,7.50,29.28
COLAC (MOUNT GELLIBRAND),12/12/2024,5.8,0.0, ,25.9,13.0,98,49,7.71,26.15
COLAC (MOUNT GELLIBRAND),13/12/2024,5.3,0.0, ,21.8,13.1,100,47,5.58,29.61
COLAC (MOUNT GELLIBRAND),14/12/2024,5.5,0.0, ,26.6,10.9,97,33,3.21,25.40
COLAC (MOUNT GELLIBRAND),15/12/2024,8.0,0.0, ,31.1,10.8,96,32,6.02,31.66
COLAC (MOUNT GELLIBRAND),16/12/2024,13.4,0.0, ,40.8,17.0,97,18,11.54,19.91
COLAC (MOUNT GELLIBRAND),17/12/2024,5.5,1.4, ,21.6,13.3,100,42,9.49,27.49
COLAC (MOUNT GELLIBRAND),18/12/2024,5.4,0.2, ,21.6,9.1,93,46,5.65,31.51
COLAC (MOUNT GELLIBRAND),19/12/2024,8.4,0.0, ,30.2,10.5,99,24,6.54,31.57
COLAC (MOUNT GELLIBRAND),20/12/2024,9.9,0.0, ,34.0,15.1,82,19,6.82,30.25
COLAC (MOUNT GELLIBRAND),21/12/2024,5.6,0.0, ,21.8,13.0,84,39,5.23,28.07
COLAC (MOUNT GELLIBRAND),22/12/2024,5.2,0.0, ,22.0,8.8,96,41,5.92,25.75
COLAC (MOUNT GELLIBRAND),23/12/2024,4.2,0.8, ,18.2,7.6,95,49,9.54,21.48
COLAC (MOUNT GELLIBRAND),24/12/2024,4.1,0.0, ,21.9,9.8,100,54,4.95,21.71
COLAC (MOUNT GELLIBRAND),25/12/2024,7.9,0.4, ,33.1,12.2,100,29,4.65,30.38
COLAC (MOUNT GELLIBRAND),26/12/2024,11.1,0.0, ,34.4,17.9,92,14,13.49,10.48
COLAC (MOUNT GELLIBRAND),27/12/2024,5.4,0.4, ,19.9,11.5,95,37,10.14,24.52
COLAC (MOUNT GELLIBRAND),28/12/2024,3.9,0.0, ,20.2,8.6,99,53,8.12,17.88
COLAC (MOUNT GELLIBRAND),29/12/2024,4.7,2.4, ,23.9,9.0,97,48,5.44,20.92
COLAC (MOUNT GELLIBRAND),30/12/2024,5.5,0.0, ,27.1,13.7,95,44,3.77,25.51
COLAC (MOUNT GELLIBRAND),31/12/2024,5.8,0.0, ,25.6,12.6,100,37,3.14,30.03
Totals:,,190,51.2, ,,,,,, 
