'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/02/2025,6.5,0.0, ,28.3,12.6,92,47,6.93,28.39
COLAC (MOUNT GELLIBRAND),02/02/2025, ,0.0, , ,17.7,97,26,7.85,24.81
COLAC (MOUNT GELLIBRAND),03/02/2025,9.5, , ,36.5,20.1,87,33,8.10,26.24
COLAC (MOUNT GELLIBRAND),04/02/2025,7.1,19.6, ,32.1,20.9,85,42,5.82,25.13
COLAC (MOUNT GELLIBRAND),05/02/2025,5.8,0.0, ,25.0,11.5,94,43,6.13,27.81
COLAC (MOUNT GELLIBRAND),06/02/2025,8.1,0.0, ,32.4,14.3,97,23,5.73,27.64
COLAC (MOUNT GELLIBRAND),07/02/2025,4.3,0.0, ,25.2,14.7,100,57,5.82,19.80
COLAC (MOUNT GELLIBRAND),08/02/2025,4.2,0.0, ,22.6,12.7,97,54,6.71,19.89
COLAC (MOUNT GELLIBRAND),09/02/2025,1.8,0.0, ,17.4,15.4,93,81,13.53,4.78
COLAC (MOUNT GELLIBRAND),10/02/2025,3.8,0.0, ,23.1,15.6,92,70,12.29,17.15
COLAC (MOUNT GELLIBRAND),11/02/2025,5.4,0.0, ,27.7,16.6,100,56,8.20,23.96
COLAC (MOUNT GELLIBRAND),12/02/2025,7.5,0.0, ,32.9,16.8,100,36,6.28,26.62
COLAC (MOUNT GELLIBRAND),13/02/2025,7.8,0.0, ,33.6,18.5,84,36,10.03,12.47
COLAC (MOUNT GELLIBRAND),14/02/2025,3.9,0.0, ,21.5,12.5,99,55,6.62,18.87
COLAC (MOUNT GELLIBRAND),15/02/2025,3.7,1.0, ,16.1,9.6,98,46,9.57,19.79
COLAC (MOUNT GELLIBRAND),16/02/2025, ,1.4, , ,7.1,87,45,6.62,21.15
COLAC (MOUNT GELLIBRAND),17/02/2025,5.0, , ,22.9,9.1,82,36,3.66,25.87
COLAC (MOUNT GELLIBRAND),18/02/2025,3.8,0.0, ,20.0,9.8,91,47,5.04,16.91
COLAC (MOUNT GELLIBRAND),19/02/2025, ,0.0, , ,10.3,90,56,5.64,15.36
COLAC (MOUNT GELLIBRAND),20/02/2025, , , ,20.1, ,88,52,5.58,19.10
COLAC (MOUNT GELLIBRAND),21/02/2025,6.7, , ,29.3,11.1,88,38,7.27,23.43
COLAC (MOUNT GELLIBRAND),22/02/2025,11.9, , ,38.4,14.8,87,16,9.45,22.80
COLAC (MOUNT GELLIBRAND),23/02/2025,7.7, , ,26.4,18.3,86,22,9.81,23.32
COLAC (MOUNT GELLIBRAND),24/02/2025,4.4, , ,23.2,12.4,99,45,4.96,20.65
COLAC (MOUNT GELLIBRAND),25/02/2025,4.8, , ,24.0,11.9,100,51,7.55,23.62
COLAC (MOUNT GELLIBRAND),26/02/2025,8.2, , ,33.7,14.2,100,21,6.67,22.08
COLAC (MOUNT GELLIBRAND),27/02/2025,4.5, , ,27.9,14.3,97,39,2.32,21.23
COLAC (MOUNT GELLIBRAND),28/02/2025,4.7, , ,25.6,13.4,95,47,5.58,19.09
Totals:,,141.1,22, ,,,,,, 
