'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/03/2025,4.7, , ,24.7,12.0,97,42,4.16,23.21
COLAC (MOUNT GELLIBRAND),02/03/2025,2.7, , ,19.6,13.2,100,61,4.65,13.16
COLAC (MOUNT GELLIBRAND),03/03/2025,4.6, , ,21.1,10.1,86,42,5.21,23.27
COLAC (MOUNT GELLIBRAND),04/03/2025,6.4, , ,29.9,11.8,96,36,6.45,22.48
COLAC (MOUNT GELLIBRAND),05/03/2025,7.1, , ,30.3,16.1,88,20,5.55,22.75
COLAC (MOUNT GELLIBRAND),06/03/2025,3.4, , ,23.6,14.2,95,63,6.40,14.76
COLAC (MOUNT GELLIBRAND),07/03/2025,4.9, , ,26.4,14.8,99,55,8.42,22.25
COLAC (MOUNT GELLIBRAND),08/03/2025,6.9, , ,32.7,13.8,100,28,5.45,22.06
COLAC (MOUNT GELLIBRAND),09/03/2025,7.1, , ,34.6,16.3,90,27,5.52,18.17
COLAC (MOUNT GELLIBRAND),10/03/2025,6.4, , ,32.9,19.9,82,39,4.89,21.56
COLAC (MOUNT GELLIBRAND),11/03/2025,5.2, , ,28.4,18.9,95,55,7.66,21.21
COLAC (MOUNT GELLIBRAND),12/03/2025,5.8, , ,31.9,17.4,100,44,6.46,19.17
COLAC (MOUNT GELLIBRAND),13/03/2025,4.5, , ,26.9,14.2,98,41,3.83,19.95
COLAC (MOUNT GELLIBRAND),14/03/2025,5.0, , ,29.2,13.2,100,31,3.75,19.42
COLAC (MOUNT GELLIBRAND),15/03/2025,5.1, , ,33.5,14.4,95,24,3.74,10.29
COLAC (MOUNT GELLIBRAND),16/03/2025,3.0, , ,18.1,17.5,99,54,10.38,10.14
COLAC (MOUNT GELLIBRAND),17/03/2025,2.9, , ,16.8,8.1,88,55,5.37,14.08
COLAC (MOUNT GELLIBRAND),18/03/2025,4.0, , ,22.6,9.6,93,42,4.31,20.00
COLAC (MOUNT GELLIBRAND),19/03/2025,6.7, , ,31.5,11.6,100,20,5.34,19.67
COLAC (MOUNT GELLIBRAND),20/03/2025,5.3, , ,25.5,14.4,99,28,9.56,4.58
COLAC (MOUNT GELLIBRAND),21/03/2025,2.0, , ,17.7,12.3,100,63,2.91,10.61
COLAC (MOUNT GELLIBRAND),22/03/2025,3.3, , ,21.4,9.3,87,47,2.49,19.17
COLAC (MOUNT GELLIBRAND),23/03/2025,2.5, , ,21.2,11.6,95,65,3.15,13.04
COLAC (MOUNT GELLIBRAND),24/03/2025,3.3, , ,20.9,10.5,99,51,4.37,17.83
COLAC (MOUNT GELLIBRAND),25/03/2025,3.5, , ,22.9,11.6,100,55,5.54,17.04
COLAC (MOUNT GELLIBRAND),26/03/2025,2.8, , ,19.8,11.9,98,61,4.25,16.33
COLAC (MOUNT GELLIBRAND),27/03/2025, , , , ,12.8,98,36,6.30,18.01
COLAC (MOUNT GELLIBRAND),28/03/2025, , , ,31.4, ,100,38,5.21,15.76
COLAC (MOUNT GELLIBRAND),29/03/2025,3.2, , ,22.5,13.9,100,51,4.86,14.05
COLAC (MOUNT GELLIBRAND),30/03/2025,3.0, , ,19.6,12.1,100,58,11.17,10.92
COLAC (MOUNT GELLIBRAND),31/03/2025,3.2, , ,18.8,12.8,96,58,11.17,13.85
Totals:,,128.5, , ,,,,,, 
