'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLAC (MOUNT GELLIBRAND) Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLAC (MOUNT GELLIBRAND),01/04/2025,3.0, , ,19.8,11.6,100,58,9.24,13.31
COLAC (MOUNT GELLIBRAND),02/04/2025,4.3, , ,23.9,11.6,94,31,4.82,16.86
COLAC (MOUNT GELLIBRAND),03/04/2025,2.7, , ,20.0,10.4,100,52,6.15,8.79
COLAC (MOUNT GELLIBRAND),04/04/2025,2.4, , ,15.7,10.6,82,57,5.51,7.21
COLAC (MOUNT GELLIBRAND),05/04/2025,2.8, , ,16.7,7.6,100,48,6.65,14.11
COLAC (MOUNT GELLIBRAND),06/04/2025,3.5, , ,19.5,6.6,98,50,11.38,11.02
COLAC (MOUNT GELLIBRAND),07/04/2025,2.1, , ,16.4,9.5,99,63,6.31,10.31
COLAC (MOUNT GELLIBRAND),08/04/2025,1.7, , ,15.9,8.3,100,62,2.74,9.12
COLAC (MOUNT GELLIBRAND),09/04/2025,2.1, , ,19.0,10.2,89,53,1.89,12.06
COLAC (MOUNT GELLIBRAND),10/04/2025,4.7, , ,27.1,12.2,89,35,5.45,15.27
COLAC (MOUNT GELLIBRAND),11/04/2025,3.0, , ,22.2,13.7,100,50,4.24,14.18
COLAC (MOUNT GELLIBRAND),12/04/2025,4.4, , ,28.0,10.8,100,39,5.14,15.08
COLAC (MOUNT GELLIBRAND),13/04/2025,7.6, , ,31.1,13.3,65,24,8.22,12.77
COLAC (MOUNT GELLIBRAND),14/04/2025,2.4, , ,20.6,14.9,99,66,6.35,11.40
COLAC (MOUNT GELLIBRAND),15/04/2025,3.7, , ,24.9,12.5,99,47,5.97,14.30
COLAC (MOUNT GELLIBRAND),16/04/2025,3.9, , ,28.2,14.8,95,38,4.81,9.30
COLAC (MOUNT GELLIBRAND),17/04/2025,4.2, , ,29.1,16.3,83,38,4.17,13.15
COLAC (MOUNT GELLIBRAND),18/04/2025,4.3, , ,29.0,16.9,91,39,4.66,13.81
COLAC (MOUNT GELLIBRAND),19/04/2025,2.6, , ,22.5,13.8,100,47,4.88,4.32
COLAC (MOUNT GELLIBRAND),20/04/2025,4.3, , ,22.6,14.1,85,39,7.73,12.83
COLAC (MOUNT GELLIBRAND),21/04/2025,2.7, , ,21.2,11.4,99,50,4.51,12.14
COLAC (MOUNT GELLIBRAND),22/04/2025,1.5, , ,18.0,10.1,100,72,4.34,7.65
COLAC (MOUNT GELLIBRAND),23/04/2025,2.3, , ,19.9,11.7,100,68,8.77,11.14
COLAC (MOUNT GELLIBRAND),24/04/2025,4.2, , ,26.8,13.0,100,44,7.11,12.28
COLAC (MOUNT GELLIBRAND),25/04/2025,1.2, , ,17.1,13.9,100,68,2.71,3.93
COLAC (MOUNT GELLIBRAND),26/04/2025,1.6, , ,19.7,14.0,100,72,2.11,10.57
COLAC (MOUNT GELLIBRAND),27/04/2025,1.8, , ,17.2,11.5,98,60,3.45,10.77
COLAC (MOUNT GELLIBRAND),28/04/2025,1.3, , ,16.9,10.1,100,74,3.55,7.63
COLAC (MOUNT GELLIBRAND),29/04/2025,1.8, , ,16.1,10.7,99,66,5.91,10.32
COLAC (MOUNT GELLIBRAND),30/04/2025,1.9, , ,15.7,9.1,95,60,5.34,8.89
Totals:,,90, , ,,,,,, 
