'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/09/2024,3.2,0.0, ,18.0,12.2,80,45,6.12,8.68
COLDSTREAM,02/09/2024,2.8,4.2, ,13.1,8.7,91,45,7.70,13.30
COLDSTREAM,03/09/2024,1.7,2.6, ,16.3,2.2,99,52,1.02,13.32
COLDSTREAM,04/09/2024,2.8,0.0, ,18.3,1.0,100,38,3.28,15.69
COLDSTREAM,05/09/2024,2.2,1.2, ,22.1,13.7,97,44,3.40,2.81
COLDSTREAM,06/09/2024,3.5,3.8, ,23.5,13.0,99,32,4.44,8.41
COLDSTREAM,07/09/2024,2.5,4.0, ,18.6,4.5,100,36,1.70,16.75
COLDSTREAM,08/09/2024,2.1,0.2, ,16.3,4.3,100,55,3.22,12.68
COLDSTREAM,09/09/2024,1.9,2.8, ,16.4,8.2,99,52,2.23,10.26
COLDSTREAM,10/09/2024,2.3,0.0, ,19.0,1.5,100,53,1.66,17.64
COLDSTREAM,11/09/2024,2.1,0.0, ,20.3,5.0,100,55,2.03,11.05
COLDSTREAM,12/09/2024,2.2,7.0, ,14.8,4.0,99,47,2.07,16.59
COLDSTREAM,13/09/2024,1.4,0.0, ,15.5,5.2,99,66,1.01,9.14
COLDSTREAM,14/09/2024,1.5,4.2, ,10.8,6.8,100,62,2.34,9.55
COLDSTREAM,15/09/2024,2.1,5.8, ,13.5,0.2,100,49,2.11,16.60
COLDSTREAM,16/09/2024,1.6,0.0, ,14.2,7.2,100,68,2.18,10.89
COLDSTREAM,17/09/2024,2.3,4.6, ,16.1,8.8,100,54,1.95,16.06
COLDSTREAM,18/09/2024,3.8,0.0, ,19.4,0.7,100,26,3.97,19.33
COLDSTREAM,19/09/2024,2.5,3.4, ,15.8,8.9,100,49,3.42,15.26
COLDSTREAM,20/09/2024,2.3,2.8, ,17.2,5.2,100,53,3.32,11.86
COLDSTREAM,21/09/2024,2.3,7.8, ,16.2,5.9,99,53,3.31,12.24
COLDSTREAM,22/09/2024,2.4,1.8, ,18.3,8.8,99,53,3.07,12.64
COLDSTREAM,23/09/2024,2.2,0.0, ,17.7,10.9,99,62,2.50,12.62
COLDSTREAM,24/09/2024,2.7,0.0, ,22.7,6.5,100,49,1.62,15.94
COLDSTREAM,25/09/2024,1.7,0.4, ,14.7,12.1,99,51,1.89,7.34
COLDSTREAM,26/09/2024,2.3,3.6, ,13.8,4.4,96,51,2.75,14.98
COLDSTREAM,27/09/2024,2.9,0.0, ,18.6,1.5,99,38,1.49,21.06
COLDSTREAM,28/09/2024,3.3,0.0, ,21.4,1.4,100,40,2.17,20.91
COLDSTREAM,29/09/2024,1.8,0.0, ,16.3,10.4,99,55,3.41,5.31
COLDSTREAM,30/09/2024,2.7,4.4, ,18.9,2.3,100,47,1.27,18.84
Totals:,,71.1,64.6, ,,,,,, 
