'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for October 2024,,,,,,,,,,
Issued at 22:35 GMT on Friday 01 November 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/10/2024,2.4,0.0, ,18.6,4.2,100,54,1.71,15.39
COLDSTREAM,02/10/2024,3.0,0.0, ,20.2,1.8,100,48,1.20,21.97
COLDSTREAM,03/10/2024,3.5,0.0, ,25.1,3.7,100,37,1.18,21.85
COLDSTREAM,04/10/2024,3.6,0.0, ,22.5,9.0,99,42,4.33,13.98
COLDSTREAM,05/10/2024,2.5,0.2, ,20.5,6.2,100,49,1.74,13.33
COLDSTREAM,06/10/2024,3.2,7.8, ,19.9,10.3,99,42,3.70,13.60
COLDSTREAM,07/10/2024,2.0,0.0, ,16.3,13.0,99,61,3.12,9.27
COLDSTREAM,08/10/2024,2.4,2.6, ,15.0,2.0,99,50,2.62,14.63
COLDSTREAM,09/10/2024,2.9,0.0, ,20.2,-1.4,100,43,0.56,23.37
COLDSTREAM,10/10/2024,3.6,0.0, ,20.9,3.8,100,46,3.21,21.68
COLDSTREAM,11/10/2024,2.7,0.0, ,17.0,3.1,100,51,1.66,18.62
COLDSTREAM,12/10/2024,3.4,0.0, ,18.9,3.9,100,43,2.19,23.27
COLDSTREAM,13/10/2024,4.1,0.0, ,23.2,1.5,100,34,2.35,23.80
COLDSTREAM,14/10/2024,4.0,0.0, ,22.7,11.0,99,51,2.96,23.35
COLDSTREAM,15/10/2024,4.1,0.0, ,26.2,6.0,100,42,1.98,22.83
COLDSTREAM,16/10/2024,3.8,1.6, ,24.4,12.7,99,48,2.04,20.83
COLDSTREAM,17/10/2024, ,0.0, , ,10.6,100,51,2.13,16.55
COLDSTREAM,18/10/2024,2.7, , ,23.3,17.4,100,60,3.44,10.81
COLDSTREAM,19/10/2024,3.3,40.8, ,18.3,12.6,100,62,3.59,20.98
COLDSTREAM,20/10/2024,2.9,0.0, ,19.3,10.1,99,59,2.62,17.09
COLDSTREAM,21/10/2024,3.9,0.0, ,26.7,6.2,100,36,0.74,24.27
COLDSTREAM,22/10/2024,4.5,0.0, ,27.7,10.5,100,40,2.71,20.16
COLDSTREAM,23/10/2024,3.7,0.0, ,21.1,11.5,99,41,2.37,20.05
COLDSTREAM,24/10/2024,3.2,0.0, ,17.0,3.7,100,42,2.63,20.65
COLDSTREAM,25/10/2024,3.3,3.0, ,16.7,5.4,100,41,2.36,21.85
COLDSTREAM,26/10/2024,3.9,0.0, ,21.5,0.6,100,22,1.15,26.32
COLDSTREAM,27/10/2024,3.8,0.0, ,26.3,7.4,99,34,2.00,16.98
COLDSTREAM,28/10/2024,3.8,0.2, ,18.6,8.5,99,30,2.12,22.71
COLDSTREAM,29/10/2024,3.2,0.0, ,19.5,5.1,100,48,1.42,20.37
COLDSTREAM,30/10/2024,4.2,0.0, ,22.2,10.8,99,41,1.92,24.50
COLDSTREAM,31/10/2024,3.3,0.2, ,19.2,11.3,99,45,2.19,18.11
Totals:,,100.9,56.4, ,,,,,, 
