'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/01/2025,5.0,0.0, ,24.5,7.8,100,29,2.24,26.60
COLDSTREAM,02/01/2025,5.9,0.0, ,23.1,11.2,87,35,3.77,31.31
COLDSTREAM,03/01/2025,6.6,0.0, ,33.4,4.6,99,24,1.87,31.26
COLDSTREAM,04/01/2025,7.1,0.0, ,37.1,9.9,100,9,2.16,26.63
COLDSTREAM,05/01/2025,6.5,0.0, ,39.1,12.9,89,11,1.93,21.16
COLDSTREAM,06/01/2025,1.7,3.8, ,17.3,17.3,100,57,2.15,5.68
COLDSTREAM,07/01/2025,5.8,11.8, ,26.1,8.2,100,43,3.64,31.19
COLDSTREAM,08/01/2025,6.0,0.0, ,29.7,7.6,100,33,2.10,30.61
COLDSTREAM,09/01/2025,5.3,0.0, ,31.7,12.2,99,22,2.17,20.19
COLDSTREAM,10/01/2025,4.9,0.0, ,31.8,14.3,91,30,1.46,21.13
COLDSTREAM,11/01/2025,5.8,0.0, ,33.1,12.2,100,31,2.27,23.64
COLDSTREAM,12/01/2025,2.9,7.2, ,29.0,14.9,100,46,1.91,9.05
COLDSTREAM,13/01/2025,5.7,24.2, ,30.9,14.4,100,44,1.58,28.80
COLDSTREAM,14/01/2025,5.6,0.0, ,30.4,16.9,98,34,1.85,26.33
COLDSTREAM,15/01/2025,2.4,0.0, ,25.4,15.4,99,55,2.66,6.52
COLDSTREAM,16/01/2025,3.9,3.4, ,21.8,8.0,99,41,2.58,19.82
COLDSTREAM,17/01/2025, ,0.2, ,24.9,9.8, , , ,28.29
COLDSTREAM,18/01/2025, ,0.0, ,30.6,12.9, , , ,30.24
COLDSTREAM,19/01/2025,6.3,0.0, ,33.8,10.4,100,21,1.81,28.41
COLDSTREAM,20/01/2025,5.1,0.0, ,34.1,10.8,100,19,1.50,20.29
COLDSTREAM,21/01/2025,7.6,0.0, ,38.4,15.8,98,17,2.45,28.32
COLDSTREAM,22/01/2025,4.4,0.0, ,23.6,17.1,92,38,1.72,22.26
COLDSTREAM,23/01/2025, ,0.0, , ,7.0,100,48,1.46,14.48
COLDSTREAM,24/01/2025, , , ,24.3, ,100,37,3.00,24.84
COLDSTREAM,25/01/2025,5.3,0.0, ,27.2,12.1,98,35,2.03,27.08
COLDSTREAM,26/01/2025,5.9,0.0, ,29.1,15.0,94,37,2.47,28.40
COLDSTREAM,27/01/2025,7.5,0.0, ,39.2,12.6,100,17,2.81,24.16
COLDSTREAM,28/01/2025,4.9,0.8, ,24.9,17.3,94,37,3.31,21.78
COLDSTREAM,29/01/2025,5.3,0.0, ,24.3,10.3,90,35,3.14,27.48
COLDSTREAM,30/01/2025,4.8,0.0, ,24.0,9.1,94,36,2.74,25.15
COLDSTREAM,31/01/2025,5.7,0.0, ,27.4,8.8,99,33,3.02,28.09
Totals:,,143.9,51.4, ,,,,,, 
