'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/02/2025,6.3,0.0, ,36.9,9.8,99,24,1.62,27.81
COLDSTREAM,02/02/2025,7.5,0.0, ,38.7,16.1,96,23,3.16,24.53
COLDSTREAM,03/02/2025,5.5,8.0, ,37.3,19.5,100,20,2.01,18.41
COLDSTREAM,04/02/2025,6.5,0.0, ,37.9,19.2,88,21,2.73,19.91
COLDSTREAM,05/02/2025,5.9,0.0, ,29.0,16.7,89,41,3.51,26.39
COLDSTREAM,06/02/2025,6.1,0.0, ,37.0,11.3,100,23,1.71,25.74
COLDSTREAM,07/02/2025,2.6,0.0, ,24.9,15.0,100,63,2.56,10.14
COLDSTREAM,08/02/2025,3.3,0.0, ,22.8,16.1,79,56,3.31,12.13
COLDSTREAM,09/02/2025,6.7,3.0, ,30.9,16.3,86,37,6.48,19.73
COLDSTREAM,10/02/2025,5.4,0.2, ,26.7,17.3,87,50,5.50,22.75
COLDSTREAM,11/02/2025,6.1,0.0, ,32.5,13.1,100,36,3.00,26.53
COLDSTREAM,12/02/2025,5.9,0.0, ,35.8,12.9,100,25,1.63,26.44
COLDSTREAM,13/02/2025,6.4,0.0, ,35.4,17.6,97,28,4.26,16.66
COLDSTREAM,14/02/2025,4.5,0.0, ,26.1,16.7,99,40,2.99,20.49
COLDSTREAM,15/02/2025,3.0,1.0, ,18.0,8.5,99,47,3.35,14.87
COLDSTREAM,16/02/2025,2.7,7.2, ,18.4,4.9,100,46,1.73,15.28
COLDSTREAM,17/02/2025,4.4,1.4, ,24.9,3.3,100,28,1.61,25.73
COLDSTREAM,18/02/2025,3.5,0.2, ,23.1,6.4,100,45,2.04,18.41
COLDSTREAM,19/02/2025,2.5,0.6, ,19.2,13.0,80,52,2.05,10.20
COLDSTREAM,20/02/2025,4.5,0.0, ,23.3,11.5,98,34,3.30,22.14
COLDSTREAM,21/02/2025,5.0,0.0, ,32.6,3.8,100,21,1.42,24.30
COLDSTREAM,22/02/2025,7.0,0.0, ,36.2,12.3,98,25,3.60,23.16
COLDSTREAM,23/02/2025,6.2,0.0, ,32.5,23.8,88,32,5.63,14.73
COLDSTREAM,24/02/2025,3.7,0.0, ,25.1,9.0,100,40,2.11,18.08
COLDSTREAM,25/02/2025,4.7,0.0, ,30.9,6.4,100,28,1.59,23.66
COLDSTREAM,26/02/2025,6.3,0.0, ,36.1,9.6,100,15,2.45,23.21
COLDSTREAM,27/02/2025,4.6,0.0, ,32.0,9.8,100,28,1.39,22.11
COLDSTREAM,28/02/2025,4.7,0.0, ,28.7,13.3,99,38,2.31,22.71
Totals:,,141.5,21.6, ,,,,,, 
