'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COLDSTREAM Victoria for March 2025,,,,,,,,,,
Issued at 22:31 GMT on Tuesday 01 April 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COLDSTREAM,01/03/2025,4.7,0.0, ,28.6,8.6,100,33,2.26,23.39
COLDSTREAM,02/03/2025,3.3,0.0, ,22.8,10.3,99,50,2.77,15.97
COLDSTREAM,03/03/2025,4.5,0.0, ,25.0,10.3,82,38,2.91,22.37
COLDSTREAM,04/03/2025,4.7,0.0, ,33.3,4.9,100,21,1.38,22.58
COLDSTREAM,05/03/2025,5.7,0.0, ,35.0,11.5,99,19,2.23,22.43
COLDSTREAM,06/03/2025,3.9,0.0, ,28.6,17.7,89,44,2.57,14.86
COLDSTREAM,07/03/2025,4.6,0.0, ,31.9,10.4,100,32,1.70,22.00
COLDSTREAM,08/03/2025,4.7,0.0, ,34.1,8.3,100,15,1.39,21.83
COLDSTREAM,09/03/2025,4.4,0.0, ,35.2,11.5,99,24,1.36,18.89
COLDSTREAM,10/03/2025,4.5,0.0, ,34.7,18.6,86,33,1.63,18.62
COLDSTREAM,11/03/2025,5.1,0.0, ,35.0,15.5,95,31,2.18,20.14
COLDSTREAM,12/03/2025,4.8,0.0, ,35.2,15.4,99,29,2.32,16.20
COLDSTREAM,13/03/2025,3.3,1.8, ,28.5,18.3,93,46,1.31,15.73
COLDSTREAM,14/03/2025,3.9,0.0, ,30.7,8.2,100,16,1.21,19.47
COLDSTREAM,15/03/2025,4.9,0.0, ,37.0,12.9,99,10,1.86,15.33
COLDSTREAM,16/03/2025,1.9,1.8, ,20.5,19.4,99,44,2.31,4.34
COLDSTREAM,17/03/2025,2.9,29.8, ,20.2,5.2,100,36,1.73,17.14
COLDSTREAM,18/03/2025,3.3,0.0, ,25.9,4.5,100,26,1.14,20.03
COLDSTREAM,19/03/2025,4.0,0.0, ,33.1,6.2,100,26,1.40,18.37
COLDSTREAM,20/03/2025,2.6,0.0, ,26.5,9.8,100,50,3.21,5.27
COLDSTREAM,21/03/2025,2.1,13.6, ,20.2,14.9,100,66,2.35,10.90
COLDSTREAM,22/03/2025,3.0,0.0, ,23.2,5.6,100,46,1.41,19.31
COLDSTREAM,23/03/2025,3.1,0.0, ,26.4,5.9,100,44,1.20,18.96
COLDSTREAM,24/03/2025,2.5,0.0, ,23.2,10.9,94,51,1.99,11.72
COLDSTREAM,25/03/2025,2.8,0.0, ,26.7,6.7,100,50,1.07,17.16
COLDSTREAM,26/03/2025,2.3,0.0, ,23.4,11.7,99,53,1.69,10.66
COLDSTREAM,27/03/2025,3.4,0.0, ,25.9,13.0,99,47,2.15,17.99
COLDSTREAM,28/03/2025,2.9,0.0, ,29.4,10.3,100,39,1.01,15.68
COLDSTREAM,29/03/2025,1.5,6.6, ,21.4,14.5,100,67,1.86,5.17
COLDSTREAM,30/03/2025,3.2,0.2, ,21.3,15.5,87,56,5.03,13.80
COLDSTREAM,31/03/2025,3.2,0.0, ,21.5,13.1,88,46,3.95,13.78
Totals:,,111.7,53.8, ,,,,,, 
