'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/12/2024, ,22.8, , ,16.6,85,39,1.64,21.37
COMBIENBAR,02/12/2024,5.7, , ,29.2,13.8,93,32,0.85,30.99
COMBIENBAR,03/12/2024,3.9,0.0, ,26.8,19.3,96,37,2.04,15.38
COMBIENBAR,04/12/2024,4.8,2.0, ,23.4,10.9,95,52,0.89,28.97
COMBIENBAR,05/12/2024,4.1,0.2, ,30.2,13.4,91,31,0.66,20.29
COMBIENBAR,06/12/2024,4.9,0.0, ,33.2,19.3,66,20,0.53,24.15
COMBIENBAR,07/12/2024,5.0,2.0, ,29.9,16.6,97,39,1.67,22.76
COMBIENBAR,08/12/2024,3.4,12.2, ,17.4,10.0,98,68,1.26,21.64
COMBIENBAR,09/12/2024,2.8,0.0, ,18.7,9.5,91,65,0.35,16.33
COMBIENBAR,10/12/2024,3.1,0.0, ,18.7,8.8,96,67,0.60,18.89
COMBIENBAR,11/12/2024,4.2,0.0, ,22.2,10.4,84,53,0.54,25.06
COMBIENBAR,12/12/2024,5.4,0.0, ,26.7,12.0,83,40,0.58,31.15
COMBIENBAR,13/12/2024,2.7,0.0, ,19.8,13.5,98,42,0.83,13.47
COMBIENBAR,14/12/2024,4.1,0.0, ,25.5,11.8,98,57,0.34,23.08
COMBIENBAR,15/12/2024, ,0.2, , ,12.6,97,47,0.57,31.30
COMBIENBAR,16/12/2024,7.2, , ,38.5,16.1,76,21,1.68,30.07
COMBIENBAR,17/12/2024,2.0,0.0, ,16.2,16.1,97,36,1.73,6.52
COMBIENBAR,18/12/2024,4.4,0.8, ,20.8,8.4,87,44,1.48,26.10
COMBIENBAR,19/12/2024, ,0.0, , ,7.6,90,35,0.89,32.13
COMBIENBAR,20/12/2024, , , , , ,92,13,0.77,31.96
COMBIENBAR,21/12/2024, , , , , ,86,17,1.08,17.73
COMBIENBAR,22/12/2024, , , , , ,97,53,0.45,17.91
COMBIENBAR,23/12/2024, , , ,14.2, ,97,59,3.36,12.67
COMBIENBAR,24/12/2024, ,14.8, , ,6.9,94,64,3.19,19.28
COMBIENBAR,25/12/2024, , , ,27.6, ,95,45,0.61,31.98
COMBIENBAR,26/12/2024, ,0.0, , ,15.7,70,15,1.58,31.35
COMBIENBAR,27/12/2024, , , , , ,93,34,1.08,12.40
COMBIENBAR,28/12/2024, , , , , ,83,44,0.52,21.17
COMBIENBAR,29/12/2024, , , , , ,96,36,0.77,29.60
COMBIENBAR,30/12/2024, , , , , ,81,30,0.71,29.18
COMBIENBAR,31/12/2024, , , , , ,94,51,0.40,18.28
Totals:,,67.7,55, ,,,,,, 
