'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for January 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 February 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/01/2025, , , , , ,94,57,1.03,19.89
COMBIENBAR,02/01/2025, , , , , ,96,48,0.92,19.54
COMBIENBAR,03/01/2025, , , , , ,80,30,0.87,30.98
COMBIENBAR,04/01/2025, , , , , ,100,14,1.22,29.14
COMBIENBAR,05/01/2025, , , , , ,100,11,3.06,20.38
COMBIENBAR,06/01/2025, , , , , ,98,28,1.59,2.14
COMBIENBAR,07/01/2025,1.7, , ,16.4,9.5,98,76,0.56,8.50
COMBIENBAR,08/01/2025, ,5.0, , ,9.0,93,47,1.46,27.07
COMBIENBAR,09/01/2025, , , , , ,83,17,0.97,28.18
COMBIENBAR,10/01/2025, , , ,25.2, ,82,58,1.46,17.27
COMBIENBAR,11/01/2025,4.2,0.4, ,28.0,16.1,93,50,2.15,18.10
COMBIENBAR,12/01/2025,5.3,1.2, ,31.5,16.5,79,31,1.10,25.19
COMBIENBAR,13/01/2025,5.0,0.2, ,29.1,15.8,84,44,0.69,26.25
COMBIENBAR,14/01/2025,2.6,0.0, ,25.8,15.3,96,65,0.43,12.10
COMBIENBAR,15/01/2025,5.4,0.0, ,34.1,16.4,98,31,2.46,18.74
COMBIENBAR,16/01/2025,3.3,28.0, ,18.6,8.9,98,57,2.58,19.01
COMBIENBAR,17/01/2025, ,0.0, ,22.8,10.7, , , ,17.26
COMBIENBAR,18/01/2025, ,3.2, ,18.1,10.6, , , ,10.70
COMBIENBAR,19/01/2025,5.3,0.0, ,25.0,10.6,88,38,1.29,30.57
COMBIENBAR,20/01/2025,5.1,0.2, ,28.6,12.0,84,29,0.53,29.31
COMBIENBAR,21/01/2025,5.7,0.0, ,32.8,16.4,58,23,0.62,30.39
COMBIENBAR,22/01/2025, ,0.0, , ,15.2,96,45,1.53,15.81
COMBIENBAR,23/01/2025, , , , , ,97,56,1.56,13.33
COMBIENBAR,24/01/2025, , , , , ,97,68,1.13,10.51
COMBIENBAR,25/01/2025, , , ,24.2, ,89,58,0.55,23.38
COMBIENBAR,26/01/2025,3.7,0.0, ,24.1,12.3,92,54,1.01,19.93
COMBIENBAR,27/01/2025, ,0.0, , ,14.5,79,27,1.79,28.78
COMBIENBAR,28/01/2025,2.1, , ,17.5,16.4,97,48,1.49,8.21
COMBIENBAR,29/01/2025,2.1,1.4, ,21.2,10.8,93,61,0.33,10.92
COMBIENBAR,30/01/2025,1.4,0.0, ,13.6,11.2,96,90,0.16,6.89
COMBIENBAR,31/01/2025,2.3,0.2, ,21.9,11.4,97,65,0.17,11.99
Totals:,,55.2,39.8, ,,,,,, 
