'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for February 2025,,,,,,,,,,
Issued at 22:31 GMT on Saturday 01 March 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/02/2025,5.2,0.0, ,30.5,12.5,96,44,0.94,28.18
COMBIENBAR,02/02/2025,5.8,0.0, ,35.4,17.6,77,23,0.95,28.31
COMBIENBAR,03/02/2025,5.7,0.0, ,36.1,20.4,58,23,0.90,27.19
COMBIENBAR,04/02/2025,6.0,0.0, ,36.9,21.6,80,17,1.34,25.00
COMBIENBAR,05/02/2025,1.8,1.0, ,20.6,15.2,97,63,0.39,8.24
COMBIENBAR,06/02/2025, ,0.8, , ,16.1,97,44,0.99,26.85
COMBIENBAR,07/02/2025, , , , , ,97,21,2.35,23.25
COMBIENBAR,08/02/2025,1.8, , ,21.9,16.0,98,73,0.25,8.45
COMBIENBAR,09/02/2025,1.6,31.8, ,18.4,15.7,100,92,0.31,7.74
COMBIENBAR,10/02/2025,1.6, , ,18.9,14.7,98,86,0.25,8.00
COMBIENBAR,11/02/2025, ,25.0, , ,14.3,99,84,0.39,11.45
COMBIENBAR,12/02/2025,4.5, , ,26.8,14.1,98,59,1.55,25.04
COMBIENBAR,13/02/2025,6.3,0.2, ,31.4,17.8,72,36,3.16,25.54
COMBIENBAR,14/02/2025,1.2,2.0, ,16.1,14.1,98,50,0.58,3.95
COMBIENBAR,15/02/2025,1.8,21.4, ,15.2,9.8,98,64,2.61,8.00
COMBIENBAR,16/02/2025,3.0,5.6, ,15.1,4.5,93,54,3.18,19.75
COMBIENBAR,17/02/2025,3.7,1.2, ,19.2,6.2,92,47,0.95,25.44
COMBIENBAR,18/02/2025,3.6,0.0, ,21.3,10.0,95,53,0.85,22.36
COMBIENBAR,19/02/2025,3.4,0.2, ,19.0,8.5,96,56,1.28,22.46
COMBIENBAR,20/02/2025,2.8,0.2, ,19.0,9.4,96,55,1.00,17.04
COMBIENBAR,21/02/2025,4.1,0.2, ,26.9,9.0,90,38,0.64,25.27
COMBIENBAR,22/02/2025,4.5,0.0, ,31.2,15.4,79,35,1.29,20.73
COMBIENBAR,23/02/2025,3.3,0.0, ,26.3,21.2,91,42,2.51,10.48
COMBIENBAR,24/02/2025,1.4,0.6, ,17.8,13.0,90,75,0.19,6.84
COMBIENBAR,25/02/2025,3.8,0.0, ,25.0,10.9,94,57,0.50,23.77
COMBIENBAR,26/02/2025,4.5,0.0, ,31.6,13.2,81,27,0.80,24.10
COMBIENBAR,27/02/2025,4.2,0.0, ,29.5,16.6,97,49,0.30,23.77
COMBIENBAR,28/02/2025, ,0.0, , ,16.2,98,59,0.46,18.31
Totals:,,85.6,90.2, ,,,,,, 
