'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for COMBIENBAR Victoria for April 2025,,,,,,,,,,
Issued at 22:31 GMT on Thursday 01 May 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2025 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
COMBIENBAR,01/04/2025,1.3,19.4, ,14.9,10.0,99,89,1.14,8.14
COMBIENBAR,02/04/2025,2.1,4.0, ,17.5,8.7,95,54,0.52,16.35
COMBIENBAR,03/04/2025,1.9,0.0, ,18.7,10.0,90,52,0.75,12.72
COMBIENBAR,04/04/2025,1.5,0.4, ,16.9,9.5,93,68,0.38,10.42
COMBIENBAR,05/04/2025,1.9,0.4, ,13.8,6.6,94,52,1.82,13.25
COMBIENBAR,06/04/2025,2.3,0.0, ,18.2,6.2,75,28,1.21,14.61
COMBIENBAR,07/04/2025,1.7,0.0, ,14.9,9.2,93,58,1.27,10.62
COMBIENBAR,08/04/2025, ,0.0, , ,7.3,93,59,0.53,16.20
COMBIENBAR,09/04/2025,2.3, , ,23.9,8.6,95,39,0.67,16.11
COMBIENBAR,10/04/2025,2.2,0.0, ,23.6,12.4,94,40,0.50,15.35
COMBIENBAR,11/04/2025,1.8,0.0, ,20.7,14.5,92,36,0.19,13.27
COMBIENBAR,12/04/2025,2.2,0.0, ,24.9,11.2,93,38,0.55,15.52
COMBIENBAR,13/04/2025,2.5,0.0, ,26.1,16.7,61,31,0.79,15.02
COMBIENBAR,14/04/2025,1.3,0.0, ,17.2,14.0,96,34,0.74,5.23
COMBIENBAR,15/04/2025,2.0,4.8, ,19.1,9.8,96,60,1.41,14.32
COMBIENBAR,16/04/2025,2.0,0.0, ,20.7,8.2,88,48,0.76,14.88
COMBIENBAR,17/04/2025,1.8,0.0, ,20.8,11.7,89,41,0.24,14.72
COMBIENBAR,18/04/2025,1.8,0.0, ,23.4,12.0,63,35,0.42,13.71
COMBIENBAR,19/04/2025,2.4,0.0, ,27.3,15.7,58,32,1.15,11.33
COMBIENBAR,20/04/2025,2.8,0.0, ,25.8,17.0,82,27,1.61,14.08
COMBIENBAR,21/04/2025,1.0,1.4, ,15.2,11.6,98,68,1.18,4.33
COMBIENBAR,22/04/2025,0.6,81.6, ,14.3,11.8,99,98,1.51,1.53
COMBIENBAR,23/04/2025,0.9,103.6, ,16.7,12.5,99,92,0.74,4.75
COMBIENBAR,24/04/2025,1.9,10.4, ,22.3,12.7,93,56,1.33,11.28
COMBIENBAR,25/04/2025,1.8,0.0, ,23.0,13.3,79,45,0.69,13.43
COMBIENBAR,26/04/2025,1.3,0.0, ,18.1,13.0,96,66,0.12,9.66
COMBIENBAR,27/04/2025,0.9,0.0, ,16.2,12.7,97,82,0.20,5.25
COMBIENBAR,28/04/2025,1.1,7.0, ,17.0,11.8,98,80,0.21,7.55
COMBIENBAR,29/04/2025,1.0,11.6, ,15.7,10.3,98,75,0.64,6.01
COMBIENBAR,30/04/2025,0.9,23.4, ,12.3,7.8,97,78,0.53,6.60
Totals:,,49.2,268, ,,,,,, 
