'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for September 2024,,,,,,,,,,
Issued at 22:35 GMT on Tuesday 01 October 2024,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/09/2024, ,1.0, , ,11.9,100,61,10.61,8.35
CORNER INLET (YANAKIE),02/09/2024, , , , , ,100,57,8.19,6.80
CORNER INLET (YANAKIE),10/09/2024, , , , , , , , ,16.33
CORNER INLET (YANAKIE),11/09/2024, , , ,18.5, , , , ,13.51
CORNER INLET (YANAKIE),12/09/2024,1.9,0.4, ,13.8,8.5,100,70,4.14,15.45
CORNER INLET (YANAKIE),13/09/2024,1.2,3.4, ,14.4,8.2,100,87,5.64,10.22
CORNER INLET (YANAKIE),14/09/2024,1.6,8.2, ,11.6,8.1,100,69,6.31,10.62
CORNER INLET (YANAKIE),15/09/2024,2.2,2.2, ,12.4,4.3,90,61,4.29,16.80
CORNER INLET (YANAKIE),16/09/2024,2.0,0.8, ,14.7,9.0,100,73,8.31,15.62
CORNER INLET (YANAKIE),17/09/2024,1.8,2.6, ,13.8,9.8,100,71,7.38,12.25
CORNER INLET (YANAKIE),18/09/2024,3.1,0.0, ,17.4,6.8,100,55,8.89,16.78
CORNER INLET (YANAKIE),19/09/2024,2.3,15.2, ,14.5,8.0,100,66,9.46,15.97
CORNER INLET (YANAKIE),20/09/2024,2.0,17.8, ,15.5,8.8,100,75,9.22,16.08
CORNER INLET (YANAKIE),21/09/2024,1.9,10.2, ,14.3,8.6,100,74,8.49,14.19
CORNER INLET (YANAKIE),22/09/2024,2.3,4.6, ,16.8,10.0,100,74,8.46,17.67
CORNER INLET (YANAKIE),23/09/2024,2.0,0.0, ,17.2,11.4,100,73,7.78,11.70
CORNER INLET (YANAKIE),24/09/2024,2.3,0.4, ,20.8,10.6,100,75,1.80,15.64
CORNER INLET (YANAKIE),25/09/2024,1.4,2.2, ,13.3,10.5,100,74,4.20,7.34
CORNER INLET (YANAKIE),26/09/2024,2.3,1.6, ,13.3,8.3,86,61,4.79,12.05
CORNER INLET (YANAKIE),27/09/2024,2.4,0.0, ,15.1,6.4,97,63,1.85,18.75
CORNER INLET (YANAKIE),28/09/2024,2.9,0.0, ,19.6,3.7,100,60,2.62,20.74
CORNER INLET (YANAKIE),29/09/2024,1.4,0.0, ,16.6,9.7,100,67,2.75,4.97
CORNER INLET (YANAKIE),30/09/2024,2.4,4.0, ,16.4,6.8,100,75,4.71,19.67
Totals:,,39.4,74.6, ,,,,,, 
