'IDCKWCDE61,,,,,,,,,,
Australian Government Bureau of Meteorology,,,,,,,,,,
South Australia,,,,,,,,,,

Daily Evapotranspiration for CORNER INLET (YANAKIE) Victoria for December 2024,,,,,,,,,,
Issued at 22:31 GMT on Wednesday 01 January 2025,,,,,,,,,,
© Copyright Commonwealth of Australia 2024 Bureau of Meteorology (ABN 92 637 533 532),,,,,,,,,,
Please note Copyright Disclaimer and Privacy Notice <http://www.bom.gov.au/other/copyright.shtml>,,,,,,,,,,

,,Evapo-,,Pan,,,Maximum,Minimum,Average,
,,Transpiration,Rain,Evaporation,Maximum,Minimum,Relative,Relative,10m Wind,Solar
Station Name,Date,0000-2400,0900-0900,0900-0900,Temperature,Temperature,Humidity,Humidity,Speed,Radiation
,,(mm),(mm),(mm),(°C),(°C),(%),(%),(m/sec),(MJ/sq m)
CORNER INLET (YANAKIE),01/12/2024,4.7,14.4, ,25.9,16.5,100,61,5.03,23.86
CORNER INLET (YANAKIE),02/12/2024,4.5,0.2, ,24.4,14.5,100,82,3.42,29.22
CORNER INLET (YANAKIE),03/12/2024,3.3,3.2, ,27.4,17.8,100,79,6.04,16.25
CORNER INLET (YANAKIE),04/12/2024,4.5,0.4, ,20.2,10.5,100,67,3.11,31.37
CORNER INLET (YANAKIE),05/12/2024,6.0,0.0, ,28.3,15.1,100,54,3.37,31.29
CORNER INLET (YANAKIE),06/12/2024,4.1,0.0, ,29.8,16.9,100,50,2.41,16.39
CORNER INLET (YANAKIE),07/12/2024,3.7,1.2, ,24.6,17.4,100,70,7.34,18.56
CORNER INLET (YANAKIE),08/12/2024,4.9,0.0, ,20.3,13.1,97,51,8.97,27.49
CORNER INLET (YANAKIE),09/12/2024,3.9,0.0, ,20.5,12.7,93,56,4.03,20.57
CORNER INLET (YANAKIE),10/12/2024,4.6,0.0, ,20.9,11.2,96,57,5.07,28.31
CORNER INLET (YANAKIE),11/12/2024,4.2,0.0, ,20.5,11.4,96,56,6.89,22.43
CORNER INLET (YANAKIE),12/12/2024,3.9,1.8, ,22.4,14.0,100,71,5.94,23.46
CORNER INLET (YANAKIE),13/12/2024,4.1,0.4, ,20.6,14.5,100,60,5.49,23.51
CORNER INLET (YANAKIE),14/12/2024,3.6,0.0, ,20.3,7.6,100,63,1.62,23.58
CORNER INLET (YANAKIE),15/12/2024,4.6,0.2, ,23.2,11.2,100,71,3.55,29.98
CORNER INLET (YANAKIE),16/12/2024,8.7,0.0, ,39.2,17.1,100,30,5.13,24.40
CORNER INLET (YANAKIE),17/12/2024,5.5,0.0, ,21.9,16.7,93,51,9.03,28.90
CORNER INLET (YANAKIE),18/12/2024,4.9,0.0, ,19.8,13.8,93,55,4.28,30.42
CORNER INLET (YANAKIE),19/12/2024,5.1,0.0, ,22.3,11.7,91,61,5.89,32.05
CORNER INLET (YANAKIE),20/12/2024,4.8,0.0, ,22.7,15.4,100,69,5.78,31.30
CORNER INLET (YANAKIE),21/12/2024,4.8,0.0, ,20.4,15.4,91,59,6.70,28.50
CORNER INLET (YANAKIE),22/12/2024,4.4,0.0, ,20.5,10.4,100,52,5.08,25.71
CORNER INLET (YANAKIE),23/12/2024,3.3,6.2, ,17.6,11.4,100,60,9.82,18.83
CORNER INLET (YANAKIE),24/12/2024,3.7,4.2, ,21.1,11.9,100,68,7.10,22.76
CORNER INLET (YANAKIE),25/12/2024,4.6,0.4, ,24.2,14.6,100,65,2.94,26.93
CORNER INLET (YANAKIE),26/12/2024,7.7,0.0, ,36.4,16.1,99,22,4.89,18.36
CORNER INLET (YANAKIE),27/12/2024, ,0.6, , ,13.8,100,50,7.70,21.00
CORNER INLET (YANAKIE),28/12/2024, ,0.8, ,22.9, ,100,48,5.23,16.19
CORNER INLET (YANAKIE),29/12/2024, ,0.4, , ,9.9,100,54,4.94,30.00
CORNER INLET (YANAKIE),30/12/2024, ,0.0, ,23.3, ,100,57,2.20,28.26
CORNER INLET (YANAKIE),31/12/2024,5.1,0.0, ,22.4,14.0,100,55,2.96,30.59
Totals:,,127.2,34.4, ,,,,,, 
